LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:16.746000,9.0,GAS,10,0 days 00:33:41.120000,1.0,1.0,,,,0 days 00:00:56.700000,0 days 00:00:39.086000,,0 days 00:35:11.356000,0 days 00:35:50.497000,219.0,224.0,98.0,271.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,46.0,1012.5,False,41.1,34,0.5
,7.0,GAS,10,0 days 00:36:41.152000,2.0,1.0,,,0 days 00:01:25.887000,0 days 00:00:53.486000,0 days 00:00:46.525000,0 days 00:37:16.314000,0 days 00:38:09.773000,0 days 00:38:56.398000,172.0,193.0,90.0,87.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:35:50.438000,2020-09-27 11:15:50.492,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,45.7,1012.6,False,40.7,46,0.0
,7.0,GAS,10,0 days 00:39:41.173000,3.0,1.0,,,0 days 00:01:09.952000,0 days 00:00:57.423000,0 days 00:00:44.079000,0 days 00:40:06.256000,0 days 00:41:03.664000,0 days 00:41:47.854000,168.0,140.0,91.0,101.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:38:56.294000,2020-09-27 11:18:56.348,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.0,1012.7,False,40.5,11,0.7
,7.0,GAS,10,0 days 00:42:41.173000,4.0,1.0,,,0 days 00:01:08.761000,0 days 00:00:57.662000,0 days 00:00:45.830000,0 days 00:42:56.516000,0 days 00:43:54.166000,0 days 00:44:40.089000,102.0,125.0,122.0,102.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:41:47.739000,2020-09-27 11:21:47.793,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.8,1012.8,False,40.3,0,0.5
,7.0,GAS,10,0 days 00:44:41.176000,5.0,1.0,,,0 days 00:01:04.301000,0 days 00:00:55.411000,0 days 00:00:50.084000,0 days 00:45:44.333000,0 days 00:46:39.696000,0 days 00:47:29.921000,151.0,102.0,157.0,86.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:44:39.992000,2020-09-27 11:24:40.046,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.6,1012.7,False,40.4,0,0.4
0 days 00:01:42.552000,7.0,GAS,10,0 days 00:47:41.196000,6.0,1.0,,,0 days 00:00:36.499000,0 days 00:00:35.525000,0 days 00:00:30.528000,0 days 00:48:06.232000,0 days 00:48:41.757000,0 days 00:49:12.285000,244.0,298.0,161.0,303.0,True,SOFT,9.0,False,AlphaTauri,0 days 00:47:29.729000,2020-09-27 11:27:29.783,1,False,,False,False,0,Russian Grand Prix,18,324.0,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:01:42.179000,7.0,GAS,10,0 days 00:49:41.213000,7.0,1.0,,,0 days 00:00:36.502000,0 days 00:00:35.510000,0 days 00:00:30.167000,0 days 00:49:48.787000,0 days 00:50:24.297000,0 days 00:50:54.464000,246.0,296.0,159.0,282.0,True,SOFT,10.0,False,AlphaTauri,0 days 00:49:12.281000,2020-09-27 11:29:12.335,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:01:41.775000,7.0,GAS,10,0 days 00:51:41.230000,8.0,1.0,,,0 days 00:00:36.353000,0 days 00:00:35.207000,0 days 00:00:30.215000,0 days 00:51:30.817000,0 days 00:52:06.024000,0 days 00:52:36.239000,244.0,300.0,158.0,298.0,True,SOFT,11.0,False,AlphaTauri,0 days 00:50:54.460000,2020-09-27 11:30:54.514,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:01:41.670000,7.0,GAS,10,0 days 00:52:41.231000,9.0,1.0,,,0 days 00:00:36.230000,0 days 00:00:35.174000,0 days 00:00:30.266000,0 days 00:53:12.469000,0 days 00:53:47.643000,0 days 00:54:17.909000,247.0,300.0,158.0,293.0,True,SOFT,12.0,False,AlphaTauri,0 days 00:52:36.235000,2020-09-27 11:32:36.289,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,50.6,1012.9,False,40.2,252,2.1
0 days 00:01:41.757000,7.0,GAS,10,0 days 00:54:41.242000,10.0,1.0,,,0 days 00:00:36.336000,0 days 00:00:35.233000,0 days 00:00:30.188000,0 days 00:54:54.245000,0 days 00:55:29.478000,0 days 00:55:59.666000,248.0,296.0,157.0,286.0,False,SOFT,13.0,False,AlphaTauri,0 days 00:54:17.905000,2020-09-27 11:34:17.959,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,49.5,1012.9,False,40.9,233,2.1
