LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:24.259000,14.0,GIO,99,0 days 00:33:41.120000,1.0,1.0,,,,0 days 00:01:03.257000,0 days 00:00:38.472000,,0 days 00:35:19.465000,0 days 00:35:58.040000,200.0,163.0,142.0,222.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,46.0,1012.5,False,41.1,34,0.5
,12.0,GIO,99,0 days 00:36:41.152000,2.0,1.0,,,0 days 00:01:28.163000,0 days 00:00:53.403000,0 days 00:00:45.341000,0 days 00:37:26.037000,0 days 00:38:19.477000,0 days 00:39:04.940000,116.0,187.0,103.0,128.0,False,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:57.972000,2020-09-27 11:15:58.026,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,45.7,1012.6,False,40.7,46,0.0
,12.0,GIO,99,0 days 00:39:41.173000,3.0,1.0,,,0 days 00:01:11.377000,0 days 00:00:56.653000,0 days 00:00:44.015000,0 days 00:40:16.182000,0 days 00:41:12.854000,0 days 00:41:56.947000,119.0,250.0,75.0,161.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:39:04.816000,2020-09-27 11:19:04.870,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.0,1012.7,False,40.5,11,0.7
,12.0,GIO,99,0 days 00:42:41.173000,4.0,1.0,,,0 days 00:01:08.380000,0 days 00:00:57.881000,0 days 00:00:46.072000,0 days 00:43:05.273000,0 days 00:44:03.128000,0 days 00:44:49.305000,164.0,172.0,140.0,159.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:41:56.885000,2020-09-27 11:21:56.939,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.8,1012.8,False,40.3,0,0.5
,12.0,GIO,99,0 days 00:45:41.194000,5.0,1.0,,,0 days 00:01:02.487000,0 days 00:00:54.541000,0 days 00:00:46.515000,0 days 00:45:51.734000,0 days 00:46:46.229000,0 days 00:47:32.857000,142.0,94.0,163.0,119.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:44:49.235000,2020-09-27 11:24:49.289,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:01:43.895000,12.0,GIO,99,0 days 00:47:41.196000,6.0,1.0,,,0 days 00:00:36.763000,0 days 00:00:36.191000,0 days 00:00:30.941000,0 days 00:48:09.437000,0 days 00:48:45.628000,0 days 00:49:16.569000,225.0,302.0,157.0,303.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:47:32.709000,2020-09-27 11:27:32.763,1,False,,False,False,0,Russian Grand Prix,18,324.0,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:01:43.798000,12.0,GIO,99,0 days 00:49:41.213000,7.0,1.0,,,0 days 00:00:36.710000,0 days 00:00:36.186000,0 days 00:00:30.902000,0 days 00:49:53.279000,0 days 00:50:29.465000,0 days 00:51:00.367000,238.0,301.0,161.0,306.0,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:49:16.604000,2020-09-27 11:29:16.658,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:01:43.399000,12.0,GIO,99,0 days 00:51:41.230000,8.0,1.0,,,0 days 00:00:36.466000,0 days 00:00:36.057000,0 days 00:00:30.876000,0 days 00:51:36.833000,0 days 00:52:12.890000,0 days 00:52:43.766000,,300.0,159.0,311.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:51:00.402000,2020-09-27 11:31:00.456,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:01:43.386000,12.0,GIO,99,0 days 00:53:41.231000,9.0,1.0,,,0 days 00:00:36.558000,0 days 00:00:35.996000,0 days 00:00:30.832000,0 days 00:53:20.324000,0 days 00:53:56.320000,0 days 00:54:27.152000,243.0,301.0,159.0,304.0,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:52:43.801000,2020-09-27 11:32:43.855,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.4,1012.8,False,40.7,299,1.6
0 days 00:01:43.241000,12.0,GIO,99,0 days 00:54:41.242000,10.0,1.0,,,0 days 00:00:36.334000,0 days 00:00:36.108000,0 days 00:00:30.799000,0 days 00:55:03.486000,0 days 00:55:39.594000,0 days 00:56:10.393000,240.0,300.0,159.0,,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:54:27.187000,2020-09-27 11:34:27.241,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,49.5,1012.9,False,40.9,233,2.1
0 days 00:01:42.900000,12.0,GIO,99,0 days 00:56:41.234000,11.0,1.0,,,0 days 00:00:36.378000,0 days 00:00:35.830000,0 days 00:00:30.692000,0 days 00:56:46.771000,0 days 00:57:22.601000,0 days 00:57:53.293000,237.0,305.0,159.0,303.0,True,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:56:10.428000,2020-09-27 11:36:10.482,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,50.2,1012.9,False,40.9,265,1.2
0 days 00:01:43.077000,12.0,GIO,99,0 days 00:58:41.233000,12.0,1.0,,,0 days 00:00:36.561000,0 days 00:00:35.885000,0 days 00:00:30.631000,0 days 00:58:29.854000,0 days 00:59:05.739000,0 days 00:59:36.370000,243.0,300.0,160.0,298.0,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:57:53.328000,2020-09-27 11:37:53.382,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.7,51.3,1013.0,False,41.0,242,2.3
0 days 00:01:42.876000,12.0,GIO,99,0 days 00:59:41.253000,13.0,1.0,,,0 days 00:00:36.302000,0 days 00:00:35.907000,0 days 00:00:30.667000,0 days 01:00:12.672000,0 days 01:00:48.579000,0 days 01:01:19.246000,249.0,302.0,159.0,309.0,True,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:59:36.405000,2020-09-27 11:39:36.459,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.7,51.5,1013.0,False,40.6,276,2.1
0 days 00:01:42.909000,12.0,GIO,99,0 days 01:01:41.276000,14.0,1.0,,,0 days 00:00:36.384000,0 days 00:00:35.999000,0 days 00:00:30.526000,0 days 01:01:55.630000,0 days 01:02:31.629000,0 days 01:03:02.155000,251.0,299.0,160.0,300.0,False,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 01:01:19.281000,2020-09-27 11:41:19.335,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.2,52.8,1012.9,False,40.7,271,2.8
0 days 00:01:42.767000,12.0,GIO,99,0 days 01:03:41.273000,15.0,1.0,,,0 days 00:00:36.408000,0 days 00:00:35.733000,0 days 00:00:30.626000,0 days 01:03:38.563000,0 days 01:04:14.296000,0 days 01:04:44.922000,248.0,302.0,161.0,302.0,True,MEDIUM,15.0,True,Alfa Romeo Racing,0 days 01:03:02.190000,2020-09-27 11:43:02.244,1,False,,False,True,0,Russian Grand Prix,18,324.0,27.9,53.9,1012.9,False,40.5,256,2.1
0 days 00:01:46.901000,12.0,GIO,99,0 days 01:05:41.278000,16.0,1.0,,0 days 01:06:23.891000,0 days 00:00:36.326000,0 days 00:00:35.663000,0 days 00:00:34.912000,0 days 01:05:21.248000,0 days 01:05:56.911000,0 days 01:06:31.823000,249.0,303.0,,310.0,False,MEDIUM,16.0,True,Alfa Romeo Racing,0 days 01:04:44.957000,2020-09-27 11:44:45.011,1,False,,False,False,0,Russian Grand Prix,18,324.0,28.0,53.2,1013.0,False,40.7,291,1.7
0 days 00:02:01.186000,17.0,GIO,99,0 days 01:06:41.275000,17.0,2.0,0 days 01:06:54.430000,,0 days 00:00:56.925000,0 days 00:00:34.839000,0 days 00:00:29.422000,0 days 01:07:28.748000,0 days 01:08:03.587000,0 days 01:08:33.009000,256.0,296.0,167.0,286.0,False,HARD,1.0,True,Alfa Romeo Racing,0 days 01:06:31.858000,2020-09-27 11:46:31.912,1,False,,False,False,0,Russian Grand Prix,18,324.0,28.3,53.3,1012.9,False,40.7,277,1.3
0 days 00:01:42.303000,16.0,GIO,99,0 days 01:08:41.275000,18.0,2.0,,,0 days 00:00:36.751000,0 days 00:00:35.422000,0 days 00:00:30.130000,0 days 01:09:09.760000,0 days 01:09:45.182000,0 days 01:10:15.312000,233.0,299.0,162.0,293.0,True,HARD,2.0,True,Alfa Romeo Racing,0 days 01:08:33.044000,2020-09-27 11:48:33.098,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.2,52.2,1013.0,False,41.4,323,1.8
0 days 00:01:41.592000,16.0,GIO,99,0 days 01:10:41.278000,19.0,2.0,,,0 days 00:00:36.244000,0 days 00:00:35.302000,0 days 00:00:30.046000,0 days 01:10:51.556000,0 days 01:11:26.858000,0 days 01:11:56.904000,253.0,297.0,163.0,298.0,True,HARD,3.0,True,Alfa Romeo Racing,0 days 01:10:15.347000,2020-09-27 11:50:15.401,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.5,50.6,1012.9,False,40.6,283,0.0
0 days 00:01:41.240000,16.0,GIO,99,0 days 01:12:41.277000,20.0,2.0,,,0 days 00:00:36.251000,0 days 00:00:35.114000,0 days 00:00:29.875000,0 days 01:12:33.155000,0 days 01:13:08.269000,0 days 01:13:38.144000,252.0,300.0,160.0,300.0,True,HARD,4.0,True,Alfa Romeo Racing,0 days 01:11:56.939000,2020-09-27 11:51:56.993,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.3,52.0,1012.9,False,41.2,317,1.8
0 days 00:01:41.140000,16.0,GIO,99,0 days 01:13:41.287000,21.0,2.0,,,0 days 00:00:36.171000,0 days 00:00:35.065000,0 days 00:00:29.904000,0 days 01:14:14.315000,0 days 01:14:49.380000,0 days 01:15:19.284000,255.0,301.0,162.0,303.0,True,HARD,5.0,True,Alfa Romeo Racing,0 days 01:13:38.179000,2020-09-27 11:53:38.233,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.4,52.0,1012.9,False,41.2,0,0.5
0 days 00:01:40.888000,16.0,GIO,99,0 days 01:15:41.284000,22.0,2.0,,,0 days 00:00:36.050000,0 days 00:00:34.967000,0 days 00:00:29.871000,0 days 01:15:55.334000,0 days 01:16:30.301000,0 days 01:17:00.172000,254.0,300.0,163.0,,True,HARD,6.0,True,Alfa Romeo Racing,0 days 01:15:19.319000,2020-09-27 11:55:19.373,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.6,52.2,1012.9,False,40.8,346,0.9
0 days 00:01:41.333000,16.0,GIO,99,0 days 01:17:41.292000,23.0,2.0,,,0 days 00:00:36.118000,0 days 00:00:35.105000,0 days 00:00:30.110000,0 days 01:17:36.290000,0 days 01:18:11.395000,0 days 01:18:41.505000,,301.0,161.0,300.0,False,HARD,7.0,True,Alfa Romeo Racing,0 days 01:17:00.207000,2020-09-27 11:57:00.261,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,50.9,1012.9,False,40.9,279,0.6
0 days 00:01:41.460000,16.0,GIO,99,0 days 01:19:41.292000,24.0,2.0,,,0 days 00:00:36.222000,0 days 00:00:35.207000,0 days 00:00:30.031000,0 days 01:19:17.727000,0 days 01:19:52.934000,0 days 01:20:22.965000,248.0,300.0,162.0,301.0,False,HARD,8.0,True,Alfa Romeo Racing,0 days 01:18:41.540000,2020-09-27 11:58:41.594,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.5,52.4,1012.9,False,40.6,195,1.3
0 days 00:01:41.065000,16.0,GIO,99,0 days 01:20:41.317000,25.0,2.0,,,0 days 00:00:36.098000,0 days 00:00:35.128000,0 days 00:00:29.839000,0 days 01:20:59.063000,0 days 01:21:34.191000,0 days 01:22:04.030000,255.0,301.0,162.0,,False,HARD,9.0,True,Alfa Romeo Racing,0 days 01:20:23,2020-09-27 12:00:23.054,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.7,51.5,1012.9,False,40.3,260,0.8
0 days 00:01:41.565000,16.0,GIO,99,0 days 01:22:41.318000,26.0,2.0,,,0 days 00:00:36.011000,0 days 00:00:35.522000,0 days 00:00:30.032000,0 days 01:22:40.041000,0 days 01:23:15.563000,0 days 01:23:45.595000,260.0,300.0,160.0,,False,HARD,10.0,True,Alfa Romeo Racing,0 days 01:22:04.065000,2020-09-27 12:02:04.119,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.8,51.0,1013.0,False,40.6,288,1.4
0 days 00:01:41.377000,16.0,GIO,99,0 days 01:24:41.340000,27.0,2.0,,,0 days 00:00:36.272000,0 days 00:00:35.004000,0 days 00:00:30.101000,0 days 01:24:21.867000,0 days 01:24:56.871000,0 days 01:25:26.972000,253.0,302.0,158.0,,False,HARD,11.0,True,Alfa Romeo Racing,0 days 01:23:45.630000,2020-09-27 12:03:45.684,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,50.1,1013.0,False,41.0,310,0.7
