LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:36.870000,20.0,NOR,4,0 days 00:33:41.120000,1.0,1.0,,0 days 00:36:02.433000,,0 days 00:01:11.370000,0 days 00:00:41.216000,,0 days 00:35:29.312000,0 days 00:36:10.606000,230.0,173.0,,270.0,False,SOFT,4.0,False,McLaren,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,46.0,1012.5,False,41.1,34,0.5
,18.0,NOR,4,0 days 00:36:41.152000,2.0,2.0,0 days 00:36:39.562000,,0 days 00:01:26.029000,0 days 00:00:57.314000,0 days 00:00:41.232000,0 days 00:37:36.545000,0 days 00:38:33.873000,0 days 00:39:15.251000,157.0,151.0,96.0,184.0,False,HARD,1.0,True,McLaren,0 days 00:36:10.532000,2020-09-27 11:16:10.586,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,45.7,1012.6,False,40.7,46,0.0
,18.0,NOR,4,0 days 00:39:41.173000,3.0,2.0,,,0 days 00:01:14.129000,0 days 00:00:56.189000,0 days 00:00:41.749000,0 days 00:40:29.235000,0 days 00:41:25.422000,0 days 00:42:07.277000,105.0,118.0,71.0,121.0,False,HARD,2.0,True,McLaren,0 days 00:39:15.095000,2020-09-27 11:19:15.149,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.0,1012.7,False,40.5,11,0.7
,18.0,NOR,4,0 days 00:42:41.173000,4.0,2.0,,,0 days 00:01:09.315000,0 days 00:00:54.881000,0 days 00:00:48.016000,0 days 00:43:16.466000,0 days 00:44:11.399000,0 days 00:44:59.498000,152.0,205.0,106.0,196.0,False,HARD,3.0,True,McLaren,0 days 00:42:07.175000,2020-09-27 11:22:07.229,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.8,1012.8,False,40.3,0,0.5
,18.0,NOR,4,0 days 00:45:41.194000,5.0,2.0,,,0 days 00:01:05.534000,0 days 00:00:48.894000,0 days 00:00:41.525000,0 days 00:46:04.930000,0 days 00:46:53.830000,0 days 00:47:35.465000,183.0,138.0,153.0,160.0,False,HARD,4.0,True,McLaren,0 days 00:44:59.367000,2020-09-27 11:24:59.421,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:01:45.329000,17.0,NOR,4,0 days 00:47:41.196000,6.0,2.0,,,0 days 00:00:36.881000,0 days 00:00:37.380000,0 days 00:00:31.068000,0 days 00:48:12.201000,0 days 00:48:49.581000,0 days 00:49:20.649000,222.0,304.0,153.0,272.0,True,HARD,5.0,True,McLaren,0 days 00:47:35.324000,2020-09-27 11:27:35.378,1,False,,False,False,0,Russian Grand Prix,18,324.0,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:01:44.746000,17.0,NOR,4,0 days 00:49:41.213000,7.0,2.0,,,0 days 00:00:36.916000,0 days 00:00:36.190000,0 days 00:00:31.640000,0 days 00:49:57.565000,0 days 00:50:33.755000,0 days 00:51:05.395000,234.0,302.0,155.0,304.0,True,HARD,6.0,True,McLaren,0 days 00:49:20.653000,2020-09-27 11:29:20.707,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:01:44.292000,17.0,NOR,4,0 days 00:51:41.230000,8.0,2.0,,,0 days 00:00:36.705000,0 days 00:00:35.803000,0 days 00:00:31.784000,0 days 00:51:42.100000,0 days 00:52:17.903000,0 days 00:52:49.687000,232.0,320.0,151.0,286.0,True,HARD,7.0,True,McLaren,0 days 00:51:05.399000,2020-09-27 11:31:05.453,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:01:45.840000,17.0,NOR,4,0 days 00:53:41.231000,9.0,2.0,,,0 days 00:00:36.834000,0 days 00:00:36.806000,0 days 00:00:32.200000,0 days 00:53:26.521000,0 days 00:54:03.327000,0 days 00:54:35.527000,,318.0,157.0,302.0,False,HARD,8.0,True,McLaren,0 days 00:52:49.691000,2020-09-27 11:32:49.745,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.4,1012.8,False,40.7,299,1.6
0 days 00:01:45.320000,16.0,NOR,4,0 days 00:54:41.242000,10.0,2.0,,,0 days 00:00:36.540000,0 days 00:00:35.909000,0 days 00:00:32.871000,0 days 00:55:12.067000,0 days 00:55:47.976000,0 days 00:56:20.847000,229.0,314.0,145.0,306.0,False,HARD,9.0,True,McLaren,0 days 00:54:35.531000,2020-09-27 11:34:35.585,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,49.5,1012.9,False,40.9,233,2.1
