LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:31.428000,18.0,RUS,63,0 days 00:33:41.120000,1.0,1.0,,0 days 00:35:57.073000,,0 days 00:01:06.387000,0 days 00:00:42.154000,,0 days 00:35:22.924000,0 days 00:36:05.267000,212.0,142.0,,267.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,46.0,1012.5,False,41.1,34,0.5
,16.0,RUS,63,0 days 00:36:41.152000,2.0,2.0,0 days 00:36:27.223000,,0 days 00:01:27.065000,0 days 00:00:56.026000,0 days 00:00:43.703000,0 days 00:37:32.199000,0 days 00:38:28.147000,0 days 00:39:11.964000,80.0,139.0,90.0,225.0,False,HARD,1.0,True,Williams,0 days 00:36:05.100000,2020-09-27 11:16:05.154,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,45.7,1012.6,False,40.7,46,0.0
,16.0,RUS,63,0 days 00:39:41.173000,3.0,2.0,,,0 days 00:01:12.077000,0 days 00:00:57.702000,0 days 00:00:42.328000,0 days 00:40:23.977000,0 days 00:41:21.644000,0 days 00:42:04.067000,126.0,119.0,83.0,83.0,False,HARD,2.0,True,Williams,0 days 00:39:11.872000,2020-09-27 11:19:11.926,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.0,1012.7,False,40.5,11,0.7
,16.0,RUS,63,0 days 00:42:41.173000,4.0,2.0,,,0 days 00:01:08.045000,0 days 00:00:56.992000,0 days 00:00:46.879000,0 days 00:43:12.095000,0 days 00:44:09.012000,0 days 00:44:56.011000,90.0,152.0,101.0,143.0,False,HARD,3.0,True,Williams,0 days 00:42:03.994000,2020-09-27 11:22:04.048,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.8,1012.8,False,40.3,0,0.5
,16.0,RUS,63,0 days 00:45:41.194000,5.0,2.0,,,0 days 00:01:02.738000,0 days 00:00:53.117000,0 days 00:00:42.687000,0 days 00:45:58.645000,0 days 00:46:51.839000,0 days 00:47:34.576000,129.0,98.0,160.0,112.0,False,HARD,4.0,True,Williams,0 days 00:44:55.913000,2020-09-27 11:24:55.967,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:01:45.675000,16.0,RUS,63,0 days 00:47:41.196000,6.0,2.0,,,0 days 00:00:37.253000,0 days 00:00:36.835000,0 days 00:00:31.587000,0 days 00:48:11.646000,0 days 00:48:48.481000,0 days 00:49:20.068000,242.0,304.0,155.0,315.0,True,HARD,5.0,True,Williams,0 days 00:47:34.415000,2020-09-27 11:27:34.469,1,False,,False,False,0,Russian Grand Prix,18,324.0,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:01:44.640000,16.0,RUS,63,0 days 00:49:41.213000,7.0,2.0,,,0 days 00:00:36.863000,0 days 00:00:36.337000,0 days 00:00:31.440000,0 days 00:49:56.931000,0 days 00:50:33.268000,0 days 00:51:04.708000,235.0,310.0,156.0,310.0,True,HARD,6.0,True,Williams,0 days 00:49:20.090000,2020-09-27 11:29:20.144,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:01:44.309000,16.0,RUS,63,0 days 00:51:41.230000,8.0,2.0,,,0 days 00:00:36.606000,0 days 00:00:36.071000,0 days 00:00:31.632000,0 days 00:51:41.314000,0 days 00:52:17.385000,0 days 00:52:49.017000,244.0,315.0,155.0,309.0,True,HARD,7.0,True,Williams,0 days 00:51:04.730000,2020-09-27 11:31:04.784,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:01:45.727000,16.0,RUS,63,0 days 00:53:41.231000,9.0,2.0,,,0 days 00:00:36.905000,0 days 00:00:36.944000,0 days 00:00:31.878000,0 days 00:53:25.922000,0 days 00:54:02.866000,0 days 00:54:34.744000,232.0,316.0,157.0,306.0,False,HARD,8.0,True,Williams,0 days 00:52:49.039000,2020-09-27 11:32:49.093,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.4,1012.8,False,40.7,299,1.6
0 days 00:01:46.291000,17.0,RUS,63,0 days 00:54:41.242000,10.0,2.0,,,0 days 00:00:36.601000,0 days 00:00:36.228000,0 days 00:00:33.462000,0 days 00:55:11.345000,0 days 00:55:47.573000,0 days 00:56:21.035000,239.0,314.0,147.0,292.0,False,HARD,9.0,True,Williams,0 days 00:54:34.766000,2020-09-27 11:34:34.820,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,49.5,1012.9,False,40.9,233,2.1
0 days 00:01:43.797000,16.0,RUS,63,0 days 00:56:41.234000,11.0,2.0,,,0 days 00:00:36.879000,0 days 00:00:35.974000,0 days 00:00:30.944000,0 days 00:56:57.914000,0 days 00:57:33.888000,0 days 00:58:04.832000,238.0,307.0,153.0,318.0,True,HARD,10.0,True,Williams,0 days 00:56:21.057000,2020-09-27 11:36:21.111,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,50.2,1012.9,False,40.9,265,1.2
0 days 00:01:45.342000,17.0,RUS,63,0 days 00:58:41.233000,12.0,2.0,,,0 days 00:00:36.510000,0 days 00:00:35.888000,0 days 00:00:32.944000,0 days 00:58:41.342000,0 days 00:59:17.230000,0 days 00:59:50.174000,241.0,293.0,152.0,312.0,False,HARD,11.0,True,Williams,0 days 00:58:04.854000,2020-09-27 11:38:04.908,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.7,51.3,1013.0,False,41.0,242,2.3
0 days 00:01:45.606000,18.0,RUS,63,0 days 01:00:41.271000,13.0,2.0,,,0 days 00:00:37.692000,0 days 00:00:36.485000,0 days 00:00:31.429000,0 days 01:00:27.866000,0 days 01:01:04.351000,0 days 01:01:35.780000,236.0,293.0,150.0,280.0,False,HARD,12.0,True,Williams,0 days 00:59:50.196000,2020-09-27 11:39:50.250,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.5,51.9,1012.9,False,40.7,249,2.8
0 days 00:01:49.162000,18.0,RUS,63,0 days 01:01:41.276000,14.0,2.0,,0 days 01:03:18.009000,0 days 00:00:37.384000,0 days 00:00:36.393000,0 days 00:00:35.385000,0 days 01:02:13.164000,0 days 01:02:49.557000,0 days 01:03:24.942000,241.0,291.0,,313.0,False,HARD,13.0,True,Williams,0 days 01:01:35.802000,2020-09-27 11:41:35.856,1,False,,False,False,0,Russian Grand Prix,18,324.0,28.2,52.8,1012.9,False,40.7,271,2.8
