LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:32.988000,8.0,GAS,10,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:33.398000,0 days 00:00:30.183000,,0 days 00:34:20.315000,0 days 00:34:50.650000,247.0,235.0,275.0,301.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:26.105000,8.0,GAS,10,0 days 00:34:52.009000,2.0,1.0,,,0 days 00:00:24.274000,0 days 00:00:32.403000,0 days 00:00:29.428000,0 days 00:35:14.739000,0 days 00:35:47.142000,0 days 00:36:16.570000,260.0,241.0,276.0,308.0,True,SOFT,5.0,False,AlphaTauri,0 days 00:34:50.476000,2020-08-16 13:14:52.452,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.5,997.8,False,50.1,209,2.3
0 days 00:01:25.558000,8.0,GAS,10,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.155000,0 days 00:00:32.211000,0 days 00:00:29.192000,0 days 00:36:40.725000,0 days 00:37:12.936000,0 days 00:37:42.128000,257.0,257.0,282.0,302.0,True,SOFT,6.0,False,AlphaTauri,0 days 00:36:16.581000,2020-08-16 13:16:18.557,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.436000,8.0,GAS,10,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.909000,0 days 00:00:32.172000,0 days 00:00:29.355000,0 days 00:38:06.037000,0 days 00:38:38.209000,0 days 00:39:07.564000,263.0,258.0,275.0,322.0,True,SOFT,7.0,False,AlphaTauri,0 days 00:37:42.139000,2020-08-16 13:17:44.115,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:25.661000,8.0,GAS,10,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.226000,0 days 00:00:32.156000,0 days 00:00:29.279000,0 days 00:39:31.790000,0 days 00:40:03.946000,0 days 00:40:33.225000,,258.0,276.0,308.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:39:07.575000,2020-08-16 13:19:09.551,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:25.235000,8.0,GAS,10,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:24.068000,0 days 00:00:31.970000,0 days 00:00:29.197000,0 days 00:40:57.293000,0 days 00:41:29.263000,0 days 00:41:58.460000,267.0,257.0,276.0,304.0,True,SOFT,9.0,False,AlphaTauri,0 days 00:40:33.236000,2020-08-16 13:20:35.212,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.259000,8.0,GAS,10,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.979000,0 days 00:00:32.196000,0 days 00:00:29.084000,0 days 00:42:22.439000,0 days 00:42:54.635000,0 days 00:43:23.719000,271.0,256.0,278.0,305.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:41:58.471000,2020-08-16 13:22:00.447,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:25.035000,8.0,GAS,10,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.775000,0 days 00:00:32.002000,0 days 00:00:29.258000,0 days 00:43:47.494000,0 days 00:44:19.496000,0 days 00:44:48.754000,276.0,259.0,276.0,306.0,True,SOFT,11.0,False,AlphaTauri,0 days 00:43:23.730000,2020-08-16 13:23:25.706,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:25.018000,8.0,GAS,10,0 days 00:44:52.005000,9.0,1.0,,,0 days 00:00:23.682000,0 days 00:00:32.016000,0 days 00:00:29.320000,0 days 00:45:12.436000,0 days 00:45:44.452000,0 days 00:46:13.772000,269.0,250.0,277.0,,True,SOFT,12.0,False,AlphaTauri,0 days 00:44:48.765000,2020-08-16 13:24:50.741,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.3,997.7,False,48.3,133,1.7
0 days 00:01:25.160000,8.0,GAS,10,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.879000,0 days 00:00:31.996000,0 days 00:00:29.285000,0 days 00:46:37.651000,0 days 00:47:09.647000,0 days 00:47:38.932000,266.0,255.0,276.0,305.0,False,SOFT,13.0,False,AlphaTauri,0 days 00:46:13.783000,2020-08-16 13:26:15.759,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
