LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.402000,9.0,LEC,16,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:33.352000,0 days 00:00:30.368000,,0 days 00:34:20.561000,0 days 00:34:51.039000,240.0,242.0,278.0,289.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:26.359000,9.0,LEC,16,0 days 00:34:52.009000,2.0,1.0,,,0 days 00:00:24.406000,0 days 00:00:32.396000,0 days 00:00:29.557000,0 days 00:35:15.308000,0 days 00:35:47.704000,0 days 00:36:17.261000,262.0,241.0,276.0,318.0,True,SOFT,5.0,False,Ferrari,0 days 00:34:50.890000,2020-08-16 13:14:52.866,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.5,997.8,False,50.1,209,2.3
0 days 00:01:25.640000,9.0,LEC,16,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.121000,0 days 00:00:32.200000,0 days 00:00:29.319000,0 days 00:36:41.382000,0 days 00:37:13.582000,0 days 00:37:42.901000,268.0,256.0,282.0,309.0,True,SOFT,6.0,False,Ferrari,0 days 00:36:17.249000,2020-08-16 13:16:19.225,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.322000,9.0,LEC,16,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.954000,0 days 00:00:31.978000,0 days 00:00:29.390000,0 days 00:38:06.855000,0 days 00:38:38.833000,0 days 00:39:08.223000,267.0,260.0,283.0,328.0,True,SOFT,7.0,False,Ferrari,0 days 00:37:42.889000,2020-08-16 13:17:44.865,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:25.967000,9.0,LEC,16,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.083000,0 days 00:00:32.306000,0 days 00:00:29.578000,0 days 00:39:32.306000,0 days 00:40:04.612000,0 days 00:40:34.190000,255.0,257.0,281.0,330.0,False,SOFT,8.0,False,Ferrari,0 days 00:39:08.211000,2020-08-16 13:19:10.187,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:25.211000,9.0,LEC,16,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.963000,0 days 00:00:31.959000,0 days 00:00:29.289000,0 days 00:40:58.153000,0 days 00:41:30.112000,0 days 00:41:59.401000,264.0,253.0,282.0,323.0,True,SOFT,9.0,False,Ferrari,0 days 00:40:34.178000,2020-08-16 13:20:36.154,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.418000,9.0,LEC,16,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.839000,0 days 00:00:32.129000,0 days 00:00:29.450000,0 days 00:42:23.240000,0 days 00:42:55.369000,0 days 00:43:24.819000,256.0,244.0,275.0,321.0,False,SOFT,10.0,False,Ferrari,0 days 00:41:59.389000,2020-08-16 13:22:01.365,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:25.228000,9.0,LEC,16,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:24.109000,0 days 00:00:31.949000,0 days 00:00:29.170000,0 days 00:43:48.928000,0 days 00:44:20.877000,0 days 00:44:50.047000,248.0,254.0,275.0,305.0,False,SOFT,11.0,False,Ferrari,0 days 00:43:24.807000,2020-08-16 13:23:26.783,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:25.309000,9.0,LEC,16,0 days 00:44:52.005000,9.0,1.0,,,0 days 00:00:23.970000,0 days 00:00:32.079000,0 days 00:00:29.260000,0 days 00:45:14.017000,0 days 00:45:46.096000,0 days 00:46:15.356000,264.0,250.0,275.0,,False,SOFT,12.0,False,Ferrari,0 days 00:44:50.035000,2020-08-16 13:24:52.011,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.3,997.7,False,48.3,133,1.7
0 days 00:01:25.105000,9.0,LEC,16,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.980000,0 days 00:00:31.954000,0 days 00:00:29.171000,0 days 00:46:39.336000,0 days 00:47:11.290000,0 days 00:47:40.461000,269.0,269.0,274.0,303.0,True,SOFT,13.0,False,Ferrari,0 days 00:46:15.344000,2020-08-16 13:26:17.320,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
