LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.063000,15.0,RAI,7,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:34.968000,0 days 00:00:30.984000,,0 days 00:34:23.663000,0 days 00:34:54.697000,229.0,231.0,276.0,301.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:27.754000,15.0,RAI,7,0 days 00:35:52.005000,2.0,1.0,,,0 days 00:00:24.429000,0 days 00:00:32.998000,0 days 00:00:30.327000,0 days 00:35:18.989000,0 days 00:35:51.987000,0 days 00:36:22.314000,253.0,219.0,277.0,314.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:54.551000,2020-08-16 13:14:56.527,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:01:26.782000,15.0,RAI,7,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.418000,0 days 00:00:32.593000,0 days 00:00:29.771000,0 days 00:36:46.732000,0 days 00:37:19.325000,0 days 00:37:49.096000,252.0,225.0,283.0,313.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:22.305000,2020-08-16 13:16:24.281,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.754000,15.0,RAI,7,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.771000,0 days 00:00:32.253000,0 days 00:00:29.730000,0 days 00:38:12.867000,0 days 00:38:45.120000,0 days 00:39:14.850000,266.0,242.0,282.0,330.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:49.087000,2020-08-16 13:17:51.063,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:26.228000,15.0,RAI,7,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.017000,0 days 00:00:32.430000,0 days 00:00:29.781000,0 days 00:39:38.867000,0 days 00:40:11.297000,0 days 00:40:41.078000,257.0,235.0,283.0,331.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:14.841000,2020-08-16 13:19:16.817,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:26.104000,15.0,RAI,7,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.823000,0 days 00:00:32.595000,0 days 00:00:29.686000,0 days 00:41:04.901000,0 days 00:41:37.496000,0 days 00:42:07.182000,254.0,227.0,284.0,,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:41.069000,2020-08-16 13:20:43.045,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.983000,15.0,RAI,7,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.873000,0 days 00:00:32.478000,0 days 00:00:29.632000,0 days 00:42:31.055000,0 days 00:43:03.533000,0 days 00:43:33.165000,256.0,232.0,281.0,328.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:07.173000,2020-08-16 13:22:09.149,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:26.085000,15.0,RAI,7,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.950000,0 days 00:00:32.463000,0 days 00:00:29.672000,0 days 00:43:57.115000,0 days 00:44:29.578000,0 days 00:44:59.250000,,235.0,283.0,325.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:33.156000,2020-08-16 13:23:35.132,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:25.876000,15.0,RAI,7,0 days 00:45:52.011000,9.0,1.0,,,0 days 00:00:23.781000,0 days 00:00:32.423000,0 days 00:00:29.672000,0 days 00:45:23.031000,0 days 00:45:55.454000,0 days 00:46:25.126000,246.0,238.0,283.0,330.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:44:59.241000,2020-08-16 13:25:01.217,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:01:26.069000,15.0,RAI,7,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:24.013000,0 days 00:00:32.313000,0 days 00:00:29.743000,0 days 00:46:49.139000,0 days 00:47:21.452000,0 days 00:47:51.195000,255.0,232.0,281.0,,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:46:25.117000,2020-08-16 13:26:27.093,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
