LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:32.014000,8.0,GAS,10,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:32.537000,0 days 00:00:37.103000,,0 days 00:33:43.950000,0 days 00:34:21.181000,305.0,221.0,130.0,299.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:01:59.258000,8.0,GAS,10,0 days 00:34:22.215000,2.0,1.0,,,0 days 00:00:23.363000,0 days 00:01:00.346000,0 days 00:00:35.549000,0 days 00:34:44.369000,0 days 00:35:44.715000,0 days 00:36:20.264000,278.0,109.0,179.0,127.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:34:21.006000,2020-07-12 13:14:23.028,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.4,35.8,945.7,False,39.7,59,2.7
0 days 00:01:43.394000,8.0,GAS,10,0 days 00:36:22.217000,3.0,1.0,,,0 days 00:00:26.388000,0 days 00:00:45.831000,0 days 00:00:31.175000,0 days 00:36:46.652000,0 days 00:37:32.483000,0 days 00:38:03.658000,123.0,168.0,273.0,246.0,True,SOFT,3.0,True,AlphaTauri,0 days 00:36:20.264000,2020-07-12 13:16:22.286,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.7,35.0,945.8,False,41.5,90,3.3
0 days 00:01:11.853000,8.0,GAS,10,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.889000,0 days 00:00:32.076000,0 days 00:00:21.888000,0 days 00:38:21.547000,0 days 00:38:53.623000,0 days 00:39:15.511000,306.0,223.0,272.0,295.0,True,SOFT,4.0,True,AlphaTauri,0 days 00:38:03.658000,2020-07-12 13:18:05.680,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:11.277000,8.0,GAS,10,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.758000,0 days 00:00:31.670000,0 days 00:00:21.849000,0 days 00:39:33.269000,0 days 00:40:04.939000,0 days 00:40:26.788000,298.0,226.0,272.0,293.0,True,SOFT,5.0,True,AlphaTauri,0 days 00:39:15.511000,2020-07-12 13:19:17.533,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:10.616000,8.0,GAS,10,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.396000,0 days 00:00:31.482000,0 days 00:00:21.738000,0 days 00:40:44.184000,0 days 00:41:15.666000,0 days 00:41:37.404000,321.0,223.0,279.0,314.0,True,SOFT,6.0,True,AlphaTauri,0 days 00:40:26.788000,2020-07-12 13:20:28.810,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.356000,8.0,GAS,10,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.119000,0 days 00:00:31.350000,0 days 00:00:21.887000,0 days 00:41:54.523000,0 days 00:42:25.873000,0 days 00:42:47.760000,320.0,221.0,280.0,310.0,True,SOFT,7.0,True,AlphaTauri,0 days 00:41:37.404000,2020-07-12 13:21:39.426,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:10.408000,8.0,GAS,10,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.092000,0 days 00:00:31.599000,0 days 00:00:21.717000,0 days 00:43:04.852000,0 days 00:43:36.451000,0 days 00:43:58.168000,,219.0,280.0,315.0,False,SOFT,8.0,True,AlphaTauri,0 days 00:42:47.760000,2020-07-12 13:22:49.782,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.420000,8.0,GAS,10,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.133000,0 days 00:00:31.416000,0 days 00:00:21.871000,0 days 00:44:15.301000,0 days 00:44:46.717000,0 days 00:45:08.588000,313.0,225.0,279.0,303.0,False,SOFT,9.0,True,AlphaTauri,0 days 00:43:58.168000,2020-07-12 13:24:00.190,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.398000,8.0,GAS,10,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.174000,0 days 00:00:31.548000,0 days 00:00:21.676000,0 days 00:45:25.762000,0 days 00:45:57.310000,0 days 00:46:18.986000,320.0,225.0,280.0,310.0,False,SOFT,10.0,True,AlphaTauri,0 days 00:45:08.588000,2020-07-12 13:25:10.610,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
