LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.763000,14.0,KVY,26,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:33.996000,0 days 00:00:41.822000,,0 days 00:33:45.961000,0 days 00:34:27.957000,297.0,229.0,123.0,286.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:01:59.748000,13.0,KVY,26,0 days 00:35:22.220000,2.0,1.0,,,0 days 00:00:26.422000,0 days 00:00:56.108000,0 days 00:00:37.218000,0 days 00:34:54.184000,0 days 00:35:50.292000,0 days 00:36:27.510000,234.0,180.0,167.0,187.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:34:27.762000,2020-07-12 13:14:29.784,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:01:38.006000,13.0,KVY,26,0 days 00:37:22.219000,3.0,1.0,,,0 days 00:00:26.930000,0 days 00:00:42.911000,0 days 00:00:28.165000,0 days 00:36:54.440000,0 days 00:37:37.351000,0 days 00:38:05.516000,132.0,213.0,270.0,248.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:36:27.510000,2020-07-12 13:16:29.532,4,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.4,945.8,False,41.6,85,2.1
0 days 00:01:12.250000,12.0,KVY,26,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.869000,0 days 00:00:32.312000,0 days 00:00:22.069000,0 days 00:38:23.385000,0 days 00:38:55.697000,0 days 00:39:17.766000,304.0,226.0,272.0,294.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:38:05.516000,2020-07-12 13:18:07.538,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:12.162000,13.0,KVY,26,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:18.070000,0 days 00:00:32.100000,0 days 00:00:21.992000,0 days 00:39:35.836000,0 days 00:40:07.936000,0 days 00:40:29.928000,295.0,221.0,273.0,300.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:39:17.766000,2020-07-12 13:19:19.788,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:11.161000,13.0,KVY,26,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.359000,0 days 00:00:31.800000,0 days 00:00:22.002000,0 days 00:40:47.287000,0 days 00:41:19.087000,0 days 00:41:41.089000,319.0,220.0,277.0,313.0,True,MEDIUM,6.0,True,AlphaTauri,0 days 00:40:29.928000,2020-07-12 13:20:31.950,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.276000,12.0,KVY,26,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.196000,0 days 00:00:31.326000,0 days 00:00:21.754000,0 days 00:41:58.285000,0 days 00:42:29.611000,0 days 00:42:51.365000,321.0,221.0,271.0,309.0,True,MEDIUM,7.0,True,AlphaTauri,0 days 00:41:41.089000,2020-07-12 13:21:43.111,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:10.296000,12.0,KVY,26,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.606000,0 days 00:00:31.127000,0 days 00:00:21.563000,0 days 00:43:08.971000,0 days 00:43:40.098000,0 days 00:44:01.661000,298.0,222.0,271.0,295.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:42:51.365000,2020-07-12 13:22:53.387,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.510000,12.0,KVY,26,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.747000,0 days 00:00:31.210000,0 days 00:00:21.553000,0 days 00:44:19.408000,0 days 00:44:50.618000,0 days 00:45:12.171000,297.0,221.0,273.0,294.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:44:01.661000,2020-07-12 13:24:03.683,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.333000,12.0,KVY,26,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.662000,0 days 00:00:31.097000,0 days 00:00:21.574000,0 days 00:45:29.833000,0 days 00:46:00.930000,0 days 00:46:22.504000,299.0,221.0,272.0,296.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:45:12.171000,2020-07-12 13:25:14.193,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
