LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.190000,17.0,PER,11,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:35.505000,0 days 00:00:42.533000,,0 days 00:33:47.732000,0 days 00:34:30.346000,295.0,228.0,123.0,293.0,False,SOFT,1.0,True,Racing Point,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:01:59.148000,15.0,PER,11,0 days 00:35:22.220000,2.0,1.0,,,0 days 00:00:25.665000,0 days 00:00:56.601000,0 days 00:00:36.882000,0 days 00:34:55.916000,0 days 00:35:52.517000,0 days 00:36:29.399000,236.0,167.0,167.0,159.0,True,SOFT,2.0,True,Racing Point,0 days 00:34:30.251000,2020-07-12 13:14:32.273,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:01:37.229000,15.0,PER,11,0 days 00:37:22.219000,3.0,1.0,,,0 days 00:00:27.415000,0 days 00:00:43.047000,0 days 00:00:26.767000,0 days 00:36:56.814000,0 days 00:37:39.861000,0 days 00:38:06.628000,142.0,219.0,276.0,215.0,True,SOFT,3.0,True,Racing Point,0 days 00:36:29.399000,2020-07-12 13:16:31.421,4,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.4,945.8,False,41.6,85,2.1
0 days 00:01:11.533000,13.0,PER,11,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.795000,0 days 00:00:31.750000,0 days 00:00:21.988000,0 days 00:38:24.423000,0 days 00:38:56.173000,0 days 00:39:18.161000,303.0,225.0,279.0,308.0,True,SOFT,4.0,True,Racing Point,0 days 00:38:06.628000,2020-07-12 13:18:08.650,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:11.241000,12.0,PER,11,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.764000,0 days 00:00:31.531000,0 days 00:00:21.946000,0 days 00:39:35.925000,0 days 00:40:07.456000,0 days 00:40:29.402000,301.0,223.0,277.0,295.0,True,SOFT,5.0,True,Racing Point,0 days 00:39:18.161000,2020-07-12 13:19:20.183,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:09.872000,11.0,PER,11,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.374000,0 days 00:00:30.972000,0 days 00:00:21.526000,0 days 00:40:46.776000,0 days 00:41:17.748000,0 days 00:41:39.274000,332.0,225.0,284.0,312.0,True,SOFT,6.0,True,Racing Point,0 days 00:40:29.402000,2020-07-12 13:20:31.424,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.541000,11.0,PER,11,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:16.813000,0 days 00:00:32.188000,0 days 00:00:21.540000,0 days 00:41:56.087000,0 days 00:42:28.275000,0 days 00:42:49.815000,334.0,222.0,278.0,300.0,False,SOFT,7.0,True,Racing Point,0 days 00:41:39.274000,2020-07-12 13:21:41.296,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:10.304000,11.0,PER,11,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.250000,0 days 00:00:31.107000,0 days 00:00:21.947000,0 days 00:43:07.065000,0 days 00:43:38.172000,0 days 00:44:00.119000,313.0,229.0,283.0,320.0,False,SOFT,8.0,True,Racing Point,0 days 00:42:49.815000,2020-07-12 13:22:51.837,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.585000,11.0,PER,11,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:16.903000,0 days 00:00:31.783000,0 days 00:00:21.899000,0 days 00:44:17.022000,0 days 00:44:48.805000,0 days 00:45:10.704000,336.0,217.0,283.0,322.0,False,SOFT,9.0,True,Racing Point,0 days 00:44:00.119000,2020-07-12 13:24:02.141,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.326000,11.0,PER,11,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.271000,0 days 00:00:31.458000,0 days 00:00:21.597000,0 days 00:45:27.975000,0 days 00:45:59.433000,0 days 00:46:21.030000,309.0,221.0,284.0,311.0,False,SOFT,10.0,True,Racing Point,0 days 00:45:10.704000,2020-07-12 13:25:12.726,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
