LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:21.063000,2.0,VER,33,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:30.916000,0 days 00:00:29.488000,,0 days 00:33:40.585000,0 days 00:34:10.244000,295.0,233.0,162.0,292.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:02:03.866000,2.0,VER,33,0 days 00:34:22.215000,2.0,1.0,,,0 days 00:00:25.541000,0 days 00:01:02.759000,0 days 00:00:35.566000,0 days 00:34:35.610000,0 days 00:35:38.369000,0 days 00:36:13.935000,216.0,135.0,196.0,135.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:34:10.069000,2020-07-12 13:14:12.091,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.4,35.8,945.7,False,39.7,59,2.7
0 days 00:01:46.919000,2.0,VER,33,0 days 00:36:22.217000,3.0,1.0,,,0 days 00:00:27.058000,0 days 00:00:46.579000,0 days 00:00:33.282000,0 days 00:36:40.993000,0 days 00:37:27.572000,0 days 00:38:00.854000,187.0,153.0,275.0,244.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:36:13.935000,2020-07-12 13:16:15.957,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.7,35.0,945.8,False,41.5,90,3.3
0 days 00:01:09.382000,2.0,VER,33,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.552000,0 days 00:00:30.707000,0 days 00:00:21.123000,0 days 00:38:18.406000,0 days 00:38:49.113000,0 days 00:39:10.236000,290.0,224.0,273.0,283.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:38:00.854000,2020-07-12 13:18:02.876,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:09.086000,2.0,VER,33,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.524000,0 days 00:00:30.570000,0 days 00:00:20.992000,0 days 00:39:27.760000,0 days 00:39:58.330000,0 days 00:40:19.322000,285.0,232.0,275.0,282.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:39:10.236000,2020-07-12 13:19:12.258,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:08.993000,2.0,VER,33,0 days 00:40:22.217000,6.0,1.0,,,0 days 00:00:17.543000,0 days 00:00:30.458000,0 days 00:00:20.992000,0 days 00:40:36.865000,0 days 00:41:07.323000,0 days 00:41:28.315000,,231.0,274.0,283.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:40:19.322000,2020-07-12 13:20:21.344,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.9,33.9,945.8,False,41.9,87,3.0
0 days 00:01:09.084000,2.0,VER,33,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.507000,0 days 00:00:30.484000,0 days 00:00:21.093000,0 days 00:41:45.822000,0 days 00:42:16.306000,0 days 00:42:37.399000,287.0,232.0,272.0,280.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:41:28.315000,2020-07-12 13:21:30.337,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:09.065000,2.0,VER,33,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.577000,0 days 00:00:30.542000,0 days 00:00:20.946000,0 days 00:42:54.976000,0 days 00:43:25.518000,0 days 00:43:46.464000,,232.0,273.0,280.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:42:37.399000,2020-07-12 13:22:39.421,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:08.925000,2.0,VER,33,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.556000,0 days 00:00:30.500000,0 days 00:00:20.869000,0 days 00:44:04.020000,0 days 00:44:34.520000,0 days 00:44:55.389000,,231.0,273.0,281.0,True,SOFT,9.0,True,Red Bull Racing,0 days 00:43:46.464000,2020-07-12 13:23:48.486,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:08.836000,2.0,VER,33,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.582000,0 days 00:00:30.340000,0 days 00:00:20.914000,0 days 00:45:12.971000,0 days 00:45:43.311000,0 days 00:46:04.225000,286.0,233.0,273.0,284.0,True,SOFT,10.0,True,Red Bull Racing,0 days 00:44:55.389000,2020-07-12 13:24:57.411,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
0 days 00:01:08.798000,2.0,VER,33,0 days 00:46:22.219000,11.0,1.0,,,0 days 00:00:17.517000,0 days 00:00:30.435000,0 days 00:00:20.846000,0 days 00:46:21.742000,0 days 00:46:52.177000,0 days 00:47:13.023000,287.0,233.0,274.0,283.0,True,SOFT,11.0,True,Red Bull Racing,0 days 00:46:04.225000,2020-07-12 13:26:06.247,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.6,946.0,False,41.6,66,2.8
0 days 00:01:08.693000,2.0,VER,33,0 days 00:47:22.223000,12.0,1.0,,,0 days 00:00:17.432000,0 days 00:00:30.378000,0 days 00:00:20.883000,0 days 00:47:30.455000,0 days 00:48:00.833000,0 days 00:48:21.716000,289.0,236.0,273.0,285.0,True,SOFT,12.0,True,Red Bull Racing,0 days 00:47:13.023000,2020-07-12 13:27:15.045,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.6,946.0,False,41.6,60,2.1
0 days 00:01:08.889000,2.0,VER,33,0 days 00:48:22.227000,13.0,1.0,,,0 days 00:00:17.504000,0 days 00:00:30.553000,0 days 00:00:20.832000,0 days 00:48:39.220000,0 days 00:49:09.773000,0 days 00:49:30.605000,287.0,234.0,274.0,283.0,False,SOFT,13.0,True,Red Bull Racing,0 days 00:48:21.716000,2020-07-12 13:28:23.738,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,34.4,945.9,False,42.0,81,2.0
0 days 00:01:08.763000,2.0,VER,33,0 days 00:50:22.226000,14.0,1.0,,,0 days 00:00:17.440000,0 days 00:00:30.486000,0 days 00:00:20.837000,0 days 00:49:48.045000,0 days 00:50:18.531000,0 days 00:50:39.368000,289.0,232.0,273.0,282.0,False,SOFT,14.0,True,Red Bull Racing,0 days 00:49:30.605000,2020-07-12 13:29:32.627,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.3,33.4,946.0,False,42.0,48,2.2
