LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:11.904000,6.0,HAM,44,0 days 00:33:45.192000,1.0,1.0,,,,0 days 00:00:46.571000,0 days 00:00:33.849000,,0 days 00:35:04.645000,0 days 00:35:38.558000,209.0,244.0,194.0,216.0,False,WET,1.0,True,Mercedes,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,False,,False,False,0,Turkish Grand Prix,14,336.0,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:01:59.881000,6.0,HAM,44,0 days 00:35:45.184000,2.0,1.0,,,0 days 00:00:45.452000,0 days 00:00:42.974000,0 days 00:00:31.455000,0 days 00:36:23.894000,0 days 00:37:06.868000,0 days 00:37:38.323000,216.0,267.0,208.0,214.0,True,WET,2.0,True,Mercedes,0 days 00:35:38.424000,2020-11-15 10:15:38.926,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:01:56.659000,6.0,HAM,44,0 days 00:37:45.197000,3.0,1.0,,,0 days 00:00:43.772000,0 days 00:00:42.021000,0 days 00:00:30.866000,0 days 00:38:22.095000,0 days 00:39:04.116000,0 days 00:39:34.982000,217.0,265.0,207.0,224.0,True,WET,3.0,True,Mercedes,0 days 00:37:38.305000,2020-11-15 10:17:38.807,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:01:55.018000,6.0,HAM,44,0 days 00:39:45.224000,4.0,1.0,,,0 days 00:00:43.492000,0 days 00:00:41.098000,0 days 00:00:30.428000,0 days 00:40:18.474000,0 days 00:40:59.572000,0 days 00:41:30,231.0,269.0,212.0,226.0,True,WET,4.0,True,Mercedes,0 days 00:39:34.964000,2020-11-15 10:19:35.466,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:01:54.724000,6.0,HAM,44,0 days 00:41:45.201000,5.0,1.0,,,0 days 00:00:42.743000,0 days 00:00:40.935000,0 days 00:00:31.046000,0 days 00:42:12.743000,0 days 00:42:53.678000,0 days 00:43:24.724000,236.0,268.0,213.0,219.0,True,WET,5.0,True,Mercedes,0 days 00:41:29.982000,2020-11-15 10:21:30.484,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:01:53.283000,6.0,HAM,44,0 days 00:43:45.201000,6.0,1.0,,,0 days 00:00:42.486000,0 days 00:00:40.354000,0 days 00:00:30.443000,0 days 00:44:07.210000,0 days 00:44:47.564000,0 days 00:45:18.007000,230.0,268.0,213.0,215.0,True,WET,6.0,True,Mercedes,0 days 00:43:24.706000,2020-11-15 10:23:25.208,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:01:52.562000,6.0,HAM,44,0 days 00:45:45.192000,7.0,1.0,,,0 days 00:00:41.970000,0 days 00:00:40.084000,0 days 00:00:30.508000,0 days 00:45:59.977000,0 days 00:46:40.061000,0 days 00:47:10.569000,226.0,268.0,217.0,216.0,True,WET,7.0,True,Mercedes,0 days 00:45:17.989000,2020-11-15 10:25:18.491,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:01:54.401000,6.0,HAM,44,0 days 00:47:45.189000,8.0,1.0,,0 days 00:49:04.411000,0 days 00:00:41.668000,0 days 00:00:40.668000,0 days 00:00:32.065000,0 days 00:47:52.237000,0 days 00:48:32.905000,0 days 00:49:04.970000,234.0,267.0,,223.0,False,WET,8.0,True,Mercedes,0 days 00:47:10.551000,2020-11-15 10:27:11.053,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:02:08.857000,8.0,HAM,44,0 days 00:49:45.196000,9.0,2.0,0 days 00:49:28.282000,,0 days 00:01:00.902000,0 days 00:00:39.015000,0 days 00:00:28.940000,0 days 00:50:05.872000,0 days 00:50:44.887000,0 days 00:51:13.827000,228.0,272.0,222.0,234.0,False,INTERMEDIATE,4.0,False,Mercedes,0 days 00:49:04.952000,2020-11-15 10:29:05.454,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:01:45.872000,8.0,HAM,44,0 days 00:51:45.191000,10.0,2.0,,,0 days 00:00:39.718000,0 days 00:00:37.446000,0 days 00:00:28.708000,0 days 00:51:53.545000,0 days 00:52:30.991000,0 days 00:52:59.699000,251.0,277.0,225.0,223.0,True,INTERMEDIATE,5.0,False,Mercedes,0 days 00:51:13.809000,2020-11-15 10:31:14.311,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.9,1008.6,False,16.1,0,1.2
0 days 00:01:49.209000,6.0,HAM,44,0 days 00:53:45.204000,11.0,2.0,,,0 days 00:00:40.166000,0 days 00:00:39.611000,0 days 00:00:29.432000,0 days 00:53:39.865000,0 days 00:54:19.476000,0 days 00:54:48.908000,237.0,279.0,225.0,234.0,False,INTERMEDIATE,6.0,False,Mercedes,0 days 00:52:59.681000,2020-11-15 10:33:00.183,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.3,81.9,1008.5,False,16.1,181,1.1
0 days 00:01:50.239000,6.0,HAM,44,0 days 00:55:45.222000,12.0,2.0,,,0 days 00:00:40.917000,0 days 00:00:39.416000,0 days 00:00:29.906000,0 days 00:55:29.825000,0 days 00:56:09.241000,0 days 00:56:39.147000,235.0,278.0,224.0,232.0,False,INTERMEDIATE,7.0,False,Mercedes,0 days 00:54:48.890000,2020-11-15 10:34:49.392,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,80.7,1008.5,False,15.9,209,0.9
0 days 00:01:54.471000,5.0,HAM,44,0 days 00:56:45.217000,13.0,2.0,,,0 days 00:00:40.600000,0 days 00:00:38.570000,0 days 00:00:35.301000,0 days 00:57:19.747000,0 days 00:57:58.317000,0 days 00:58:33.618000,249.0,278.0,224.0,177.0,False,INTERMEDIATE,8.0,False,Mercedes,0 days 00:56:39.129000,2020-11-15 10:36:39.631,26,False,,False,False,0,Turkish Grand Prix,14,336.0,13.1,80.2,1008.4,False,15.8,252,1.0
0 days 00:02:06.654000,5.0,HAM,44,0 days 00:58:45.205000,14.0,2.0,,,0 days 00:00:45.989000,0 days 00:00:45.417000,0 days 00:00:35.248000,0 days 00:59:19.607000,0 days 01:00:05.024000,0 days 01:00:40.272000,149.0,219.0,218.0,168.0,False,INTERMEDIATE,9.0,False,Mercedes,0 days 00:58:33.600000,2020-11-15 10:38:34.102,6,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,80.0,1008.4,False,15.9,201,1.2
0 days 00:01:55.353000,6.0,HAM,44,0 days 01:00:45.211000,15.0,2.0,,,0 days 00:00:45.426000,0 days 00:00:38.999000,0 days 00:00:30.928000,0 days 01:01:25.698000,0 days 01:02:04.697000,0 days 01:02:35.625000,230.0,279.0,212.0,257.0,False,INTERMEDIATE,10.0,False,Mercedes,0 days 01:00:40.254000,2020-11-15 10:40:40.756,67,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,79.8,1008.5,False,16.0,248,1.1
0 days 00:01:47.193000,6.0,HAM,44,0 days 01:02:45.217000,16.0,2.0,,,0 days 00:00:40.198000,0 days 00:00:38.254000,0 days 00:00:28.741000,0 days 01:03:15.823000,0 days 01:03:54.077000,0 days 01:04:22.818000,249.0,279.0,226.0,217.0,False,INTERMEDIATE,11.0,False,Mercedes,0 days 01:02:35.607000,2020-11-15 10:42:36.109,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.3,79.7,1008.5,False,16.1,243,1.4
0 days 00:01:46.044000,6.0,HAM,44,0 days 01:04:45.212000,17.0,2.0,,,0 days 00:00:39.965000,0 days 00:00:37.486000,0 days 00:00:28.593000,0 days 01:05:02.783000,0 days 01:05:40.269000,0 days 01:06:08.862000,255.0,282.0,227.0,225.0,False,INTERMEDIATE,12.0,False,Mercedes,0 days 01:04:22.800000,2020-11-15 10:44:23.302,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.4,79.0,1008.5,False,16.2,250,1.2
0 days 00:01:45.723000,5.0,HAM,44,0 days 01:06:45.220000,18.0,2.0,,,0 days 00:00:39.574000,0 days 00:00:37.091000,0 days 00:00:29.058000,0 days 01:06:48.436000,0 days 01:07:25.527000,0 days 01:07:54.585000,249.0,281.0,224.0,219.0,True,INTERMEDIATE,13.0,False,Mercedes,0 days 01:06:08.844000,2020-11-15 10:46:09.346,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.4,78.8,1008.5,False,16.4,263,0.8
