LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:14.918000,8.0,RAI,7,0 days 00:33:45.192000,1.0,1.0,,,,0 days 00:00:45.717000,0 days 00:00:32.815000,,0 days 00:35:08.653000,0 days 00:35:41.535000,198.0,261.0,198.0,200.0,False,WET,10.0,False,Alfa Romeo Racing,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,False,,False,False,0,Turkish Grand Prix,14,336.0,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:02:00.377000,8.0,RAI,7,0 days 00:35:45.184000,2.0,1.0,,,0 days 00:00:45.747000,0 days 00:00:43.001000,0 days 00:00:31.629000,0 days 00:36:27.149000,0 days 00:37:10.150000,0 days 00:37:41.779000,219.0,266.0,206.0,197.0,True,WET,11.0,False,Alfa Romeo Racing,0 days 00:35:41.438000,2020-11-15 10:15:41.940,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:01:58.478000,8.0,RAI,7,0 days 00:37:45.197000,3.0,1.0,,,0 days 00:00:44.245000,0 days 00:00:42.337000,0 days 00:00:31.896000,0 days 00:38:26.024000,0 days 00:39:08.361000,0 days 00:39:40.257000,238.0,264.0,208.0,219.0,True,WET,12.0,False,Alfa Romeo Racing,0 days 00:37:41.815000,2020-11-15 10:17:42.317,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:01:56.508000,8.0,RAI,7,0 days 00:39:45.224000,4.0,1.0,,,0 days 00:00:43.440000,0 days 00:00:41.502000,0 days 00:00:31.566000,0 days 00:40:23.697000,0 days 00:41:05.199000,0 days 00:41:36.765000,243.0,266.0,211.0,234.0,True,WET,13.0,False,Alfa Romeo Racing,0 days 00:39:40.293000,2020-11-15 10:19:40.795,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:01:58.955000,9.0,RAI,7,0 days 00:41:45.201000,5.0,1.0,,,0 days 00:00:44.145000,0 days 00:00:43.712000,0 days 00:00:31.098000,0 days 00:42:20.910000,0 days 00:43:04.622000,0 days 00:43:35.720000,248.0,266.0,211.0,217.0,False,WET,14.0,False,Alfa Romeo Racing,0 days 00:41:36.801000,2020-11-15 10:21:37.303,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:01:56.634000,9.0,RAI,7,0 days 00:43:45.201000,6.0,1.0,,,0 days 00:00:43.383000,0 days 00:00:42.358000,0 days 00:00:30.893000,0 days 00:44:19.103000,0 days 00:45:01.461000,0 days 00:45:32.354000,238.0,266.0,213.0,230.0,False,WET,15.0,False,Alfa Romeo Racing,0 days 00:43:35.756000,2020-11-15 10:23:36.258,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:01:55.279000,9.0,RAI,7,0 days 00:45:45.192000,7.0,1.0,,,0 days 00:00:43.272000,0 days 00:00:41.469000,0 days 00:00:30.538000,0 days 00:46:15.626000,0 days 00:46:57.095000,0 days 00:47:27.633000,243.0,265.0,213.0,227.0,True,WET,16.0,False,Alfa Romeo Racing,0 days 00:45:32.390000,2020-11-15 10:25:32.892,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:01:55.858000,9.0,RAI,7,0 days 00:47:45.189000,8.0,1.0,,0 days 00:49:22.985000,0 days 00:00:43.167000,0 days 00:00:40.981000,0 days 00:00:31.710000,0 days 00:48:10.800000,0 days 00:48:51.781000,0 days 00:49:23.491000,,265.0,,239.0,False,WET,17.0,False,Alfa Romeo Racing,0 days 00:47:27.669000,2020-11-15 10:27:28.171,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:02:19.440000,12.0,RAI,7,0 days 00:49:45.196000,9.0,2.0,0 days 00:49:53.765000,,0 days 00:01:09.017000,0 days 00:00:40.527000,0 days 00:00:29.896000,0 days 00:50:32.508000,0 days 00:51:13.035000,0 days 00:51:42.931000,237.0,269.0,218.0,230.0,False,INTERMEDIATE,1.0,True,Alfa Romeo Racing,0 days 00:49:23.527000,2020-11-15 10:29:24.029,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:01:50.839000,11.0,RAI,7,0 days 00:51:45.191000,10.0,2.0,,,0 days 00:00:42.027000,0 days 00:00:39.255000,0 days 00:00:29.557000,0 days 00:52:24.958000,0 days 00:53:04.213000,0 days 00:53:33.770000,238.0,275.0,222.0,225.0,True,INTERMEDIATE,2.0,True,Alfa Romeo Racing,0 days 00:51:42.967000,2020-11-15 10:31:43.469,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.9,1008.6,False,16.1,0,1.2
