LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:27.980000,17.0,RUS,63,0 days 00:33:45.192000,1.0,1.0,0 days 00:33:46.824000,0 days 00:32:31.136000,,0 days 00:00:49.079000,0 days 00:00:33.994000,,0 days 00:35:20.562000,0 days 00:35:54.728000,156.0,224.0,188.0,204.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,False,,False,False,0,Turkish Grand Prix,14,336.0,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:02:09.862000,18.0,RUS,63,0 days 00:36:45.202000,2.0,1.0,,,0 days 00:00:50.739000,0 days 00:00:46.484000,0 days 00:00:32.639000,0 days 00:36:45.198000,0 days 00:37:31.682000,0 days 00:38:04.321000,202.0,250.0,180.0,219.0,False,INTERMEDIATE,2.0,True,Williams,0 days 00:35:54.500000,2020-11-15 10:15:55.002,1,True,TRACK LIMITS AT TURN 1,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.7,1008.6,False,15.7,247,1.2
0 days 00:02:02.790000,18.0,RUS,63,0 days 00:38:45.192000,3.0,1.0,,,0 days 00:00:46.231000,0 days 00:00:45.021000,0 days 00:00:31.538000,0 days 00:38:50.552000,0 days 00:39:35.573000,0 days 00:40:07.111000,208.0,258.0,189.0,235.0,True,INTERMEDIATE,3.0,True,Williams,0 days 00:38:04.362000,2020-11-15 10:18:04.864,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,82.4,1008.6,False,15.7,217,1.2
0 days 00:02:00.833000,18.0,RUS,63,0 days 00:40:45.187000,4.0,1.0,,,0 days 00:00:45.290000,0 days 00:00:44.390000,0 days 00:00:31.153000,0 days 00:40:52.401000,0 days 00:41:36.791000,0 days 00:42:07.944000,214.0,260.0,199.0,231.0,True,INTERMEDIATE,4.0,True,Williams,0 days 00:40:07.152000,2020-11-15 10:20:07.654,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.8,1008.7,False,15.6,192,0.9
0 days 00:01:58.792000,18.0,RUS,63,0 days 00:42:45.192000,5.0,1.0,,,0 days 00:00:44.057000,0 days 00:00:42.819000,0 days 00:00:31.916000,0 days 00:42:52.001000,0 days 00:43:34.820000,0 days 00:44:06.736000,229.0,262.0,208.0,243.0,True,INTERMEDIATE,5.0,True,Williams,0 days 00:42:07.985000,2020-11-15 10:22:08.487,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.3,1008.6,False,15.6,245,1.7
0 days 00:01:56.634000,18.0,RUS,63,0 days 00:44:45.204000,6.0,1.0,,,0 days 00:00:43.859000,0 days 00:00:42.092000,0 days 00:00:30.683000,0 days 00:44:50.595000,0 days 00:45:32.687000,0 days 00:46:03.370000,240.0,263.0,211.0,227.0,True,INTERMEDIATE,6.0,True,Williams,0 days 00:44:06.777000,2020-11-15 10:24:07.279,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.2,1008.6,False,15.7,262,1.0
0 days 00:01:55.621000,17.0,RUS,63,0 days 00:46:45.196000,7.0,1.0,,,0 days 00:00:42.674000,0 days 00:00:41.260000,0 days 00:00:31.687000,0 days 00:46:46.044000,0 days 00:47:27.304000,0 days 00:47:58.991000,244.0,266.0,209.0,244.0,True,INTERMEDIATE,7.0,True,Williams,0 days 00:46:03.411000,2020-11-15 10:26:03.913,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.2,1008.6,False,15.9,258,1.1
0 days 00:01:54.228000,16.0,RUS,63,0 days 00:48:45.193000,8.0,1.0,,,0 days 00:00:42.636000,0 days 00:00:40.344000,0 days 00:00:31.248000,0 days 00:48:41.627000,0 days 00:49:21.971000,0 days 00:49:53.219000,241.0,271.0,215.0,212.0,True,INTERMEDIATE,8.0,True,Williams,0 days 00:47:59.032000,2020-11-15 10:27:59.534,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.2,1008.5,False,15.7,254,1.6
0 days 00:01:52.942000,14.0,RUS,63,0 days 00:50:45.196000,9.0,1.0,,,0 days 00:00:41.565000,0 days 00:00:40.284000,0 days 00:00:31.093000,0 days 00:50:34.784000,0 days 00:51:15.068000,0 days 00:51:46.161000,249.0,259.0,215.0,215.0,True,INTERMEDIATE,9.0,True,Williams,0 days 00:49:53.260000,2020-11-15 10:29:53.762,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.9,1008.5,False,15.9,246,1.6
0 days 00:01:51.091000,13.0,RUS,63,0 days 00:52:45.200000,10.0,1.0,,,0 days 00:00:41.695000,0 days 00:00:39.616000,0 days 00:00:29.780000,0 days 00:52:27.856000,0 days 00:53:07.472000,0 days 00:53:37.252000,251.0,271.0,221.0,230.0,True,INTERMEDIATE,10.0,True,Williams,0 days 00:51:46.202000,2020-11-15 10:31:46.704,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.6,1008.5,False,16.1,243,1.1
0 days 00:01:49.730000,12.0,RUS,63,0 days 00:53:45.204000,11.0,1.0,,,0 days 00:00:41.201000,0 days 00:00:39.030000,0 days 00:00:29.499000,0 days 00:54:18.453000,0 days 00:54:57.483000,0 days 00:55:26.982000,244.0,273.0,220.0,230.0,True,INTERMEDIATE,11.0,True,Williams,0 days 00:53:37.293000,2020-11-15 10:33:37.795,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.3,81.9,1008.5,False,16.1,181,1.1
