LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:09.685000,4.0,VER,33,0 days 00:33:45.192000,1.0,1.0,,,,0 days 00:00:44.477000,0 days 00:00:31.805000,,0 days 00:35:04.403000,0 days 00:35:36.291000,212.0,257.0,203.0,215.0,False,WET,15.0,False,Red Bull Racing,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,False,,False,False,0,Turkish Grand Prix,14,336.0,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:01:59.069000,4.0,VER,33,0 days 00:35:45.184000,2.0,1.0,,,0 days 00:00:44.238000,0 days 00:00:42.798000,0 days 00:00:32.033000,0 days 00:36:20.394000,0 days 00:37:03.192000,0 days 00:37:35.225000,229.0,265.0,209.0,208.0,True,WET,16.0,False,Red Bull Racing,0 days 00:35:36.205000,2020-11-15 10:15:36.707,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:01:55.266000,4.0,VER,33,0 days 00:37:45.197000,3.0,1.0,,,0 days 00:00:42.967000,0 days 00:00:41.819000,0 days 00:00:30.480000,0 days 00:38:18.192000,0 days 00:39:00.011000,0 days 00:39:30.491000,246.0,266.0,211.0,228.0,True,WET,17.0,False,Red Bull Racing,0 days 00:37:35.274000,2020-11-15 10:17:35.776,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:01:55.259000,4.0,VER,33,0 days 00:39:45.224000,4.0,1.0,,,0 days 00:00:43.280000,0 days 00:00:41.635000,0 days 00:00:30.344000,0 days 00:40:13.771000,0 days 00:40:55.406000,0 days 00:41:25.750000,239.0,265.0,212.0,238.0,True,WET,18.0,False,Red Bull Racing,0 days 00:39:30.540000,2020-11-15 10:19:31.042,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:01:54.134000,4.0,VER,33,0 days 00:41:45.201000,5.0,1.0,,,0 days 00:00:42.686000,0 days 00:00:40.992000,0 days 00:00:30.456000,0 days 00:42:08.436000,0 days 00:42:49.428000,0 days 00:43:19.884000,244.0,268.0,208.0,225.0,True,WET,19.0,False,Red Bull Racing,0 days 00:41:25.799000,2020-11-15 10:21:26.301,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:01:53.330000,4.0,VER,33,0 days 00:43:45.201000,6.0,1.0,,,0 days 00:00:42.686000,0 days 00:00:40.239000,0 days 00:00:30.405000,,0 days 00:44:42.809000,0 days 00:45:13.214000,254.0,267.0,209.0,233.0,True,WET,20.0,False,Red Bull Racing,0 days 00:43:19.933000,2020-11-15 10:23:20.435,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:01:52.893000,4.0,VER,33,0 days 00:45:45.192000,7.0,1.0,,,0 days 00:00:42.158000,0 days 00:00:40.368000,0 days 00:00:30.367000,0 days 00:45:55.372000,0 days 00:46:35.740000,0 days 00:47:06.107000,252.0,268.0,212.0,225.0,True,WET,21.0,False,Red Bull Racing,0 days 00:45:13.263000,2020-11-15 10:25:13.765,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:01:52.703000,4.0,VER,33,0 days 00:47:45.189000,8.0,1.0,,,0 days 00:00:42.129000,0 days 00:00:40.137000,0 days 00:00:30.437000,0 days 00:47:48.236000,0 days 00:48:28.373000,0 days 00:48:58.810000,253.0,267.0,213.0,242.0,True,WET,22.0,False,Red Bull Racing,0 days 00:47:06.156000,2020-11-15 10:27:06.658,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:01:51.091000,3.0,VER,33,0 days 00:49:45.196000,9.0,1.0,,,0 days 00:00:41.186000,0 days 00:00:40.275000,0 days 00:00:29.630000,0 days 00:49:39.996000,0 days 00:50:20.271000,0 days 00:50:49.901000,255.0,264.0,217.0,247.0,True,WET,23.0,False,Red Bull Racing,0 days 00:48:58.859000,2020-11-15 10:28:59.361,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:01:48.610000,2.0,VER,33,0 days 00:51:45.191000,10.0,1.0,,,0 days 00:00:40.830000,0 days 00:00:38.289000,0 days 00:00:29.491000,0 days 00:51:30.731000,0 days 00:52:09.020000,0 days 00:52:38.511000,,269.0,214.0,259.0,True,WET,24.0,False,Red Bull Racing,0 days 00:50:49.950000,2020-11-15 10:30:50.452,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.9,1008.6,False,16.1,0,1.2
