LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:08.656000,3.0,VET,5,0 days 00:33:45.192000,1.0,1.0,,,,0 days 00:00:44.097000,0 days 00:00:31.519000,,0 days 00:35:03.714000,0 days 00:35:35.250000,204.0,259.0,201.0,222.0,False,WET,3.0,False,Ferrari,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,False,,False,False,0,Turkish Grand Prix,14,336.0,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:01:58.303000,3.0,VET,5,0 days 00:35:45.184000,2.0,1.0,,,0 days 00:00:44.582000,0 days 00:00:42.770000,0 days 00:00:30.951000,0 days 00:36:19.734000,0 days 00:37:02.504000,0 days 00:37:33.455000,232.0,262.0,207.0,229.0,True,WET,4.0,False,Ferrari,0 days 00:35:35.176000,2020-11-15 10:15:35.678,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:01:56.056000,3.0,VET,5,0 days 00:37:45.197000,3.0,1.0,,,0 days 00:00:43.486000,0 days 00:00:41.866000,0 days 00:00:30.704000,0 days 00:38:16.941000,0 days 00:38:58.807000,0 days 00:39:29.511000,229.0,265.0,209.0,239.0,True,WET,5.0,False,Ferrari,0 days 00:37:33.479000,2020-11-15 10:17:33.981,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:01:55.377000,3.0,VET,5,0 days 00:39:45.224000,4.0,1.0,,,0 days 00:00:43.478000,0 days 00:00:41.353000,0 days 00:00:30.546000,0 days 00:40:12.989000,0 days 00:40:54.342000,0 days 00:41:24.888000,244.0,264.0,212.0,235.0,True,WET,6.0,False,Ferrari,0 days 00:39:29.535000,2020-11-15 10:19:30.037,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:01:54.100000,3.0,VET,5,0 days 00:41:45.201000,5.0,1.0,,,0 days 00:00:42.783000,0 days 00:00:40.972000,0 days 00:00:30.345000,0 days 00:42:07.671000,0 days 00:42:48.643000,0 days 00:43:18.988000,242.0,265.0,211.0,235.0,True,WET,7.0,False,Ferrari,0 days 00:41:24.912000,2020-11-15 10:21:25.414,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:01:53.284000,3.0,VET,5,0 days 00:43:45.201000,6.0,1.0,,,0 days 00:00:42.530000,0 days 00:00:40.440000,0 days 00:00:30.314000,0 days 00:44:01.518000,0 days 00:44:41.958000,0 days 00:45:12.272000,247.0,265.0,214.0,235.0,True,WET,8.0,False,Ferrari,0 days 00:43:19.012000,2020-11-15 10:23:19.514,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:01:52.899000,3.0,VET,5,0 days 00:45:45.192000,7.0,1.0,,,0 days 00:00:42.302000,0 days 00:00:40.456000,0 days 00:00:30.141000,0 days 00:45:54.574000,0 days 00:46:35.030000,0 days 00:47:05.171000,246.0,265.0,215.0,246.0,True,WET,9.0,False,Ferrari,0 days 00:45:12.296000,2020-11-15 10:25:12.798,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:01:53.094000,3.0,VET,5,0 days 00:47:45.189000,8.0,1.0,,0 days 00:48:57.715000,0 days 00:00:42.111000,0 days 00:00:40.062000,0 days 00:00:30.921000,0 days 00:47:47.282000,0 days 00:48:27.344000,0 days 00:48:58.265000,250.0,266.0,,243.0,False,WET,10.0,False,Ferrari,0 days 00:47:05.195000,2020-11-15 10:27:05.697,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:02:10.845000,7.0,VET,5,0 days 00:49:45.196000,9.0,2.0,0 days 00:49:21.747000,,0 days 00:01:01.053000,0 days 00:00:40.550000,0 days 00:00:29.242000,0 days 00:49:59.318000,0 days 00:50:39.868000,0 days 00:51:09.110000,248.0,268.0,218.0,243.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:48:58.289000,2020-11-15 10:28:58.791,1,False,,False,False,0,Turkish Grand Prix,14,336.0,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:01:49.322000,7.0,VET,5,0 days 00:51:45.191000,10.0,2.0,,,0 days 00:00:40.896000,0 days 00:00:39.384000,0 days 00:00:29.042000,0 days 00:51:50.006000,0 days 00:52:29.390000,0 days 00:52:58.432000,254.0,273.0,220.0,245.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:51:09.134000,2020-11-15 10:31:09.636,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.2,81.9,1008.6,False,16.1,0,1.2
0 days 00:01:49.439000,5.0,VET,5,0 days 00:53:45.204000,11.0,2.0,,,0 days 00:00:40.638000,0 days 00:00:39.656000,0 days 00:00:29.145000,0 days 00:53:39.070000,0 days 00:54:18.726000,0 days 00:54:47.871000,250.0,273.0,220.0,241.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:52:58.456000,2020-11-15 10:32:58.958,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.3,81.9,1008.5,False,16.1,181,1.1
0 days 00:01:50.603000,5.0,VET,5,0 days 00:55:45.222000,12.0,2.0,,,0 days 00:00:41.575000,0 days 00:00:39.059000,0 days 00:00:29.969000,0 days 00:55:29.446000,0 days 00:56:08.505000,0 days 00:56:38.474000,249.0,274.0,221.0,252.0,False,INTERMEDIATE,4.0,True,Ferrari,0 days 00:54:47.895000,2020-11-15 10:34:48.397,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.1,80.7,1008.5,False,15.9,209,0.9
0 days 00:01:53.100000,4.0,VET,5,0 days 00:56:45.217000,13.0,2.0,,,0 days 00:00:40.478000,0 days 00:00:38.513000,0 days 00:00:34.109000,0 days 00:57:18.952000,0 days 00:57:57.465000,0 days 00:58:31.574000,,273.0,203.0,107.0,False,INTERMEDIATE,5.0,True,Ferrari,0 days 00:56:38.498000,2020-11-15 10:36:39.000,26,False,,False,False,0,Turkish Grand Prix,14,336.0,13.1,80.2,1008.4,False,15.8,252,1.0
0 days 00:02:07.391000,4.0,VET,5,0 days 00:58:45.205000,14.0,2.0,,,0 days 00:00:46.793000,0 days 00:00:45.985000,0 days 00:00:34.613000,0 days 00:59:18.367000,0 days 01:00:04.352000,0 days 01:00:38.965000,184.0,209.0,204.0,191.0,False,INTERMEDIATE,6.0,True,Ferrari,0 days 00:58:31.598000,2020-11-15 10:38:32.100,6,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,80.0,1008.4,False,15.9,201,1.2
0 days 00:01:55.131000,4.0,VET,5,0 days 01:00:45.211000,15.0,2.0,,,0 days 00:00:46.178000,0 days 00:00:39.010000,0 days 00:00:29.943000,0 days 01:01:25.143000,0 days 01:02:04.153000,0 days 01:02:34.096000,234.0,272.0,218.0,276.0,False,INTERMEDIATE,7.0,True,Ferrari,0 days 01:00:38.989000,2020-11-15 10:40:39.491,67,False,,False,False,0,Turkish Grand Prix,14,336.0,13.2,79.8,1008.5,False,16.0,248,1.1
0 days 00:01:48.022000,5.0,VET,5,0 days 01:02:45.217000,16.0,2.0,,,0 days 00:00:40.847000,0 days 00:00:38.350000,0 days 00:00:28.825000,0 days 01:03:14.943000,0 days 01:03:53.293000,0 days 01:04:22.118000,250.0,276.0,223.0,240.0,True,INTERMEDIATE,8.0,True,Ferrari,0 days 01:02:34.120000,2020-11-15 10:42:34.622,1,False,,False,True,0,Turkish Grand Prix,14,336.0,13.3,79.7,1008.5,False,16.1,243,1.4
0 days 00:01:46.067000,5.0,VET,5,0 days 01:04:45.212000,17.0,2.0,,,0 days 00:00:40.110000,0 days 00:00:37.483000,0 days 00:00:28.474000,0 days 01:05:02.228000,0 days 01:05:39.711000,0 days 01:06:08.185000,256.0,274.0,225.0,256.0,True,INTERMEDIATE,9.0,True,Ferrari,0 days 01:04:22.142000,2020-11-15 10:44:22.644,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.4,79.0,1008.5,False,16.2,250,1.2
0 days 00:01:45.212000,4.0,VET,5,0 days 01:06:45.220000,18.0,2.0,,,0 days 00:00:39.462000,0 days 00:00:37.220000,0 days 00:00:28.530000,0 days 01:06:47.647000,0 days 01:07:24.867000,0 days 01:07:53.397000,255.0,275.0,226.0,252.0,True,INTERMEDIATE,10.0,True,Ferrari,0 days 01:06:08.209000,2020-11-15 10:46:08.711,2,False,,False,True,0,Turkish Grand Prix,14,336.0,13.4,78.8,1008.5,False,16.4,263,0.8
