LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:50.341000,4.0,HAM,44,0 days 00:33:54.391000,1.0,1.0,,,,0 days 00:00:37.170000,0 days 00:00:36.855000,,0 days 00:34:39.025000,0 days 00:35:15.990000,267.0,229.0,259.0,241.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:26.653000,2.0,HAM,44,0 days 00:35:54.409000,2.0,1.0,,,0 days 00:00:58.223000,0 days 00:00:42.920000,0 days 00:00:45.510000,0 days 00:36:14.097000,0 days 00:36:57.017000,0 days 00:37:42.527000,102.0,98.0,242.0,266.0,True,SOFT,5.0,False,Mercedes,0 days 00:35:15.857000,2020-09-13 13:15:16.129,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:02:16.551000,2.0,HAM,44,0 days 00:37:54.410000,3.0,1.0,,,0 days 00:00:52.588000,0 days 00:00:38.262000,0 days 00:00:45.701000,0 days 00:38:35.115000,0 days 00:39:13.377000,0 days 00:39:59.078000,117.0,114.0,219.0,246.0,True,SOFT,6.0,False,Mercedes,0 days 00:37:42.510000,2020-09-13 13:17:42.782,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.3,993.6,False,45.2,346,3.0
0 days 00:02:14.621000,2.0,HAM,44,0 days 00:40:54.415000,4.0,1.0,,,0 days 00:00:50.886000,0 days 00:00:38.197000,0 days 00:00:45.538000,0 days 00:40:49.964000,0 days 00:41:28.161000,0 days 00:42:13.699000,109.0,113.0,251.0,237.0,True,SOFT,7.0,False,Mercedes,0 days 00:39:59.061000,2020-09-13 13:19:59.333,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:13.693000,2.0,HAM,44,0 days 00:42:54.416000,5.0,1.0,,,0 days 00:00:50.555000,0 days 00:00:37.549000,0 days 00:00:45.589000,0 days 00:43:04.254000,0 days 00:43:41.803000,0 days 00:44:27.392000,140.0,164.0,244.0,154.0,True,SOFT,8.0,False,Mercedes,0 days 00:42:13.682000,2020-09-13 13:22:13.954,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:21.511000,2.0,HAM,44,0 days 00:44:54.435000,6.0,1.0,,,0 days 00:00:49.580000,0 days 00:00:41.277000,0 days 00:00:50.654000,0 days 00:45:16.972000,0 days 00:45:58.249000,0 days 00:46:48.903000,123.0,111.0,224.0,267.0,False,SOFT,9.0,False,Mercedes,0 days 00:44:27.375000,2020-09-13 13:24:27.647,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:03.336000,2.0,HAM,44,0 days 00:46:54.466000,7.0,1.0,,0 days 00:48:37.301000,0 days 00:00:41.590000,0 days 00:00:30.786000,0 days 00:00:50.960000,0 days 00:47:30.493000,0 days 00:48:01.279000,0 days 00:48:52.239000,121.0,187.0,,274.0,False,SOFT,10.0,False,Mercedes,0 days 00:46:48.886000,2020-09-13 13:26:49.158,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.9,993.6,False,45.1,347,2.0
,3.0,HAM,44,0 days 00:48:54.477000,8.0,2.0,0 days 00:48:54.840000,0 days 00:51:13.788000,0 days 00:00:52.500000,0 days 00:00:42.433000,,0 days 00:49:44.739000,0 days 00:50:27.174000,,125.0,229.0,,,False,SOFT,11.0,False,Mercedes,0 days 00:48:52.222000,2020-09-13 13:28:52.494,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.6,993.6,False,45.3,25,1.9
,2.0,HAM,44,0 days 01:15:54.571000,9.0,3.0,0 days 01:15:10.471000,,0 days 00:01:00.396000,0 days 00:00:46.634000,,0 days 01:16:07.620000,0 days 01:16:54.205000,,62.0,133.0,105.0,,False,MEDIUM,1.0,True,Mercedes,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:23.370000,1.0,HAM,44,0 days 01:18:54.575000,10.0,3.0,,,0 days 00:00:31.567000,0 days 00:00:22.796000,0 days 00:00:29.007000,0 days 01:19:07.527000,0 days 01:19:30.323000,0 days 01:19:59.330000,265.0,247.0,288.0,246.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:18:35.943000,2020-09-13 13:58:36.215,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
