LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:02.355000,11.0,KVY,26,0 days 00:33:54.391000,1.0,1.0,,,,0 days 00:00:46.407000,0 days 00:00:34.780000,,0 days 00:34:53.065000,0 days 00:35:27.980000,166.0,209.0,270.0,268.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:24.130000,9.0,KVY,26,0 days 00:35:54.409000,2.0,1.0,,,0 days 00:00:53.787000,0 days 00:00:43.304000,0 days 00:00:47.039000,0 days 00:36:21.613000,0 days 00:37:04.917000,0 days 00:37:51.956000,130.0,77.0,242.0,270.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:35:27.871000,2020-09-13 13:15:28.143,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:02:17.237000,9.0,KVY,26,0 days 00:37:54.410000,3.0,1.0,,,0 days 00:00:53.830000,0 days 00:00:36.938000,0 days 00:00:46.469000,0 days 00:38:45.786000,0 days 00:39:22.724000,0 days 00:40:09.193000,182.0,218.0,240.0,240.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:37:52.001000,2020-09-13 13:17:52.273,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.3,993.6,False,45.2,346,3.0
0 days 00:02:14.702000,9.0,KVY,26,0 days 00:40:54.415000,4.0,1.0,,,0 days 00:00:50.042000,0 days 00:00:37.638000,0 days 00:00:47.022000,0 days 00:40:59.235000,0 days 00:41:36.873000,0 days 00:42:23.895000,109.0,166.0,233.0,262.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:40:09.238000,2020-09-13 13:20:09.510,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:12.980000,9.0,KVY,26,0 days 00:42:54.416000,5.0,1.0,,,0 days 00:00:51.560000,0 days 00:00:35.621000,0 days 00:00:45.799000,0 days 00:43:15.455000,0 days 00:43:51.076000,0 days 00:44:36.875000,227.0,217.0,254.0,256.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:42:23.940000,2020-09-13 13:22:24.212,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:13.715000,9.0,KVY,26,0 days 00:44:54.435000,6.0,1.0,,,0 days 00:00:51.601000,0 days 00:00:37.960000,0 days 00:00:44.154000,0 days 00:45:28.476000,0 days 00:46:06.436000,0 days 00:46:50.590000,96.0,111.0,238.0,261.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:44:36.920000,2020-09-13 13:24:37.192,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:12.074000,9.0,KVY,26,0 days 00:46:54.466000,7.0,1.0,,0 days 00:48:47.831000,0 days 00:00:48.610000,0 days 00:00:32.581000,0 days 00:00:50.883000,0 days 00:47:39.200000,0 days 00:48:11.781000,0 days 00:49:02.664000,161.0,207.0,,280.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:46:50.635000,2020-09-13 13:26:50.907,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.9,993.6,False,45.1,347,2.0
,10.0,KVY,26,0 days 00:49:54.483000,8.0,2.0,0 days 00:49:05.351000,0 days 00:51:24.552000,0 days 00:00:51.153000,0 days 00:00:42.325000,,0 days 00:49:53.856000,0 days 00:50:36.235000,,119.0,173.0,,,False,MEDIUM,8.0,False,AlphaTauri,0 days 00:49:02.709000,2020-09-13 13:29:02.981,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.2,993.5,False,45.5,333,2.4
,9.0,KVY,26,0 days 01:15:54.571000,9.0,3.0,0 days 01:15:30.595000,,0 days 00:00:51.522000,0 days 00:00:47.046000,0 days 00:01:31.604000,0 days 01:16:18.589000,0 days 01:17:05.570000,0 days 01:18:37.443000,46.0,220.0,174.0,,False,SOFT,1.0,True,AlphaTauri,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:30.149000,9.0,KVY,26,0 days 01:18:54.575000,10.0,3.0,,,0 days 00:00:35.107000,0 days 00:00:25.113000,0 days 00:00:29.929000,0 days 01:19:12.256000,0 days 01:19:37.369000,0 days 01:20:07.298000,216.0,248.0,299.0,263.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:18:37.194000,2020-09-13 13:58:37.466,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
