LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:04.620000,13.0,RUS,63,0 days 00:33:54.391000,1.0,1.0,,,,0 days 00:00:47.349000,0 days 00:00:34.993000,,0 days 00:34:55.125000,0 days 00:35:30.243000,131.0,225.0,275.0,284.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:24.480000,11.0,RUS,63,0 days 00:35:54.409000,2.0,1.0,,,0 days 00:00:54.665000,0 days 00:00:43.210000,0 days 00:00:46.605000,0 days 00:36:24.783000,0 days 00:37:07.993000,0 days 00:37:54.598000,85.0,68.0,257.0,274.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:30.136000,2020-09-13 13:15:30.408,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:02:17.132000,11.0,RUS,63,0 days 00:38:54.409000,3.0,1.0,,,0 days 00:00:54.025000,0 days 00:00:36.849000,0 days 00:00:46.258000,0 days 00:38:48.623000,0 days 00:39:25.472000,0 days 00:40:11.730000,174.0,234.0,251.0,267.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:54.616000,2020-09-13 13:17:54.888,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.2,39.3,993.5,False,45.1,1,3.2
0 days 00:02:14.898000,11.0,RUS,63,0 days 00:40:54.415000,4.0,1.0,,,0 days 00:00:50.559000,0 days 00:00:36.968000,0 days 00:00:47.371000,0 days 00:41:02.289000,0 days 00:41:39.257000,0 days 00:42:26.628000,127.0,127.0,240.0,265.0,True,MEDIUM,4.0,True,Williams,0 days 00:40:11.748000,2020-09-13 13:20:12.020,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:13.501000,11.0,RUS,63,0 days 00:42:54.416000,5.0,1.0,,,0 days 00:00:51.959000,0 days 00:00:34.684000,0 days 00:00:46.858000,0 days 00:43:18.587000,0 days 00:43:53.271000,0 days 00:44:40.129000,156.0,170.0,249.0,256.0,True,MEDIUM,5.0,True,Williams,0 days 00:42:26.646000,2020-09-13 13:22:26.918,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:10.896000,11.0,RUS,63,0 days 00:44:54.435000,6.0,1.0,,,0 days 00:00:50.916000,0 days 00:00:37.382000,0 days 00:00:42.598000,0 days 00:45:31.045000,0 days 00:46:08.427000,0 days 00:46:51.025000,84.0,116.0,229.0,262.0,True,MEDIUM,6.0,True,Williams,0 days 00:44:40.147000,2020-09-13 13:24:40.419,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:14.695000,11.0,RUS,63,0 days 00:46:54.466000,7.0,1.0,,0 days 00:48:50.314000,0 days 00:00:50.751000,0 days 00:00:31.805000,0 days 00:00:52.139000,0 days 00:47:41.776000,0 days 00:48:13.581000,0 days 00:49:05.720000,136.0,166.0,,269.0,False,MEDIUM,7.0,True,Williams,0 days 00:46:51.043000,2020-09-13 13:26:51.315,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.9,993.6,False,45.1,347,2.0
,11.0,RUS,63,0 days 00:49:54.483000,8.0,2.0,0 days 00:49:08.698000,0 days 00:51:28.683000,0 days 00:00:51.330000,0 days 00:00:40.982000,,0 days 00:49:57.090000,0 days 00:50:38.133000,,116.0,113.0,,,False,MEDIUM,8.0,False,Williams,0 days 00:49:05.738000,2020-09-13 13:29:06.010,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.2,993.5,False,45.5,333,2.4
,10.0,RUS,63,0 days 01:15:54.571000,9.0,3.0,0 days 01:15:35.904000,,,,0 days 00:01:30.794000,,,0 days 01:18:37.465000,,231.0,183.0,,False,MEDIUM,1.0,True,Williams,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:31.259000,11.0,RUS,63,0 days 01:18:54.575000,10.0,3.0,,,0 days 00:00:35.758000,0 days 00:00:25.502000,0 days 00:00:29.999000,0 days 01:19:13.059000,0 days 01:19:38.561000,0 days 01:20:08.560000,249.0,245.0,303.0,263.0,True,MEDIUM,2.0,True,Williams,0 days 01:18:37.319000,2020-09-13 13:58:37.591,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
