LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:53.996000,7.0,STR,18,0 days 00:33:54.391000,1.0,1.0,,,,0 days 00:00:41.287000,0 days 00:00:33.801000,,0 days 00:34:45.753000,0 days 00:35:19.652000,260.0,220.0,276.0,242.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:25.696000,5.0,STR,18,0 days 00:35:54.409000,2.0,1.0,,,0 days 00:00:57.556000,0 days 00:00:42.281000,0 days 00:00:45.859000,0 days 00:36:17.080000,0 days 00:36:59.361000,0 days 00:37:45.220000,103.0,76.0,264.0,277.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:19.512000,2020-09-13 13:15:19.784,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:02:17.382000,5.0,STR,18,0 days 00:37:54.410000,3.0,1.0,,,0 days 00:00:53.905000,0 days 00:00:37.815000,0 days 00:00:45.662000,0 days 00:38:39.125000,0 days 00:39:16.940000,0 days 00:40:02.602000,124.0,218.0,259.0,258.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:45.208000,2020-09-13 13:17:45.480,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.3,993.6,False,45.2,346,3.0
0 days 00:02:14.242000,5.0,STR,18,0 days 00:40:54.415000,4.0,1.0,,,0 days 00:00:50.788000,0 days 00:00:38.023000,0 days 00:00:45.431000,0 days 00:40:53.390000,0 days 00:41:31.413000,0 days 00:42:16.844000,103.0,195.0,246.0,272.0,True,SOFT,7.0,False,Racing Point,0 days 00:40:02.590000,2020-09-13 13:20:02.862,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:13.467000,5.0,STR,18,0 days 00:42:54.416000,5.0,1.0,,,0 days 00:00:51.448000,0 days 00:00:37.253000,0 days 00:00:44.766000,0 days 00:43:08.292000,0 days 00:43:45.545000,0 days 00:44:30.311000,131.0,223.0,255.0,238.0,True,SOFT,8.0,False,Racing Point,0 days 00:42:16.832000,2020-09-13 13:22:17.104,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:18.951000,5.0,STR,18,0 days 00:44:54.435000,6.0,1.0,,,0 days 00:00:52.014000,0 days 00:00:39.504000,0 days 00:00:47.433000,0 days 00:45:22.325000,0 days 00:46:01.829000,0 days 00:46:49.262000,165.0,127.0,234.0,270.0,False,SOFT,9.0,False,Racing Point,0 days 00:44:30.299000,2020-09-13 13:24:30.571,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:07.138000,5.0,STR,18,0 days 00:46:54.466000,7.0,1.0,,0 days 00:48:41.413000,0 days 00:00:44.642000,0 days 00:00:31.496000,0 days 00:00:51,0 days 00:47:33.904000,0 days 00:48:05.400000,0 days 00:48:56.400000,146.0,183.0,,287.0,False,SOFT,10.0,False,Racing Point,0 days 00:46:49.250000,2020-09-13 13:26:49.522,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.9,993.6,False,45.1,347,2.0
,6.0,STR,18,0 days 00:49:54.483000,8.0,2.0,0 days 00:48:59.027000,0 days 00:51:18.307000,0 days 00:00:51.805000,0 days 00:00:42.213000,,0 days 00:49:48.217000,0 days 00:50:30.436000,,137.0,209.0,,,False,SOFT,11.0,False,Racing Point,0 days 00:48:56.388000,2020-09-13 13:28:56.660,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.2,993.5,False,45.5,333,2.4
,4.0,STR,18,0 days 01:15:54.571000,9.0,3.0,0 days 01:15:17.792000,,0 days 00:00:56.685000,0 days 00:00:47.512000,0 days 00:01:37.121000,0 days 01:16:12.185000,0 days 01:16:59.405000,0 days 01:18:36.678000,71.0,234.0,143.0,,False,SOFT,3.0,False,Racing Point,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:26.695000,4.0,STR,18,0 days 01:18:54.575000,10.0,3.0,,,0 days 00:00:33.844000,0 days 00:00:23.288000,0 days 00:00:29.563000,0 days 01:19:10.330000,0 days 01:19:33.618000,0 days 01:20:03.181000,266.0,249.0,302.0,257.0,True,SOFT,4.0,False,Racing Point,0 days 01:18:36.474000,2020-09-13 13:58:36.746,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
0 days 00:01:24.052000,4.0,STR,18,0 days 01:20:54.575000,11.0,3.0,,,0 days 00:00:31.208000,0 days 00:00:23.232000,0 days 00:00:29.612000,0 days 01:20:34.389000,0 days 01:20:57.621000,0 days 01:21:27.233000,269.0,249.0,296.0,306.0,True,SOFT,5.0,False,Racing Point,0 days 01:20:03.169000,2020-09-13 14:00:03.441,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,41.0,993.6,False,43.6,16,3.8
