LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:40.838000,10.0,OCO,31,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:40.449000,0 days 00:00:26.403000,,0 days 00:34:37.416000,0 days 00:35:03.891000,309.0,250.0,247.0,306.0,False,SOFT,4.0,False,Renault,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:11.306000,9.0,OCO,31,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:43.841000,0 days 00:00:50.839000,0 days 00:00:36.626000,0 days 00:35:47.648000,0 days 00:36:38.487000,0 days 00:37:15.113000,170.0,220.0,145.0,269.0,True,SOFT,5.0,False,Renault,0 days 00:35:03.807000,2020-08-02 13:15:03.821,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
0 days 00:02:29.090000,9.0,OCO,31,0 days 00:37:23.577000,3.0,1.0,,,0 days 00:00:45.754000,0 days 00:01:02.504000,0 days 00:00:40.832000,0 days 00:38:00.867000,0 days 00:39:03.371000,0 days 00:39:44.203000,177.0,120.0,77.0,246.0,False,SOFT,6.0,False,Renault,0 days 00:37:15.113000,2020-08-02 13:17:15.127,4,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.8,998.6,False,42.3,179,4.7
,9.0,OCO,31,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:47.186000,0 days 00:01:03.941000,0 days 00:00:44.004000,0 days 00:40:31.394000,0 days 00:41:35.332000,0 days 00:42:19.421000,260.0,102.0,87.0,203.0,False,SOFT,7.0,False,Renault,0 days 00:39:44.203000,2020-08-02 13:19:44.217,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:11.098000,9.0,OCO,31,0 days 00:42:23.577000,5.0,1.0,,,0 days 00:00:41.688000,0 days 00:00:56.939000,0 days 00:00:32.471000,0 days 00:43:00.996000,0 days 00:43:57.935000,0 days 00:44:30.406000,262.0,186.0,243.0,208.0,True,SOFT,8.0,False,Renault,0 days 00:42:19.308000,2020-08-02 13:22:19.322,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:01:35.286000,9.0,OCO,31,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:30.134000,0 days 00:00:38.731000,0 days 00:00:26.421000,0 days 00:45:00.540000,0 days 00:45:39.271000,0 days 00:46:05.692000,297.0,254.0,243.0,315.0,True,SOFT,9.0,False,Renault,0 days 00:44:30.406000,2020-08-02 13:24:30.420,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:34.678000,9.0,OCO,31,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:29.824000,0 days 00:00:38.715000,0 days 00:00:26.139000,0 days 00:46:35.516000,0 days 00:47:14.231000,0 days 00:47:40.370000,290.0,253.0,247.0,292.0,True,SOFT,10.0,False,Renault,0 days 00:46:05.692000,2020-08-02 13:26:05.706,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:33.410000,9.0,OCO,31,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.542000,0 days 00:00:38.074000,0 days 00:00:25.794000,0 days 00:48:09.912000,0 days 00:48:47.986000,0 days 00:49:13.780000,303.0,254.0,247.0,296.0,True,SOFT,11.0,False,Renault,0 days 00:47:40.370000,2020-08-02 13:27:40.384,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:33.456000,9.0,OCO,31,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.646000,0 days 00:00:37.829000,0 days 00:00:25.981000,0 days 00:49:43.426000,0 days 00:50:21.255000,0 days 00:50:47.236000,289.0,253.0,246.0,295.0,False,SOFT,12.0,False,Renault,0 days 00:49:13.780000,2020-08-02 13:29:13.794,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:33.179000,9.0,OCO,31,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.725000,0 days 00:00:37.752000,0 days 00:00:25.702000,0 days 00:51:16.961000,0 days 00:51:54.713000,0 days 00:52:20.415000,290.0,255.0,247.0,300.0,True,SOFT,13.0,False,Renault,0 days 00:50:47.236000,2020-08-02 13:30:47.250,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
