Driver,Stint,Compound,StintLength
ALB,1.0,SOFT,2
ALB,2.0,MEDIUM,19
ALB,3.0,MEDIUM,19
ALB,4.0,SOFT,29
ALO,1.0,MEDIUM,21
ALO,2.0,HARD,48
BOT,1.0,MEDIUM,26
BOT,2.0,HARD,40
GAS,1.0,SOFT,16
GAS,2.0,MEDIUM,30
GAS,3.0,SOFT,23
HAM,1.0,MEDIUM,19
HAM,2.0,MEDIUM,32
HAM,3.0,SOFT,19
LAT,1.0,MEDIUM,18
LAT,2.0,MEDIUM,21
LAT,3.0,SOFT,17
LAT,4.0,SOFT,13
LEC,1.0,MEDIUM,21
LEC,2.0,MEDIUM,18
LEC,3.0,HARD,15
LEC,4.0,SOFT,16
MAG,1.0,MEDIUM,6
MAG,2.0,HARD,29
MAG,3.0,MEDIUM,32
MAG,4.0,SOFT,2
MSC,1.0,MEDIUM,21
MSC,2.0,HARD,20
MSC,3.0,MEDIUM,28
NOR,1.0,SOFT,14
NOR,2.0,MEDIUM,28
NOR,3.0,HARD,28
OCO,1.0,MEDIUM,23
OCO,2.0,HARD,46
PER,1.0,SOFT,18
PER,2.0,MEDIUM,24
PER,3.0,MEDIUM,28
RIC,1.0,SOFT,15
RIC,2.0,MEDIUM,31
RIC,3.0,HARD,23
RUS,1.0,SOFT,16
RUS,2.0,MEDIUM,23
RUS,3.0,MEDIUM,31
SAI,1.0,MEDIUM,17
SAI,2.0,MEDIUM,30
SAI,3.0,SOFT,23
STR,1.0,SOFT,14
STR,2.0,MEDIUM,32
STR,3.0,SOFT,23
TSU,1.0,SOFT,13
TSU,2.0,MEDIUM,20
TSU,3.0,SOFT,18
TSU,4.0,SOFT,17
VER,1.0,SOFT,16
VER,2.0,MEDIUM,22
VER,3.0,MEDIUM,32
VET,1.0,SOFT,15
VET,2.0,MEDIUM,31
VET,3.0,MEDIUM,23
ZHO,1.0,MEDIUM,27
ZHO,2.0,HARD,24
ZHO,3.0,SOFT,18
