LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:57.409000,18.0,KUB,88,0 days 00:33:46.427000,1.0,1.0,,,,0 days 00:00:47.206000,0 days 00:00:44.932000,,0 days 00:34:43.908000,0 days 00:35:28.922000,269.0,248.0,214.0,281.0,False,HARD,1.0,True,Williams,0 days 00:33:31.194000,2019-12-01 13:13:31.397,2,False,,False,False,Abu Dhabi Grand Prix,21,280.0,26.4,60.4,1015.2,False,30.7,218,1.4
0 days 00:01:48.621000,18.0,KUB,88,0 days 00:35:46.402000,2.0,1.0,,,0 days 00:00:19.060000,0 days 00:00:45.216000,0 days 00:00:44.345000,0 days 00:35:47.857000,0 days 00:36:33.073000,0 days 00:37:17.418000,271.0,285.0,212.0,303.0,True,HARD,2.0,True,Williams,0 days 00:35:28.804000,2019-12-01 13:15:29.007,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,59.9,1015.0,False,30.5,185,1.5
0 days 00:01:47.740000,18.0,KUB,88,0 days 00:37:46.394000,3.0,1.0,,,0 days 00:00:18.872000,0 days 00:00:45.017000,0 days 00:00:43.851000,0 days 00:37:36.290000,0 days 00:38:21.307000,0 days 00:39:05.158000,273.0,289.0,212.0,299.0,True,HARD,3.0,True,Williams,0 days 00:37:17.425000,2019-12-01 13:17:17.628,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,60.7,1015.0,False,30.6,235,1.9
0 days 00:01:47.584000,18.0,KUB,88,0 days 00:39:46.408000,4.0,1.0,,,0 days 00:00:18.846000,0 days 00:00:45.057000,0 days 00:00:43.681000,0 days 00:39:24.004000,0 days 00:40:09.061000,0 days 00:40:52.742000,270.0,292.0,212.0,295.0,True,HARD,4.0,True,Williams,0 days 00:39:05.165000,2019-12-01 13:19:05.368,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.8,1015.0,False,30.3,261,2.0
0 days 00:01:47.599000,18.0,KUB,88,0 days 00:41:46.402000,5.0,1.0,,,0 days 00:00:18.847000,0 days 00:00:45.207000,0 days 00:00:43.545000,0 days 00:41:11.589000,0 days 00:41:56.796000,0 days 00:42:40.341000,268.0,292.0,213.0,294.0,False,HARD,5.0,True,Williams,0 days 00:40:52.749000,2019-12-01 13:20:52.952,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,62.2,1015.0,False,30.3,195,1.1
0 days 00:01:47.126000,17.0,KUB,88,0 days 00:42:46.394000,6.0,1.0,,,0 days 00:00:18.693000,0 days 00:00:45.008000,0 days 00:00:43.425000,0 days 00:42:59.034000,0 days 00:43:44.042000,0 days 00:44:27.467000,272.0,290.0,212.0,296.0,True,HARD,6.0,True,Williams,0 days 00:42:40.348000,2019-12-01 13:22:40.551,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,61.8,1015.1,False,30.2,198,1.5
0 days 00:01:47.021000,17.0,KUB,88,0 days 00:44:46.572000,7.0,1.0,,,0 days 00:00:18.594000,0 days 00:00:45.061000,0 days 00:00:43.366000,0 days 00:44:46.061000,0 days 00:45:31.122000,0 days 00:46:14.488000,269.0,293.0,213.0,293.0,True,HARD,7.0,True,Williams,0 days 00:44:27.474000,2019-12-01 13:24:27.677,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.3,61.9,1015.0,False,30.8,264,0.7
0 days 00:01:46.566000,17.0,KUB,88,0 days 00:46:46.521000,8.0,1.0,,,0 days 00:00:18.538000,0 days 00:00:44.849000,0 days 00:00:43.179000,0 days 00:46:33.026000,0 days 00:47:17.875000,0 days 00:48:01.054000,273.0,296.0,214.0,298.0,True,HARD,8.0,True,Williams,0 days 00:46:14.495000,2019-12-01 13:26:14.698,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.9,1015.1,False,30.6,142,1.0
0 days 00:01:46.619000,15.0,KUB,88,0 days 00:48:46.387000,9.0,1.0,,,0 days 00:00:18.521000,0 days 00:00:44.807000,0 days 00:00:43.291000,0 days 00:48:19.575000,0 days 00:49:04.382000,0 days 00:49:47.673000,,295.0,212.0,296.0,False,HARD,9.0,True,Williams,0 days 00:48:01.061000,2019-12-01 13:28:01.264,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.2,62.4,1015.2,False,30.5,119,0.8
0 days 00:01:47.430000,16.0,KUB,88,0 days 00:50:46.398000,10.0,1.0,,,0 days 00:00:18.488000,0 days 00:00:45.304000,0 days 00:00:43.638000,0 days 00:50:06.161000,0 days 00:50:51.465000,0 days 00:51:35.103000,272.0,264.0,213.0,300.0,False,HARD,10.0,True,Williams,0 days 00:49:47.680000,2019-12-01 13:29:47.883,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,62.9,1015.2,False,30.2,178,0.9
