LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:51.285000,7.0,SAI,55,0 days 00:33:46.427000,1.0,1.0,,,,0 days 00:00:44.043000,0 days 00:00:44.792000,,0 days 00:34:37.960000,0 days 00:35:22.799000,278.0,313.0,217.0,306.0,False,SOFT,4.0,False,McLaren,0 days 00:33:31.194000,2019-12-01 13:13:31.397,2,False,,False,False,Abu Dhabi Grand Prix,21,280.0,26.4,60.4,1015.2,False,30.7,218,1.4
0 days 00:01:45.586000,7.0,SAI,55,0 days 00:35:46.402000,2.0,1.0,,,0 days 00:00:18.618000,0 days 00:00:44.445000,0 days 00:00:42.523000,0 days 00:35:41.292000,0 days 00:36:25.737000,0 days 00:37:08.260000,277.0,276.0,216.0,294.0,True,SOFT,5.0,False,McLaren,0 days 00:35:22.680000,2019-12-01 13:15:22.883,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,59.9,1015.0,False,30.5,185,1.5
0 days 00:01:45.227000,7.0,SAI,55,0 days 00:37:46.394000,3.0,1.0,,,0 days 00:00:18.288000,0 days 00:00:44.533000,0 days 00:00:42.406000,0 days 00:37:26.548000,0 days 00:38:11.081000,0 days 00:38:53.487000,283.0,283.0,216.0,291.0,True,SOFT,6.0,False,McLaren,0 days 00:37:08.266000,2019-12-01 13:17:08.469,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,60.7,1015.0,False,30.6,235,1.9
0 days 00:01:45.570000,7.0,SAI,55,0 days 00:39:46.408000,4.0,1.0,,,0 days 00:00:18.307000,0 days 00:00:44.640000,0 days 00:00:42.623000,0 days 00:39:11.794000,0 days 00:39:56.434000,0 days 00:40:39.057000,271.0,284.0,216.0,295.0,False,SOFT,7.0,False,McLaren,0 days 00:38:53.493000,2019-12-01 13:18:53.696,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.8,1015.0,False,30.3,261,2.0
0 days 00:01:45.559000,7.0,SAI,55,0 days 00:40:46.408000,5.0,1.0,,,0 days 00:00:18.219000,0 days 00:00:44.837000,0 days 00:00:42.503000,0 days 00:40:57.276000,0 days 00:41:42.113000,0 days 00:42:24.616000,274.0,291.0,216.0,284.0,False,SOFT,8.0,False,McLaren,0 days 00:40:39.063000,2019-12-01 13:20:39.266,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,61.8,1015.0,False,30.3,94,0.9
0 days 00:01:45.438000,7.0,SAI,55,0 days 00:42:46.394000,6.0,1.0,,,0 days 00:00:18.319000,0 days 00:00:44.744000,0 days 00:00:42.375000,0 days 00:42:42.935000,0 days 00:43:27.679000,0 days 00:44:10.054000,272.0,288.0,215.0,297.0,False,SOFT,9.0,False,McLaren,0 days 00:42:24.622000,2019-12-01 13:22:24.825,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.5,61.8,1015.1,False,30.2,198,1.5
0 days 00:01:45.568000,7.0,SAI,55,0 days 00:44:46.572000,7.0,1.0,,,0 days 00:00:18.348000,0 days 00:00:44.745000,0 days 00:00:42.475000,0 days 00:44:28.402000,0 days 00:45:13.147000,0 days 00:45:55.622000,275.0,294.0,216.0,297.0,False,SOFT,10.0,False,McLaren,0 days 00:44:10.060000,2019-12-01 13:24:10.263,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.3,61.9,1015.0,False,30.8,264,0.7
0 days 00:01:45.699000,6.0,SAI,55,0 days 00:46:46.521000,8.0,1.0,,,0 days 00:00:18.365000,0 days 00:00:44.805000,0 days 00:00:42.529000,0 days 00:46:13.987000,0 days 00:46:58.792000,0 days 00:47:41.321000,273.0,294.0,216.0,296.0,False,SOFT,11.0,False,McLaren,0 days 00:45:55.628000,2019-12-01 13:25:55.831,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.9,1015.1,False,30.6,142,1.0
0 days 00:01:45.230000,6.0,SAI,55,0 days 00:47:46.397000,9.0,1.0,,,0 days 00:00:18.339000,0 days 00:00:44.481000,0 days 00:00:42.410000,0 days 00:47:59.660000,0 days 00:48:44.141000,0 days 00:49:26.551000,274.0,292.0,216.0,295.0,False,SOFT,12.0,False,McLaren,0 days 00:47:41.327000,2019-12-01 13:27:41.530,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.4,61.9,1015.1,False,30.5,136,0.7
0 days 00:01:45.526000,6.0,SAI,55,0 days 00:49:46.376000,10.0,1.0,,,0 days 00:00:18.490000,0 days 00:00:44.644000,0 days 00:00:42.392000,0 days 00:49:45.041000,0 days 00:50:29.685000,0 days 00:51:12.077000,,291.0,216.0,294.0,False,SOFT,13.0,False,McLaren,0 days 00:49:26.557000,2019-12-01 13:29:26.760,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,62.6,1015.1,False,30.2,224,0.9
0 days 00:01:45.441000,6.0,SAI,55,0 days 00:51:46.385000,11.0,1.0,,,0 days 00:00:18.435000,0 days 00:00:44.619000,0 days 00:00:42.387000,0 days 00:51:30.512000,0 days 00:52:15.131000,0 days 00:52:57.518000,275.0,292.0,215.0,295.0,False,SOFT,14.0,False,McLaren,0 days 00:51:12.083000,2019-12-01 13:31:12.286,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,62.9,1015.2,False,30.2,127,1.1
0 days 00:01:47.314000,7.0,SAI,55,0 days 00:53:46.487000,12.0,1.0,,0 days 00:54:43.797000,0 days 00:00:18.482000,0 days 00:00:44.537000,0 days 00:00:44.295000,0 days 00:53:16,0 days 00:54:00.537000,0 days 00:54:44.832000,277.0,292.0,,296.0,False,SOFT,15.0,False,McLaren,0 days 00:52:57.524000,2019-12-01 13:32:57.727,1,False,,False,False,Abu Dhabi Grand Prix,21,280.0,26.0,63.6,1015.2,False,30.2,256,1.1
0 days 00:02:05.550000,15.0,SAI,55,0 days 00:54:46.394000,13.0,2.0,0 days 00:55:05.733000,,0 days 00:00:38.059000,0 days 00:00:44.912000,0 days 00:00:42.579000,0 days 00:55:22.891000,0 days 00:56:07.803000,0 days 00:56:50.382000,296.0,280.0,217.0,310.0,False,HARD,1.0,True,McLaren,0 days 00:54:44.838000,2019-12-01 13:34:45.041,1,False,,False,False,Abu Dhabi Grand Prix,21,280.0,26.1,64.0,1015.2,False,30.0,229,1.4
0 days 00:01:44.575000,15.0,SAI,55,0 days 00:57:46.414000,14.0,2.0,,,0 days 00:00:18.161000,0 days 00:00:43.865000,0 days 00:00:42.549000,0 days 00:57:08.543000,0 days 00:57:52.408000,0 days 00:58:34.957000,280.0,297.0,215.0,310.0,True,HARD,2.0,True,McLaren,0 days 00:56:50.388000,2019-12-01 13:36:50.591,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,64.2,1015.3,False,30.0,199,1.2
0 days 00:01:45.192000,14.0,SAI,55,0 days 00:58:46.410000,15.0,2.0,,,0 days 00:00:18.108000,0 days 00:00:44.308000,0 days 00:00:42.776000,0 days 00:58:53.065000,0 days 00:59:37.373000,0 days 01:00:20.149000,287.0,,216.0,320.0,False,HARD,3.0,True,McLaren,0 days 00:58:34.963000,2019-12-01 13:38:35.166,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,64.4,1015.2,False,30.0,250,1.0
0 days 00:01:44.865000,14.0,SAI,55,0 days 01:00:46.482000,16.0,2.0,,,0 days 00:00:18.101000,0 days 00:00:44.010000,0 days 00:00:42.754000,0 days 01:00:38.250000,0 days 01:01:22.260000,0 days 01:02:05.014000,280.0,295.0,216.0,303.0,False,HARD,4.0,True,McLaren,0 days 01:00:20.155000,2019-12-01 13:40:20.358,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.1,64.4,1015.3,False,29.9,254,1.0
0 days 00:01:45.445000,14.0,SAI,55,0 days 01:02:46.411000,17.0,2.0,,,0 days 00:00:18.178000,0 days 00:00:44.144000,0 days 00:00:43.123000,0 days 01:02:23.192000,0 days 01:03:07.336000,0 days 01:03:50.459000,,297.0,214.0,308.0,False,HARD,5.0,True,McLaren,0 days 01:02:05.020000,2019-12-01 13:42:05.223,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.0,65.2,1015.3,False,29.9,248,1.1
0 days 00:01:44.464000,13.0,SAI,55,0 days 01:04:46.400000,18.0,2.0,,,0 days 00:00:18.121000,0 days 00:00:43.511000,0 days 00:00:42.832000,0 days 01:04:08.580000,0 days 01:04:52.091000,0 days 01:05:34.923000,281.0,289.0,212.0,,True,HARD,6.0,True,McLaren,0 days 01:03:50.465000,2019-12-01 13:43:50.668,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,26.0,65.6,1015.3,False,29.6,233,1.3
0 days 00:01:45.883000,13.0,SAI,55,0 days 01:05:46.402000,19.0,2.0,,,0 days 00:00:18.036000,0 days 00:00:44.513000,0 days 00:00:43.334000,0 days 01:05:52.959000,0 days 01:06:37.472000,0 days 01:07:20.806000,,287.0,215.0,308.0,False,HARD,7.0,True,McLaren,0 days 01:05:34.929000,2019-12-01 13:45:35.132,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,25.9,65.8,1015.4,False,29.6,257,1.2
0 days 00:01:45.309000,13.0,SAI,55,0 days 01:07:46.387000,20.0,2.0,,,0 days 00:00:18.183000,0 days 00:00:44.107000,0 days 00:00:43.019000,0 days 01:07:38.989000,0 days 01:08:23.096000,0 days 01:09:06.115000,,285.0,217.0,296.0,False,HARD,8.0,True,McLaren,0 days 01:07:20.812000,2019-12-01 13:47:21.015,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,25.9,66.2,1015.3,False,29.6,263,1.3
0 days 00:01:44.739000,12.0,SAI,55,0 days 01:09:46.389000,21.0,2.0,,,0 days 00:00:18.207000,0 days 00:00:43.792000,0 days 00:00:42.740000,0 days 01:09:24.322000,0 days 01:10:08.114000,0 days 01:10:50.854000,274.0,293.0,215.0,309.0,False,HARD,9.0,True,McLaren,0 days 01:09:06.121000,2019-12-01 13:49:06.324,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,25.9,66.2,1015.4,False,29.6,235,1.4
0 days 00:01:44.752000,12.0,SAI,55,0 days 01:11:46.406000,22.0,2.0,,,0 days 00:00:18.095000,0 days 00:00:43.846000,0 days 00:00:42.811000,0 days 01:11:08.949000,0 days 01:11:52.795000,0 days 01:12:35.606000,282.0,294.0,215.0,301.0,False,HARD,10.0,True,McLaren,0 days 01:10:50.860000,2019-12-01 13:50:51.063,1,False,,False,True,Abu Dhabi Grand Prix,21,280.0,25.8,66.3,1015.4,False,29.9,0,0.7
