LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.893000,15.0,KVY,26,0 days 00:34:16.110000,1.0,1.0,,,,0 days 00:00:25.264000,0 days 00:00:37.009000,,0 days 00:34:40.187000,0 days 00:35:17.259000,254.0,281.0,287.0,203.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:32.727000,2019-03-17 05:13:33.030,2,False,,False,False,Australian Grand Prix,14,44.0,23.7,70.3,1015.4,False,43.6,176,1.4
0 days 00:01:32.335000,15.0,KVY,26,0 days 00:36:16.132000,2.0,1.0,,,0 days 00:00:31.040000,0 days 00:00:24.533000,0 days 00:00:36.762000,0 days 00:35:47.900000,0 days 00:36:12.433000,0 days 00:36:49.195000,273.0,289.0,288.0,283.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:35:16.878000,2019-03-17 05:15:17.181,1,False,,False,True,Australian Grand Prix,14,44.0,23.6,70.1,1015.3,False,43.3,191,1.3
0 days 00:01:31.493000,15.0,KVY,26,0 days 00:37:16.303000,3.0,1.0,,,0 days 00:00:30.950000,0 days 00:00:24.191000,0 days 00:00:36.352000,0 days 00:37:20.145000,0 days 00:37:44.336000,0 days 00:38:20.688000,267.0,287.0,301.0,293.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:36:49.213000,2019-03-17 05:16:49.516,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.5,1015.4,False,43.4,68,1.3
0 days 00:01:31.654000,15.0,KVY,26,0 days 00:39:16.170000,4.0,1.0,,,0 days 00:00:30.510000,0 days 00:00:24.283000,0 days 00:00:36.861000,0 days 00:38:51.198000,0 days 00:39:15.481000,0 days 00:39:52.342000,271.0,,301.0,308.0,False,MEDIUM,4.0,True,Toro Rosso,0 days 00:38:20.706000,2019-03-17 05:18:21.009,1,False,,False,True,Australian Grand Prix,14,44.0,23.7,69.1,1015.3,False,43.4,328,1.8
0 days 00:01:31.726000,15.0,KVY,26,0 days 00:40:16.185000,5.0,1.0,,,0 days 00:00:30.774000,0 days 00:00:24.268000,0 days 00:00:36.684000,0 days 00:40:23.116000,0 days 00:40:47.384000,0 days 00:41:24.068000,270.0,,300.0,310.0,False,MEDIUM,5.0,True,Toro Rosso,0 days 00:39:52.360000,2019-03-17 05:19:52.663,1,False,,False,True,Australian Grand Prix,14,44.0,23.7,69.1,1015.4,False,43.0,149,1.2
0 days 00:01:31.192000,15.0,KVY,26,0 days 00:42:16.215000,6.0,1.0,,,0 days 00:00:30.557000,0 days 00:00:24.165000,0 days 00:00:36.470000,0 days 00:41:54.625000,0 days 00:42:18.790000,0 days 00:42:55.260000,,288.0,300.0,307.0,True,MEDIUM,6.0,True,Toro Rosso,0 days 00:41:24.086000,2019-03-17 05:21:24.389,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.5,1015.3,False,42.9,178,2.2
0 days 00:01:31.168000,15.0,KVY,26,0 days 00:43:16.232000,7.0,1.0,,,0 days 00:00:30.501000,0 days 00:00:24.188000,0 days 00:00:36.479000,0 days 00:43:25.761000,0 days 00:43:49.949000,0 days 00:44:26.428000,,289.0,301.0,317.0,True,MEDIUM,7.0,True,Toro Rosso,0 days 00:42:55.278000,2019-03-17 05:22:55.581,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,70.8,1015.3,False,42.9,0,1.4
0 days 00:01:31.277000,15.0,KVY,26,0 days 00:45:16.438000,8.0,1.0,,,0 days 00:00:30.549000,0 days 00:00:24.120000,0 days 00:00:36.608000,0 days 00:44:56.977000,0 days 00:45:21.097000,0 days 00:45:57.705000,,288.0,299.0,314.0,False,MEDIUM,8.0,True,Toro Rosso,0 days 00:44:26.446000,2019-03-17 05:24:26.749,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,70.7,1015.3,False,42.5,333,1.1
0 days 00:01:31.119000,15.0,KVY,26,0 days 00:46:16.284000,9.0,1.0,,,0 days 00:00:30.561000,0 days 00:00:24.152000,0 days 00:00:36.406000,0 days 00:46:28.266000,0 days 00:46:52.418000,0 days 00:47:28.824000,271.0,288.0,299.0,310.0,True,MEDIUM,9.0,True,Toro Rosso,0 days 00:45:57.723000,2019-03-17 05:25:58.026,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.0,1015.3,False,42.8,152,1.7
0 days 00:01:31.226000,14.0,KVY,26,0 days 00:48:16.689000,10.0,1.0,,,0 days 00:00:30.390000,0 days 00:00:24.155000,0 days 00:00:36.681000,0 days 00:47:59.214000,0 days 00:48:23.369000,0 days 00:49:00.050000,272.0,289.0,296.0,311.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 00:47:28.842000,2019-03-17 05:27:29.145,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.3,1015.4,False,42.3,98,1.2
0 days 00:01:30.191000,14.0,KVY,26,0 days 00:49:16.340000,11.0,1.0,,,0 days 00:00:30.054000,0 days 00:00:23.917000,0 days 00:00:36.220000,0 days 00:49:30.104000,0 days 00:49:54.021000,0 days 00:50:30.241000,269.0,287.0,285.0,307.0,True,MEDIUM,11.0,True,Toro Rosso,0 days 00:49:00.068000,2019-03-17 05:29:00.371,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.2,1015.4,False,42.3,184,0.9
0 days 00:01:30.652000,13.0,KVY,26,0 days 00:51:16.369000,12.0,1.0,,,0 days 00:00:30.387000,0 days 00:00:24.019000,0 days 00:00:36.246000,0 days 00:51:00.628000,0 days 00:51:24.647000,0 days 00:52:00.893000,,286.0,298.0,295.0,False,MEDIUM,12.0,True,Toro Rosso,0 days 00:50:30.259000,2019-03-17 05:30:30.562,1,False,,False,True,Australian Grand Prix,14,44.0,23.5,70.5,1015.3,False,41.6,175,1.5
0 days 00:01:30.803000,11.0,KVY,26,0 days 00:52:16.385000,13.0,1.0,,,0 days 00:00:30.627000,0 days 00:00:24.049000,0 days 00:00:36.127000,0 days 00:52:31.520000,0 days 00:52:55.569000,0 days 00:53:31.696000,268.0,285.0,299.0,304.0,False,MEDIUM,13.0,True,Toro Rosso,0 days 00:52:00.911000,2019-03-17 05:32:01.214,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,70.8,1015.3,False,41.5,187,1.4
0 days 00:01:30.561000,9.0,KVY,26,0 days 00:54:16.424000,14.0,1.0,,,0 days 00:00:30.307000,0 days 00:00:23.982000,0 days 00:00:36.272000,0 days 00:54:02.003000,0 days 00:54:25.985000,0 days 00:55:02.257000,,281.0,287.0,309.0,False,MEDIUM,14.0,True,Toro Rosso,0 days 00:53:31.714000,2019-03-17 05:33:32.017,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,69.7,1015.4,False,41.9,0,1.8
0 days 00:01:29.760000,7.0,KVY,26,0 days 00:55:16.437000,15.0,1.0,,,0 days 00:00:30.160000,0 days 00:00:23.806000,0 days 00:00:35.794000,0 days 00:55:32.417000,0 days 00:55:56.223000,0 days 00:56:32.017000,270.0,284.0,298.0,293.0,True,MEDIUM,15.0,True,Toro Rosso,0 days 00:55:02.275000,2019-03-17 05:35:02.578,1,False,,False,True,Australian Grand Prix,14,44.0,23.4,69.9,1015.4,False,41.5,200,1.2
