LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:19.306000,13.0,STR,18,0 days 00:33:11.269000,1.0,1.0,,,,0 days 00:00:33.307000,0 days 00:00:22.853000,,0 days 00:33:49.083000,0 days 00:34:12.046000,315.0,218.0,273.0,304.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,False,,False,False,Austrian Grand Prix,10,1.0,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:01:13.084000,13.0,STR,18,0 days 00:35:11.295000,2.0,1.0,,,0 days 00:00:17.866000,0 days 00:00:32.903000,0 days 00:00:22.315000,0 days 00:34:29.780000,0 days 00:35:02.683000,0 days 00:35:24.998000,311.0,223.0,272.0,294.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:11.933000,2019-06-30 13:14:11.960,1,False,,False,True,Austrian Grand Prix,10,1.0,33.6,20.3,941.0,False,51.0,0,1.8
0 days 00:01:11.958000,13.0,STR,18,0 days 00:36:11.323000,3.0,1.0,,,0 days 00:00:17.608000,0 days 00:00:32.205000,0 days 00:00:22.145000,0 days 00:35:42.606000,0 days 00:36:14.811000,0 days 00:36:36.956000,321.0,218.0,279.0,309.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:35:25.017000,2019-06-30 13:15:25.044,1,False,,False,True,Austrian Grand Prix,10,1.0,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:01:11.712000,13.0,STR,18,0 days 00:37:11.321000,4.0,1.0,,,0 days 00:00:17.404000,0 days 00:00:32.172000,0 days 00:00:22.136000,0 days 00:36:54.360000,0 days 00:37:26.532000,0 days 00:37:48.668000,311.0,224.0,278.0,306.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:36:36.975000,2019-06-30 13:16:37.002,1,False,,False,True,Austrian Grand Prix,10,1.0,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:01:12.038000,13.0,STR,18,0 days 00:38:11.334000,5.0,1.0,,,0 days 00:00:17.557000,0 days 00:00:32.366000,0 days 00:00:22.115000,0 days 00:38:06.225000,0 days 00:38:38.591000,0 days 00:39:00.706000,309.0,223.0,279.0,305.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:37:48.687000,2019-06-30 13:17:48.714,1,False,,False,True,Austrian Grand Prix,10,1.0,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:01:11.288000,12.0,STR,18,0 days 00:39:11.347000,6.0,1.0,,,0 days 00:00:17.507000,0 days 00:00:31.848000,0 days 00:00:21.933000,0 days 00:39:18.213000,0 days 00:39:50.061000,0 days 00:40:11.994000,327.0,223.0,270.0,312.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:39:00.725000,2019-06-30 13:19:00.752,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:01:11.230000,12.0,STR,18,0 days 00:41:11.419000,7.0,1.0,,,0 days 00:00:17.848000,0 days 00:00:31.725000,0 days 00:00:21.657000,0 days 00:40:29.842000,0 days 00:41:01.567000,0 days 00:41:23.224000,290.0,226.0,270.0,292.0,True,MEDIUM,7.0,True,Racing Point,0 days 00:40:12.013000,2019-06-30 13:20:12.040,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:01:11.001000,12.0,STR,18,0 days 00:42:11.526000,8.0,1.0,,,0 days 00:00:17.863000,0 days 00:00:31.485000,0 days 00:00:21.653000,0 days 00:41:41.087000,0 days 00:42:12.572000,0 days 00:42:34.225000,295.0,226.0,271.0,298.0,True,MEDIUM,8.0,True,Racing Point,0 days 00:41:23.243000,2019-06-30 13:21:23.270,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:01:11.084000,12.0,STR,18,0 days 00:43:11.414000,9.0,1.0,,,0 days 00:00:17.754000,0 days 00:00:31.746000,0 days 00:00:21.584000,0 days 00:42:51.979000,0 days 00:43:23.725000,0 days 00:43:45.309000,298.0,227.0,272.0,295.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:42:34.244000,2019-06-30 13:22:34.271,1,False,,False,True,Austrian Grand Prix,10,1.0,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:01:10.991000,12.0,STR,18,0 days 00:44:11.427000,10.0,1.0,,,0 days 00:00:17.723000,0 days 00:00:31.885000,0 days 00:00:21.383000,0 days 00:44:03.032000,0 days 00:44:34.917000,0 days 00:44:56.300000,295.0,226.0,271.0,295.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:43:45.328000,2019-06-30 13:23:45.355,1,False,,False,True,Austrian Grand Prix,10,1.0,34.9,18.1,940.9,False,51.1,81,1.2
