LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:01.239000,13.0,MAG,20,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:47.083000,0 days 00:00:25.781000,,0 days 00:35:13.152000,0 days 00:35:39.052000,179.0,194.0,321.0,320.0,False,SOFT,4.0,False,Haas F1 Team,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:51.357000,13.0,MAG,20,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:40.026000,0 days 00:00:45.361000,0 days 00:00:25.970000,0 days 00:36:18.931000,0 days 00:37:04.292000,0 days 00:37:30.262000,189.0,195.0,319.0,315.0,True,SOFT,5.0,False,Haas F1 Team,0 days 00:35:38.900000,2019-04-28 12:15:39.147,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:50.873000,13.0,MAG,20,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:39.693000,0 days 00:00:45.225000,0 days 00:00:25.955000,0 days 00:38:09.955000,0 days 00:38:55.180000,0 days 00:39:21.135000,190.0,195.0,322.0,316.0,True,SOFT,6.0,False,Haas F1 Team,0 days 00:37:30.257000,2019-04-28 12:17:30.504,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:50.816000,13.0,MAG,20,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.721000,0 days 00:00:45.206000,0 days 00:00:25.889000,0 days 00:40:00.856000,0 days 00:40:46.062000,0 days 00:41:11.951000,195.0,185.0,327.0,319.0,True,SOFT,7.0,False,Haas F1 Team,0 days 00:39:21.130000,2019-04-28 12:19:21.377,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:54.712000,12.0,MAG,20,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:40.604000,0 days 00:00:48.068000,0 days 00:00:26.040000,0 days 00:41:52.555000,0 days 00:42:40.623000,0 days 00:43:06.663000,168.0,177.0,330.0,322.0,False,SOFT,8.0,False,Haas F1 Team,0 days 00:41:11.946000,2019-04-28 12:21:12.193,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:52.678000,12.0,MAG,20,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:40.766000,0 days 00:00:45.726000,0 days 00:00:26.186000,0 days 00:43:47.429000,0 days 00:44:33.155000,0 days 00:44:59.341000,186.0,199.0,315.0,311.0,False,SOFT,9.0,False,Haas F1 Team,0 days 00:43:06.658000,2019-04-28 12:23:06.905,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:58.041000,15.0,MAG,20,0 days 00:45:46.637000,7.0,1.0,,0 days 00:46:56.103000,0 days 00:00:40.811000,0 days 00:00:46.075000,0 days 00:00:31.155000,0 days 00:45:40.152000,0 days 00:46:26.227000,0 days 00:46:57.382000,182.0,195.0,,310.0,False,SOFT,10.0,False,Haas F1 Team,0 days 00:44:59.336000,2019-04-28 12:24:59.583,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:02:06.203000,18.0,MAG,20,0 days 00:47:46.664000,8.0,2.0,0 days 00:47:16.202000,,0 days 00:00:55.293000,0 days 00:00:44.782000,0 days 00:00:26.128000,0 days 00:47:52.675000,0 days 00:48:37.457000,0 days 00:49:03.585000,184.0,200.0,307.0,311.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:46:57.377000,2019-04-28 12:26:57.624,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1013.9,False,41.4,0,1.0
0 days 00:01:49.566000,17.0,MAG,20,0 days 00:49:46.694000,9.0,2.0,,,0 days 00:00:38.999000,0 days 00:00:44.520000,0 days 00:00:26.047000,0 days 00:49:42.584000,0 days 00:50:27.104000,0 days 00:50:53.151000,193.0,207.0,312.0,310.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:49:03.580000,2019-04-28 12:29:03.827,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.4,52.5,1013.9,False,41.3,2,1.1
0 days 00:01:48.957000,17.0,MAG,20,0 days 00:51:46.725000,10.0,2.0,,,0 days 00:00:38.752000,0 days 00:00:44.166000,0 days 00:00:26.039000,0 days 00:51:31.903000,0 days 00:52:16.069000,0 days 00:52:42.108000,189.0,203.0,314.0,310.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:50:53.146000,2019-04-28 12:30:53.393,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.7,53.0,1013.8,False,41.0,329,0.7
0 days 00:01:48.667000,15.0,MAG,20,0 days 00:52:46.736000,11.0,2.0,,,0 days 00:00:38.660000,0 days 00:00:44.068000,0 days 00:00:25.939000,0 days 00:53:20.768000,0 days 00:54:04.836000,0 days 00:54:30.775000,194.0,211.0,316.0,311.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:52:42.103000,2019-04-28 12:32:42.350,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.9,52.7,1013.9,False,41.1,206,0.8
0 days 00:01:48.317000,14.0,MAG,20,0 days 00:54:46.766000,12.0,2.0,,,0 days 00:00:38.689000,0 days 00:00:44.226000,0 days 00:00:25.402000,0 days 00:55:09.464000,0 days 00:55:53.690000,0 days 00:56:19.092000,,197.0,338.0,321.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:54:30.770000,2019-04-28 12:34:31.017,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.8,52.1,1013.9,False,41.1,201,0.9
0 days 00:01:48.624000,12.0,MAG,20,0 days 00:56:46.792000,13.0,2.0,,,0 days 00:00:38.608000,0 days 00:00:44.557000,0 days 00:00:25.459000,0 days 00:56:57.700000,0 days 00:57:42.257000,0 days 00:58:07.716000,196.0,194.0,330.0,327.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:56:19.087000,2019-04-28 12:36:19.334,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.6,53.8,1013.9,False,41.0,0,0.8
0 days 00:01:48.694000,12.0,MAG,20,0 days 00:58:46.828000,14.0,2.0,,,0 days 00:00:38.650000,0 days 00:00:44.138000,0 days 00:00:25.906000,0 days 00:58:46.366000,0 days 00:59:30.504000,0 days 00:59:56.410000,197.0,208.0,313.0,312.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:58:07.711000,2019-04-28 12:38:07.958,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.3,54.6,1013.9,False,40.5,322,1.2
0 days 00:01:48.517000,12.0,MAG,20,0 days 01:00:46.849000,15.0,2.0,,,0 days 00:00:38.637000,0 days 00:00:43.938000,0 days 00:00:25.942000,0 days 01:00:35.047000,0 days 01:01:18.985000,0 days 01:01:44.927000,198.0,205.0,314.0,313.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:59:56.405000,2019-04-28 12:39:56.652,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,19.3,54.0,1013.7,False,40.2,8,1.0
