LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:06.697000,18.0,RUS,63,0 days 00:33:46.468000,1.0,1.0,,,,0 days 00:00:49.452000,0 days 00:00:26.815000,,0 days 00:35:17.598000,0 days 00:35:44.541000,149.0,192.0,297.0,310.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,False,,False,False,Azerbaijan Grand Prix,20,357.0,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:01:53.565000,18.0,RUS,63,0 days 00:35:46.711000,2.0,1.0,,,0 days 00:00:41.137000,0 days 00:00:46.007000,0 days 00:00:26.421000,0 days 00:36:25.438000,0 days 00:37:11.445000,0 days 00:37:37.866000,182.0,202.0,298.0,309.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:44.358000,2019-04-28 12:15:44.605,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:01:51.807000,19.0,RUS,63,0 days 00:37:46.934000,3.0,1.0,,,0 days 00:00:40.393000,0 days 00:00:45.257000,0 days 00:00:26.157000,0 days 00:38:18.259000,0 days 00:39:03.516000,0 days 00:39:29.673000,190.0,200.0,312.0,310.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:37.923000,2019-04-28 12:17:38.170,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:01:50.824000,19.0,RUS,63,0 days 00:39:47.094000,4.0,1.0,,,0 days 00:00:39.802000,0 days 00:00:44.756000,0 days 00:00:26.266000,0 days 00:40:09.475000,0 days 00:40:54.231000,0 days 00:41:20.497000,,214.0,300.0,310.0,True,MEDIUM,4.0,True,Williams,0 days 00:39:29.730000,2019-04-28 12:19:29.977,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:01:50.507000,18.0,RUS,63,0 days 00:41:46.580000,5.0,1.0,,,0 days 00:00:39.296000,0 days 00:00:45.177000,0 days 00:00:26.034000,0 days 00:41:59.793000,0 days 00:42:44.970000,0 days 00:43:11.004000,198.0,201.0,316.0,313.0,True,MEDIUM,5.0,True,Williams,0 days 00:41:20.554000,2019-04-28 12:21:20.801,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:01:54.396000,17.0,RUS,63,0 days 00:43:46.609000,6.0,1.0,,,0 days 00:00:40.252000,0 days 00:00:48.349000,0 days 00:00:25.795000,0 days 00:43:51.256000,0 days 00:44:39.605000,0 days 00:45:05.400000,165.0,196.0,336.0,316.0,False,MEDIUM,6.0,True,Williams,0 days 00:43:11.061000,2019-04-28 12:23:11.308,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:01:53.348000,16.0,RUS,63,0 days 00:45:46.637000,7.0,1.0,,,0 days 00:00:40.079000,0 days 00:00:47.475000,0 days 00:00:25.794000,0 days 00:45:45.479000,0 days 00:46:32.954000,0 days 00:46:58.748000,176.0,187.0,333.0,320.0,False,MEDIUM,7.0,True,Williams,0 days 00:45:05.457000,2019-04-28 12:25:05.704,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:01:51.161000,14.0,RUS,63,0 days 00:47:46.664000,8.0,1.0,,,0 days 00:00:39.597000,0 days 00:00:45.189000,0 days 00:00:26.375000,0 days 00:47:38.345000,0 days 00:48:23.534000,0 days 00:48:49.909000,194.0,204.0,301.0,308.0,False,MEDIUM,8.0,True,Williams,0 days 00:46:58.805000,2019-04-28 12:26:59.052,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.1,51.3,1013.9,False,41.4,0,1.0
0 days 00:01:51.090000,14.0,RUS,63,0 days 00:49:46.694000,9.0,1.0,,,0 days 00:00:39.544000,0 days 00:00:45.119000,0 days 00:00:26.427000,0 days 00:49:29.453000,0 days 00:50:14.572000,0 days 00:50:40.999000,200.0,209.0,299.0,308.0,False,MEDIUM,9.0,True,Williams,0 days 00:48:49.966000,2019-04-28 12:28:50.213,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.4,52.5,1013.9,False,41.3,2,1.1
0 days 00:01:51.347000,13.0,RUS,63,0 days 00:50:46.730000,10.0,1.0,,,0 days 00:00:39.648000,0 days 00:00:45.366000,0 days 00:00:26.333000,0 days 00:51:20.647000,0 days 00:52:06.013000,0 days 00:52:32.346000,194.0,209.0,310.0,307.0,False,MEDIUM,10.0,True,Williams,0 days 00:50:41.056000,2019-04-28 12:30:41.303,1,False,,False,True,Azerbaijan Grand Prix,20,357.0,20.0,53.3,1013.9,False,41.3,231,1.4
