LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.412000,15.0,GIO,99,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:44.512000,0 days 00:00:24.528000,,0 days 00:34:53.514000,0 days 00:35:18.224000,237.0,249.0,283.0,211.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:40.452000,16.0,GIO,99,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:32.248000,0 days 00:00:43.717000,0 days 00:00:24.487000,0 days 00:35:50.257000,0 days 00:36:33.974000,0 days 00:36:58.461000,219.0,258.0,281.0,300.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:35:18.028000,2019-03-31 15:15:18.113,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:38.727000,16.0,GIO,99,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:31.016000,0 days 00:00:43.271000,0 days 00:00:24.440000,0 days 00:37:29.477000,0 days 00:38:12.748000,0 days 00:38:37.188000,235.0,258.0,289.0,301.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:36:58.480000,2019-03-31 15:16:58.565,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:01:39.401000,15.0,GIO,99,0 days 00:38:51.879000,4.0,1.0,,,0 days 00:00:30.900000,0 days 00:00:43.534000,0 days 00:00:24.967000,0 days 00:39:08.088000,0 days 00:39:51.622000,0 days 00:40:16.589000,,249.0,290.0,292.0,False,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:38:37.207000,2019-03-31 15:18:37.292,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:01:39.456000,15.0,GIO,99,0 days 00:40:51.814000,5.0,1.0,,,0 days 00:00:31.191000,0 days 00:00:43.408000,0 days 00:00:24.857000,0 days 00:40:47.780000,0 days 00:41:31.188000,0 days 00:41:56.045000,232.0,251.0,288.0,288.0,False,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:40:16.608000,2019-03-31 15:20:16.693,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:38.925000,15.0,GIO,99,0 days 00:42:51.842000,6.0,1.0,,,0 days 00:00:30.785000,0 days 00:00:43.454000,0 days 00:00:24.686000,0 days 00:42:26.830000,0 days 00:43:10.284000,0 days 00:43:34.970000,235.0,249.0,288.0,318.0,False,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:41:56.064000,2019-03-31 15:21:56.149,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.5,False,29.3,59,3.4
0 days 00:01:39.868000,15.0,GIO,99,0 days 00:43:51.899000,7.0,1.0,,,0 days 00:00:30.770000,0 days 00:00:43.880000,0 days 00:00:25.218000,0 days 00:44:05.740000,0 days 00:44:49.620000,0 days 00:45:14.838000,237.0,248.0,290.0,325.0,False,SOFT,7.0,True,Alfa Romeo Racing,0 days 00:43:34.989000,2019-03-31 15:23:35.074,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:39.338000,15.0,GIO,99,0 days 00:45:51.929000,8.0,1.0,,,0 days 00:00:30.925000,0 days 00:00:43.497000,0 days 00:00:24.916000,0 days 00:45:45.763000,0 days 00:46:29.260000,0 days 00:46:54.176000,,253.0,289.0,298.0,False,SOFT,8.0,True,Alfa Romeo Racing,0 days 00:45:14.857000,2019-03-31 15:25:14.942,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.2,1003.6,False,29.1,40,2.9
0 days 00:01:39.342000,12.0,GIO,99,0 days 00:47:51.999000,9.0,1.0,,,0 days 00:00:30.920000,0 days 00:00:43.648000,0 days 00:00:24.774000,0 days 00:47:25.096000,0 days 00:48:08.744000,0 days 00:48:33.518000,236.0,242.0,289.0,316.0,False,SOFT,9.0,True,Alfa Romeo Racing,0 days 00:46:54.195000,2019-03-31 15:26:54.280,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.4,1003.6,False,29.1,49,2.9
0 days 00:01:38.232000,10.0,GIO,99,0 days 00:48:51.942000,10.0,1.0,,,0 days 00:00:30.873000,0 days 00:00:42.892000,0 days 00:00:24.467000,0 days 00:49:04.391000,0 days 00:49:47.283000,0 days 00:50:11.750000,235.0,256.0,287.0,318.0,True,SOFT,10.0,True,Alfa Romeo Racing,0 days 00:48:33.537000,2019-03-31 15:28:33.622,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
