LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:27.158000,7.0,GRO,8,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:09.395000,0 days 00:00:41.354000,,0 days 00:35:12.817000,0 days 00:35:54.233000,308.0,154.0,194.0,299.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,6.0,GRO,8,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:03.382000,0 days 00:01:14.548000,0 days 00:00:39.457000,0 days 00:36:57.545000,0 days 00:38:12.095000,0 days 00:38:51.806000,254.0,148.0,106.0,88.0,False,SOFT,2.0,True,Haas F1 Team,0 days 00:35:54.171000,2019-09-01 13:15:54.385,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,6.0,GRO,8,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:55.204000,0 days 00:01:11.698000,0 days 00:00:53.022000,0 days 00:39:46.852000,0 days 00:40:58.399000,0 days 00:41:51.542000,257.0,101.0,158.0,184.0,False,SOFT,3.0,True,Haas F1 Team,0 days 00:38:51.550000,2019-09-01 13:18:51.764,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,6.0,GRO,8,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:44.967000,0 days 00:01:13.706000,0 days 00:00:52.430000,0 days 00:42:36.463000,0 days 00:43:50.097000,0 days 00:44:43.765000,273.0,112.0,220.0,263.0,False,SOFT,4.0,True,Haas F1 Team,0 days 00:41:51.421000,2019-09-01 13:21:51.635,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:53.210000,6.0,GRO,8,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.778000,0 days 00:00:51.312000,0 days 00:00:30.120000,0 days 00:45:14.301000,0 days 00:46:05.613000,0 days 00:46:35.733000,314.0,194.0,216.0,303.0,True,SOFT,5.0,True,Haas F1 Team,0 days 00:44:42.523000,2019-09-01 13:24:42.737,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:51.641000,6.0,GRO,8,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.910000,0 days 00:00:49.798000,0 days 00:00:29.933000,0 days 00:47:07.643000,0 days 00:47:57.441000,0 days 00:48:27.374000,311.0,194.0,215.0,305.0,True,SOFT,6.0,True,Haas F1 Team,0 days 00:46:35.733000,2019-09-01 13:26:35.947,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:51.347000,6.0,GRO,8,0 days 00:48:30.035000,7.0,1.0,,,0 days 00:00:31.847000,0 days 00:00:49.502000,0 days 00:00:29.998000,0 days 00:48:59.221000,0 days 00:49:48.723000,0 days 00:50:18.721000,312.0,194.0,214.0,306.0,True,SOFT,7.0,True,Haas F1 Team,0 days 00:48:27.374000,2019-09-01 13:28:27.588,1,False,,False,True,Belgian Grand Prix,19,91.0,17.6,56.9,968.3,False,27.3,319,0.8
0 days 00:01:51.372000,6.0,GRO,8,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.854000,0 days 00:00:49.577000,0 days 00:00:29.941000,0 days 00:50:50.575000,0 days 00:51:40.152000,0 days 00:52:10.093000,,195.0,214.0,,False,SOFT,8.0,True,Haas F1 Team,0 days 00:50:18.721000,2019-09-01 13:30:18.935,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:51.400000,6.0,GRO,8,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.929000,0 days 00:00:49.389000,0 days 00:00:30.082000,0 days 00:52:42.022000,0 days 00:53:31.411000,0 days 00:54:01.493000,313.0,190.0,214.0,,False,SOFT,9.0,True,Haas F1 Team,0 days 00:52:10.093000,2019-09-01 13:32:10.307,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:51.145000,6.0,GRO,8,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.991000,0 days 00:00:49.187000,0 days 00:00:29.967000,0 days 00:54:33.484000,0 days 00:55:22.671000,0 days 00:55:52.638000,311.0,194.0,214.0,304.0,True,SOFT,10.0,True,Haas F1 Team,0 days 00:54:01.493000,2019-09-01 13:34:01.707,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
0 days 00:01:51.174000,6.0,GRO,8,0 days 00:56:30.150000,11.0,1.0,,,0 days 00:00:31.960000,0 days 00:00:49.223000,0 days 00:00:29.991000,0 days 00:56:24.598000,0 days 00:57:13.821000,0 days 00:57:43.812000,307.0,193.0,214.0,305.0,False,SOFT,11.0,True,Haas F1 Team,0 days 00:55:52.638000,2019-09-01 13:35:52.852,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,58.0,968.3,False,27.1,245,1.9
