LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:29.294000,8.0,MAG,20,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:10.229000,0 days 00:00:41.944000,,0 days 00:35:14.379000,0 days 00:35:56.445000,321.0,156.0,194.0,275.0,False,SOFT,4.0,False,Haas F1 Team,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,7.0,MAG,20,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:03.522000,0 days 00:01:13.358000,0 days 00:00:39.879000,0 days 00:37:00.073000,0 days 00:38:13.174000,0 days 00:38:53.370000,201.0,133.0,135.0,90.0,False,SOFT,5.0,False,Haas F1 Team,0 days 00:35:56.323000,2019-09-01 13:15:56.537,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,7.0,MAG,20,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:56,0 days 00:01:09.853000,0 days 00:00:53.580000,0 days 00:39:49.091000,0 days 00:40:58.867000,0 days 00:41:52.559000,240.0,102.0,165.0,198.0,False,SOFT,6.0,False,Haas F1 Team,0 days 00:38:53.053000,2019-09-01 13:18:53.267,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,7.0,MAG,20,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:45.590000,0 days 00:01:12.647000,0 days 00:00:52.488000,0 days 00:42:38.150000,0 days 00:43:50.738000,0 days 00:44:44.608000,266.0,114.0,217.0,263.0,False,SOFT,7.0,False,Haas F1 Team,0 days 00:41:52.447000,2019-09-01 13:21:52.661,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:53.612000,7.0,MAG,20,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.815000,0 days 00:00:51.492000,0 days 00:00:30.305000,0 days 00:45:14.982000,0 days 00:46:06.474000,0 days 00:46:36.779000,318.0,192.0,215.0,311.0,True,SOFT,8.0,False,Haas F1 Team,0 days 00:44:43.167000,2019-09-01 13:24:43.381,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:52.095000,7.0,MAG,20,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.892000,0 days 00:00:50.150000,0 days 00:00:30.053000,0 days 00:47:08.671000,0 days 00:47:58.821000,0 days 00:48:28.874000,319.0,193.0,214.0,309.0,True,SOFT,9.0,False,Haas F1 Team,0 days 00:46:36.779000,2019-09-01 13:26:36.993,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:52.238000,7.0,MAG,20,0 days 00:48:30.035000,7.0,1.0,,,0 days 00:00:32.006000,0 days 00:00:50.087000,0 days 00:00:30.145000,0 days 00:49:00.880000,0 days 00:49:50.967000,0 days 00:50:21.112000,310.0,194.0,213.0,306.0,False,SOFT,10.0,False,Haas F1 Team,0 days 00:48:28.874000,2019-09-01 13:28:29.088,1,False,,False,True,Belgian Grand Prix,19,91.0,17.6,56.9,968.3,False,27.3,319,0.8
0 days 00:01:52.024000,7.0,MAG,20,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.950000,0 days 00:00:49.963000,0 days 00:00:30.111000,0 days 00:50:53.062000,0 days 00:51:43.025000,0 days 00:52:13.136000,308.0,195.0,213.0,308.0,True,SOFT,11.0,False,Haas F1 Team,0 days 00:50:21.112000,2019-09-01 13:30:21.326,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:52.226000,7.0,MAG,20,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:32.105000,0 days 00:00:49.945000,0 days 00:00:30.176000,0 days 00:52:45.241000,0 days 00:53:35.186000,0 days 00:54:05.362000,311.0,193.0,214.0,307.0,False,SOFT,12.0,False,Haas F1 Team,0 days 00:52:13.136000,2019-09-01 13:32:13.350,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:53.020000,8.0,MAG,20,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:32.027000,0 days 00:00:50.993000,0 days 00:00:30,0 days 00:54:37.389000,0 days 00:55:28.382000,0 days 00:55:58.382000,320.0,195.0,215.0,305.0,False,SOFT,13.0,False,Haas F1 Team,0 days 00:54:05.362000,2019-09-01 13:34:05.576,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
