LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:30.965000,9.0,PER,11,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:11.775000,0 days 00:00:42.096000,,0 days 00:35:15.853000,0 days 00:35:58.046000,332.0,140.0,173.0,265.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,8.0,PER,11,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:02.627000,0 days 00:01:14.034000,0 days 00:00:40.039000,0 days 00:37:00.542000,0 days 00:38:14.605000,0 days 00:38:55.009000,185.0,127.0,207.0,91.0,False,SOFT,5.0,False,Racing Point,0 days 00:35:57.949000,2019-09-01 13:15:58.163,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,8.0,PER,11,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:54.973000,0 days 00:01:10.477000,0 days 00:00:53.513000,0 days 00:39:49.618000,0 days 00:41:00.069000,0 days 00:41:53.801000,220.0,145.0,200.0,192.0,False,SOFT,6.0,False,Racing Point,0 days 00:38:54.615000,2019-09-01 13:18:54.829,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,8.0,PER,11,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:44.975000,0 days 00:01:13.638000,0 days 00:00:51.230000,0 days 00:42:38.530000,0 days 00:43:52.186000,0 days 00:44:45.193000,280.0,119.0,219.0,256.0,False,SOFT,7.0,False,Racing Point,0 days 00:41:53.582000,2019-09-01 13:21:53.796,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:53.860000,8.0,PER,11,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.737000,0 days 00:00:51.893000,0 days 00:00:30.230000,0 days 00:45:15.132000,0 days 00:46:07.025000,0 days 00:46:37.255000,313.0,185.0,217.0,306.0,True,SOFT,8.0,False,Racing Point,0 days 00:44:43.395000,2019-09-01 13:24:43.609,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:52.270000,8.0,PER,11,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.519000,0 days 00:00:50.953000,0 days 00:00:29.798000,0 days 00:47:08.774000,0 days 00:47:59.727000,0 days 00:48:29.525000,333.0,194.0,215.0,311.0,True,SOFT,9.0,False,Racing Point,0 days 00:46:37.255000,2019-09-01 13:26:37.469,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:52.374000,8.0,PER,11,0 days 00:48:30.035000,7.0,1.0,,,0 days 00:00:31.446000,0 days 00:00:51.035000,0 days 00:00:29.893000,0 days 00:49:00.971000,0 days 00:49:52.006000,0 days 00:50:21.899000,324.0,195.0,215.0,310.0,False,SOFT,10.0,False,Racing Point,0 days 00:48:29.525000,2019-09-01 13:28:29.739,1,False,,False,True,Belgian Grand Prix,19,91.0,17.6,56.9,968.3,False,27.3,319,0.8
0 days 00:01:52.102000,8.0,PER,11,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.258000,0 days 00:00:51.168000,0 days 00:00:29.676000,0 days 00:50:53.157000,0 days 00:51:44.325000,0 days 00:52:14.001000,345.0,194.0,217.0,314.0,True,SOFT,11.0,False,Racing Point,0 days 00:50:21.899000,2019-09-01 13:30:22.113,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:51.914000,8.0,PER,11,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.385000,0 days 00:00:50.622000,0 days 00:00:29.907000,0 days 00:52:45.386000,0 days 00:53:36.008000,0 days 00:54:05.915000,327.0,191.0,217.0,315.0,True,SOFT,12.0,False,Racing Point,0 days 00:52:14.001000,2019-09-01 13:32:14.215,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:50.368000,7.0,PER,11,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.210000,0 days 00:00:49.494000,0 days 00:00:29.664000,0 days 00:54:37.125000,0 days 00:55:26.619000,0 days 00:55:56.283000,333.0,195.0,217.0,316.0,True,SOFT,13.0,False,Racing Point,0 days 00:54:05.915000,2019-09-01 13:34:06.129,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
