LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:41.046000,16.0,RUS,63,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:19.949000,0 days 00:00:41.152000,,0 days 00:35:26.915000,0 days 00:36:08.121000,326.0,174.0,196.0,271.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,15.0,RUS,63,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:01.904000,0 days 00:01:12.838000,0 days 00:00:45.051000,0 days 00:37:10.225000,0 days 00:38:22.771000,0 days 00:39:08.060000,208.0,136.0,199.0,123.0,False,MEDIUM,2.0,True,Williams,0 days 00:36:08.067000,2019-09-01 13:16:08.281,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,15.0,RUS,63,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:53.958000,0 days 00:01:08.139000,0 days 00:00:55.260000,0 days 00:40:01.795000,0 days 00:41:09.964000,0 days 00:42:05.501000,263.0,148.0,200.0,154.0,False,MEDIUM,3.0,True,Williams,0 days 00:39:07.822000,2019-09-01 13:19:08.036,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,15.0,RUS,63,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:45.503000,0 days 00:01:09.112000,0 days 00:00:47.153000,0 days 00:42:50.718000,0 days 00:43:59.804000,0 days 00:44:50.139000,289.0,176.0,217.0,267.0,False,MEDIUM,4.0,True,Williams,0 days 00:42:05.194000,2019-09-01 13:22:05.408,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:54.692000,15.0,RUS,63,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:32.209000,0 days 00:00:52.112000,0 days 00:00:30.371000,0 days 00:45:19.092000,0 days 00:46:11.204000,0 days 00:46:41.575000,317.0,189.0,216.0,301.0,True,MEDIUM,5.0,True,Williams,0 days 00:44:46.883000,2019-09-01 13:24:47.097,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:54.079000,16.0,RUS,63,0 days 00:47:29.999000,6.0,1.0,,,,,0 days 00:00:30.211000,,,0 days 00:48:35.871000,,192.0,214.0,304.0,True,MEDIUM,6.0,True,Williams,0 days 00:46:41.575000,2019-09-01 13:26:41.789,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:54.862000,17.0,RUS,63,0 days 00:49:30.048000,7.0,1.0,,,0 days 00:00:32.334000,0 days 00:00:52.155000,0 days 00:00:30.373000,0 days 00:49:07.988000,0 days 00:50:00.143000,0 days 00:50:30.516000,305.0,192.0,216.0,302.0,False,MEDIUM,7.0,True,Williams,0 days 00:48:35.654000,2019-09-01 13:28:35.868,1,False,,False,True,Belgian Grand Prix,19,91.0,17.5,55.5,968.2,False,27.1,284,1.5
0 days 00:01:52.810000,17.0,RUS,63,0 days 00:51:30.129000,8.0,1.0,,,0 days 00:00:32.090000,0 days 00:00:50.373000,0 days 00:00:30.347000,0 days 00:51:02.606000,0 days 00:51:52.979000,0 days 00:52:23.326000,306.0,191.0,215.0,303.0,True,MEDIUM,8.0,True,Williams,0 days 00:50:30.516000,2019-09-01 13:30:30.730,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,58.1,968.2,False,26.6,347,2.3
0 days 00:01:52.233000,17.0,RUS,63,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:32.134000,0 days 00:00:49.872000,0 days 00:00:30.227000,0 days 00:52:55.460000,0 days 00:53:45.332000,0 days 00:54:15.559000,307.0,192.0,214.0,302.0,True,MEDIUM,9.0,True,Williams,0 days 00:52:23.326000,2019-09-01 13:32:23.540,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:52.410000,17.0,RUS,63,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:32.266000,0 days 00:00:49.799000,0 days 00:00:30.345000,0 days 00:54:47.825000,0 days 00:55:37.624000,0 days 00:56:07.969000,304.0,191.0,214.0,301.0,False,MEDIUM,10.0,True,Williams,0 days 00:54:15.559000,2019-09-01 13:34:15.773,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
0 days 00:01:52.046000,17.0,RUS,63,0 days 00:56:30.150000,11.0,1.0,,,0 days 00:00:32.112000,0 days 00:00:49.559000,0 days 00:00:30.375000,0 days 00:56:40.081000,0 days 00:57:29.640000,0 days 00:58:00.015000,,193.0,216.0,302.0,True,MEDIUM,11.0,True,Williams,0 days 00:56:07.969000,2019-09-01 13:36:08.183,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,58.0,968.3,False,27.1,245,1.9
0 days 00:01:52.194000,16.0,RUS,63,0 days 00:58:30.146000,12.0,1.0,,,0 days 00:00:32.227000,0 days 00:00:49.641000,0 days 00:00:30.326000,0 days 00:58:32.242000,0 days 00:59:21.883000,0 days 00:59:52.209000,301.0,194.0,216.0,303.0,False,MEDIUM,12.0,True,Williams,0 days 00:58:00.015000,2019-09-01 13:38:00.229,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,58.4,968.2,False,27.1,16,1.6
0 days 00:01:51.983000,16.0,RUS,63,0 days 01:00:30.175000,13.0,1.0,,,0 days 00:00:32.203000,0 days 00:00:49.569000,0 days 00:00:30.211000,0 days 01:00:24.412000,0 days 01:01:13.981000,0 days 01:01:44.192000,306.0,195.0,214.0,302.0,True,MEDIUM,13.0,True,Williams,0 days 00:59:52.209000,2019-09-01 13:39:52.423,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.9,968.3,False,28.4,2,2.8
0 days 00:01:52.202000,15.0,RUS,63,0 days 01:02:30.200000,14.0,1.0,,,0 days 00:00:32.290000,0 days 00:00:49.670000,0 days 00:00:30.242000,0 days 01:02:16.482000,0 days 01:03:06.152000,0 days 01:03:36.394000,303.0,195.0,215.0,303.0,False,MEDIUM,14.0,True,Williams,0 days 01:01:44.192000,2019-09-01 13:41:44.406,1,False,,False,True,Belgian Grand Prix,19,91.0,17.5,56.8,968.3,False,29.2,203,2.1
0 days 00:01:52.540000,15.0,RUS,63,0 days 01:04:30.227000,15.0,1.0,,,0 days 00:00:32.212000,0 days 00:00:49.663000,0 days 00:00:30.665000,0 days 01:04:08.606000,0 days 01:04:58.269000,0 days 01:05:28.934000,304.0,192.0,217.0,302.0,False,MEDIUM,15.0,True,Williams,0 days 01:03:36.394000,2019-09-01 13:43:36.608,1,False,,False,True,Belgian Grand Prix,19,91.0,17.7,54.5,968.2,False,29.6,183,1.4
0 days 00:01:52.373000,15.0,RUS,63,0 days 01:05:30.374000,16.0,1.0,,,0 days 00:00:31.743000,0 days 00:00:50.426000,0 days 00:00:30.204000,0 days 01:06:00.677000,0 days 01:06:51.103000,0 days 01:07:21.307000,330.0,194.0,216.0,306.0,False,MEDIUM,16.0,True,Williams,0 days 01:05:28.934000,2019-09-01 13:45:29.148,1,False,,False,True,Belgian Grand Prix,19,91.0,17.8,54.7,968.3,False,29.8,267,2.5
