LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:33.516000,11.0,STR,18,0 days 00:33:29.811000,1.0,1.0,,,,0 days 00:01:14.968000,0 days 00:00:40.583000,,0 days 00:35:19.913000,0 days 00:36:00.594000,335.0,162.0,199.0,276.0,False,SOFT,1.0,True,Racing Point,0 days 00:33:26.693000,2019-09-01 13:13:26.907,24,False,,False,False,Belgian Grand Prix,19,91.0,16.9,59.2,968.2,False,27.0,26,2.4
,10.0,STR,18,0 days 00:36:30.134000,2.0,1.0,,,0 days 00:01:03.617000,0 days 00:01:12.866000,0 days 00:00:42.056000,0 days 00:37:04.145000,0 days 00:38:17.023000,0 days 00:38:59.469000,240.0,135.0,198.0,89.0,False,SOFT,2.0,True,Racing Point,0 days 00:36:00.496000,2019-09-01 13:16:00.710,4,False,,False,False,Belgian Grand Prix,19,91.0,17.2,58.0,968.2,False,27.7,353,2.1
,10.0,STR,18,0 days 00:39:29.968000,3.0,1.0,,,0 days 00:00:53.326000,0 days 00:01:09.917000,0 days 00:00:54.949000,0 days 00:39:52.412000,0 days 00:41:02.379000,0 days 00:41:57.323000,261.0,167.0,175.0,167.0,False,SOFT,3.0,True,Racing Point,0 days 00:38:59.067000,2019-09-01 13:18:59.281,4,False,,False,False,Belgian Grand Prix,19,91.0,17.3,56.1,968.1,False,29.2,34,2.9
,10.0,STR,18,0 days 00:42:30.059000,4.0,1.0,,,0 days 00:00:44.197000,0 days 00:01:12.192000,0 days 00:00:50.798000,0 days 00:42:41.580000,0 days 00:43:53.655000,0 days 00:44:46.692000,294.0,136.0,221.0,281.0,False,SOFT,4.0,True,Racing Point,0 days 00:41:57.278000,2019-09-01 13:21:57.492,4,False,,False,False,Belgian Grand Prix,19,91.0,17.5,55.2,968.2,False,28.5,4,1.9
0 days 00:01:54.081000,10.0,STR,18,0 days 00:45:29.970000,5.0,1.0,,,0 days 00:00:31.820000,0 days 00:00:52.025000,0 days 00:00:30.236000,0 days 00:45:16.184000,0 days 00:46:08.209000,0 days 00:46:38.445000,332.0,192.0,218.0,305.0,True,SOFT,5.0,True,Racing Point,0 days 00:44:44.364000,2019-09-01 13:24:44.578,1,False,,False,False,Belgian Grand Prix,19,91.0,17.4,56.3,968.2,False,27.8,27,2.0
0 days 00:01:52.757000,10.0,STR,18,0 days 00:47:29.999000,6.0,1.0,,,0 days 00:00:31.670000,0 days 00:00:51.144000,0 days 00:00:29.943000,0 days 00:47:10.115000,0 days 00:48:01.259000,0 days 00:48:31.202000,328.0,194.0,217.0,307.0,True,SOFT,6.0,True,Racing Point,0 days 00:46:38.445000,2019-09-01 13:26:38.659,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,56.8,968.2,False,27.3,333,1.6
0 days 00:01:52.400000,10.0,STR,18,0 days 00:49:30.048000,7.0,1.0,,,0 days 00:00:31.350000,0 days 00:00:51.074000,0 days 00:00:29.976000,0 days 00:49:02.552000,0 days 00:49:53.626000,0 days 00:50:23.602000,336.0,195.0,218.0,310.0,True,SOFT,7.0,True,Racing Point,0 days 00:48:31.202000,2019-09-01 13:28:31.416,1,False,,False,True,Belgian Grand Prix,19,91.0,17.5,55.5,968.2,False,27.1,284,1.5
0 days 00:01:52.012000,10.0,STR,18,0 days 00:50:30.038000,8.0,1.0,,,0 days 00:00:31.191000,0 days 00:00:51.056000,0 days 00:00:29.765000,0 days 00:50:54.793000,0 days 00:51:45.849000,0 days 00:52:15.614000,330.0,194.0,220.0,311.0,True,SOFT,8.0,True,Racing Point,0 days 00:50:23.602000,2019-09-01 13:30:23.816,1,False,,False,True,Belgian Grand Prix,19,91.0,17.2,56.8,968.2,False,26.6,222,1.5
0 days 00:01:51.823000,10.0,STR,18,0 days 00:52:30.242000,9.0,1.0,,,0 days 00:00:31.258000,0 days 00:00:50.631000,0 days 00:00:29.934000,0 days 00:52:46.872000,0 days 00:53:37.503000,0 days 00:54:07.437000,334.0,193.0,220.0,307.0,True,SOFT,9.0,True,Racing Point,0 days 00:52:15.614000,2019-09-01 13:32:15.828,1,False,,False,True,Belgian Grand Prix,19,91.0,17.4,57.5,968.2,False,26.6,1,2.9
0 days 00:01:52.352000,10.0,STR,18,0 days 00:54:30.175000,10.0,1.0,,,0 days 00:00:31.370000,0 days 00:00:51.034000,0 days 00:00:29.948000,0 days 00:54:38.807000,0 days 00:55:29.841000,0 days 00:55:59.789000,332.0,195.0,220.0,306.0,False,SOFT,10.0,True,Racing Point,0 days 00:54:07.437000,2019-09-01 13:34:07.651,1,False,,False,True,Belgian Grand Prix,19,91.0,17.3,57.7,968.3,False,26.8,273,0.9
