LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:22.733000,10.0,GIO,99,0 days 00:33:58.318000,1.0,1.0,,,,0 days 00:00:40.561000,0 days 00:00:17.217000,,0 days 00:34:05.027000,0 days 00:34:22.378000,318.0,240.0,311.0,227.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,False,,False,False,Brazilian Grand Prix,15,258.0,20.6,62.1,925.1,False,48.1,116,2.0
0 days 00:01:15.757000,11.0,GIO,99,0 days 00:34:58.137000,2.0,1.0,,,0 days 00:00:19.397000,0 days 00:00:38.936000,0 days 00:00:17.424000,0 days 00:34:41.588000,0 days 00:35:20.524000,0 days 00:35:37.948000,308.0,241.0,309.0,287.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:34:22.211000,2019-11-17 17:14:23.027,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.5,62.9,925.0,False,48.1,162,1.1
0 days 00:01:15.372000,11.0,GIO,99,0 days 00:35:58.149000,3.0,1.0,,,0 days 00:00:19.602000,0 days 00:00:38.931000,0 days 00:00:16.839000,0 days 00:35:57.550000,0 days 00:36:36.481000,0 days 00:36:53.320000,318.0,248.0,329.0,277.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:35:37.968000,2019-11-17 17:15:38.784,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.4,62.9,925.1,False,48.0,104,1.3
0 days 00:01:15.231000,11.0,GIO,99,0 days 00:36:58.142000,4.0,1.0,,,0 days 00:00:19.037000,0 days 00:00:39.253000,0 days 00:00:16.941000,0 days 00:37:12.357000,0 days 00:37:51.610000,0 days 00:38:08.551000,322.0,247.0,327.0,303.0,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:36:53.340000,2019-11-17 17:16:54.156,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.7,61.9,925.1,False,48.8,210,0.5
0 days 00:01:15.099000,10.0,GIO,99,0 days 00:38:58.167000,5.0,1.0,,,0 days 00:00:19.035000,0 days 00:00:38.793000,0 days 00:00:17.271000,0 days 00:38:27.586000,0 days 00:39:06.379000,0 days 00:39:23.650000,317.0,244.0,307.0,327.0,True,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:38:08.571000,2019-11-17 17:18:09.387,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.0,60.9,925.0,False,49.4,205,1.5
0 days 00:01:14.944000,10.0,GIO,99,0 days 00:39:58.195000,6.0,1.0,,,0 days 00:00:19.206000,0 days 00:00:38.652000,0 days 00:00:17.086000,0 days 00:39:42.856000,0 days 00:40:21.508000,0 days 00:40:38.594000,304.0,248.0,308.0,303.0,True,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:39:23.670000,2019-11-17 17:19:24.486,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,60.4,925.0,False,49.6,149,1.2
0 days 00:01:15.279000,10.0,GIO,99,0 days 00:40:58.203000,7.0,1.0,,,0 days 00:00:19.178000,0 days 00:00:38.881000,0 days 00:00:17.220000,0 days 00:40:57.772000,0 days 00:41:36.653000,0 days 00:41:53.873000,301.0,243.0,308.0,309.0,False,SOFT,7.0,True,Alfa Romeo Racing,0 days 00:40:38.614000,2019-11-17 17:20:39.430,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,59.8,925.1,False,49.6,98,1.3
0 days 00:01:15.162000,10.0,GIO,99,0 days 00:41:58.204000,8.0,1.0,,,0 days 00:00:19.113000,0 days 00:00:38.903000,0 days 00:00:17.146000,0 days 00:42:12.986000,0 days 00:42:51.889000,0 days 00:43:09.035000,,244.0,309.0,307.0,False,SOFT,8.0,True,Alfa Romeo Racing,0 days 00:41:53.893000,2019-11-17 17:21:54.709,2,False,,False,True,Brazilian Grand Prix,15,258.0,20.9,60.5,925.1,False,48.9,131,1.2
0 days 00:01:15.038000,10.0,GIO,99,0 days 00:43:58.484000,9.0,1.0,,,0 days 00:00:19.166000,0 days 00:00:38.758000,0 days 00:00:17.114000,0 days 00:43:28.201000,0 days 00:44:06.959000,0 days 00:44:24.073000,,246.0,309.0,306.0,False,SOFT,9.0,True,Alfa Romeo Racing,0 days 00:43:09.055000,2019-11-17 17:23:09.871,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.3,924.9,False,49.5,148,1.5
0 days 00:01:15.108000,10.0,GIO,99,0 days 00:44:58.223000,10.0,1.0,,,0 days 00:00:19.277000,0 days 00:00:38.783000,0 days 00:00:17.048000,0 days 00:44:43.350000,0 days 00:45:22.133000,0 days 00:45:39.181000,,246.0,309.0,,False,SOFT,10.0,True,Alfa Romeo Racing,0 days 00:44:24.093000,2019-11-17 17:24:24.909,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.1,925.0,False,48.5,0,1.2
