LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:24.845000,16.0,HUL,27,0 days 00:33:58.318000,1.0,1.0,,,,0 days 00:00:41.584000,0 days 00:00:17.428000,,0 days 00:34:06.967000,0 days 00:34:24.472000,308.0,219.0,314.0,241.0,False,MEDIUM,1.0,True,Renault,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,False,,False,False,Brazilian Grand Prix,15,258.0,20.6,62.1,925.1,False,48.1,116,2.0
0 days 00:01:16.883000,16.0,HUL,27,0 days 00:34:58.137000,2.0,1.0,,,0 days 00:00:19.580000,0 days 00:00:40.234000,0 days 00:00:17.069000,0 days 00:34:43.916000,0 days 00:35:24.150000,0 days 00:35:41.219000,312.0,249.0,316.0,280.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:24.323000,2019-11-17 17:14:25.139,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.5,62.9,925.0,False,48.1,162,1.1
0 days 00:01:16.407000,17.0,HUL,27,0 days 00:35:58.149000,3.0,1.0,,,0 days 00:00:19.422000,0 days 00:00:39.861000,0 days 00:00:17.124000,0 days 00:36:00.641000,0 days 00:36:40.502000,0 days 00:36:57.626000,329.0,239.0,331.0,312.0,True,MEDIUM,3.0,True,Renault,0 days 00:35:41.206000,2019-11-17 17:15:42.022,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.4,62.9,925.1,False,48.0,104,1.3
0 days 00:01:15.486000,17.0,HUL,27,0 days 00:36:58.142000,4.0,1.0,,,0 days 00:00:19.042000,0 days 00:00:39.582000,0 days 00:00:16.862000,0 days 00:37:16.668000,0 days 00:37:56.250000,0 days 00:38:13.112000,322.0,248.0,330.0,309.0,True,MEDIUM,4.0,True,Renault,0 days 00:36:57.613000,2019-11-17 17:16:58.429,1,False,,False,True,Brazilian Grand Prix,15,258.0,20.7,61.9,925.1,False,48.8,210,0.5
0 days 00:01:15.287000,16.0,HUL,27,0 days 00:38:58.167000,5.0,1.0,,,0 days 00:00:19.168000,0 days 00:00:39.163000,0 days 00:00:16.956000,0 days 00:38:32.280000,0 days 00:39:11.443000,0 days 00:39:28.399000,321.0,233.0,327.0,302.0,True,MEDIUM,5.0,True,Renault,0 days 00:38:13.099000,2019-11-17 17:18:13.915,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.0,60.9,925.0,False,49.4,205,1.5
0 days 00:01:15.503000,16.0,HUL,27,0 days 00:39:58.195000,6.0,1.0,,,0 days 00:00:19.071000,0 days 00:00:39.431000,0 days 00:00:17.001000,0 days 00:39:47.470000,0 days 00:40:26.901000,0 days 00:40:43.902000,325.0,244.0,328.0,311.0,False,MEDIUM,6.0,True,Renault,0 days 00:39:28.386000,2019-11-17 17:19:29.202,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,60.4,925.0,False,49.6,149,1.2
0 days 00:01:15.589000,17.0,HUL,27,0 days 00:40:58.203000,7.0,1.0,,,0 days 00:00:19.021000,0 days 00:00:39.460000,0 days 00:00:17.108000,0 days 00:41:02.923000,0 days 00:41:42.383000,0 days 00:41:59.491000,323.0,247.0,326.0,314.0,False,MEDIUM,7.0,True,Renault,0 days 00:40:43.889000,2019-11-17 17:20:44.705,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.1,59.8,925.1,False,49.6,98,1.3
0 days 00:01:16.116000,15.0,HUL,27,0 days 00:42:58.214000,8.0,1.0,,,0 days 00:00:19.181000,0 days 00:00:39.788000,0 days 00:00:17.147000,0 days 00:42:18.672000,0 days 00:42:58.460000,0 days 00:43:15.607000,324.0,233.0,329.0,307.0,False,MEDIUM,8.0,True,Renault,0 days 00:41:59.478000,2019-11-17 17:22:00.294,2,False,,False,True,Brazilian Grand Prix,15,258.0,20.8,61.5,925.0,False,49.3,5,0.8
0 days 00:01:15.192000,15.0,HUL,27,0 days 00:43:58.484000,9.0,1.0,,,0 days 00:00:19.222000,0 days 00:00:39.020000,0 days 00:00:16.950000,0 days 00:43:34.829000,0 days 00:44:13.849000,0 days 00:44:30.799000,323.0,247.0,323.0,305.0,True,MEDIUM,9.0,True,Renault,0 days 00:43:15.594000,2019-11-17 17:23:16.410,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.3,924.9,False,49.5,148,1.5
0 days 00:01:15.163000,15.0,HUL,27,0 days 00:44:58.223000,10.0,1.0,,,0 days 00:00:19.122000,0 days 00:00:39.016000,0 days 00:00:17.025000,0 days 00:44:49.921000,0 days 00:45:28.937000,0 days 00:45:45.962000,319.0,247.0,321.0,310.0,True,MEDIUM,10.0,True,Renault,0 days 00:44:30.786000,2019-11-17 17:24:31.602,1,False,,False,True,Brazilian Grand Prix,15,258.0,21.2,60.1,925.0,False,48.5,0,1.2
