LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.321000,7.0,NOR,4,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:39.383000,0 days 00:00:25.941000,,0 days 00:34:22.308000,0 days 00:34:48.328000,311.0,258.0,246.0,302.0,False,SOFT,4.0,False,McLaren,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:33.180000,7.0,NOR,4,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.371000,0 days 00:00:38.070000,0 days 00:00:25.739000,0 days 00:35:17.581000,0 days 00:35:55.651000,0 days 00:36:21.390000,286.0,257.0,246.0,299.0,True,SOFT,5.0,False,McLaren,0 days 00:34:48.212000,2019-07-14 13:14:48.479,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:32.498000,7.0,NOR,4,0 days 00:36:23.566000,3.0,1.0,,,0 days 00:00:29.018000,0 days 00:00:37.816000,0 days 00:00:25.664000,0 days 00:36:50.408000,0 days 00:37:28.224000,0 days 00:37:53.888000,293.0,259.0,247.0,300.0,True,SOFT,6.0,False,McLaren,0 days 00:36:21.392000,2019-07-14 13:16:21.659,1,False,,False,True,British Grand Prix,18,92.0,19.1,63.0,1006.3,False,31.8,47,0.4
0 days 00:01:32.903000,7.0,NOR,4,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.343000,0 days 00:00:37.915000,0 days 00:00:25.645000,0 days 00:38:23.231000,0 days 00:39:01.146000,0 days 00:39:26.791000,290.0,258.0,245.0,303.0,False,SOFT,7.0,False,McLaren,0 days 00:37:53.890000,2019-07-14 13:17:54.157,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:32.317000,7.0,NOR,4,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:29.243000,0 days 00:00:37.630000,0 days 00:00:25.444000,0 days 00:39:56.034000,0 days 00:40:33.664000,0 days 00:40:59.108000,289.0,259.0,244.0,304.0,True,SOFT,8.0,False,McLaren,0 days 00:39:26.793000,2019-07-14 13:19:27.060,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:33.019000,7.0,NOR,4,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.413000,0 days 00:00:37.854000,0 days 00:00:25.752000,0 days 00:41:28.521000,0 days 00:42:06.375000,0 days 00:42:32.127000,286.0,258.0,245.0,300.0,False,SOFT,9.0,False,McLaren,0 days 00:40:59.110000,2019-07-14 13:20:59.377,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:32.745000,7.0,NOR,4,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.293000,0 days 00:00:37.814000,0 days 00:00:25.638000,0 days 00:43:01.420000,0 days 00:43:39.234000,0 days 00:44:04.872000,285.0,259.0,245.0,301.0,False,SOFT,10.0,False,McLaren,0 days 00:42:32.129000,2019-07-14 13:22:32.396,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:32.436000,7.0,NOR,4,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.261000,0 days 00:00:37.708000,0 days 00:00:25.467000,0 days 00:44:34.133000,0 days 00:45:11.841000,0 days 00:45:37.308000,286.0,257.0,244.0,300.0,False,SOFT,11.0,False,McLaren,0 days 00:44:04.874000,2019-07-14 13:24:05.141,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:32.738000,7.0,NOR,4,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.316000,0 days 00:00:37.857000,0 days 00:00:25.565000,0 days 00:46:06.624000,0 days 00:46:44.481000,0 days 00:47:10.046000,285.0,257.0,246.0,296.0,False,SOFT,12.0,False,McLaren,0 days 00:45:37.310000,2019-07-14 13:25:37.577,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:32.369000,7.0,NOR,4,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.273000,0 days 00:00:37.650000,0 days 00:00:25.446000,0 days 00:47:39.319000,0 days 00:48:16.969000,0 days 00:48:42.415000,284.0,258.0,245.0,298.0,False,SOFT,13.0,False,McLaren,0 days 00:47:10.048000,2019-07-14 13:27:10.315,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
0 days 00:01:32.304000,7.0,NOR,4,0 days 00:49:23.751000,11.0,1.0,,,0 days 00:00:29.241000,0 days 00:00:37.547000,0 days 00:00:25.516000,0 days 00:49:11.656000,0 days 00:49:49.203000,0 days 00:50:14.719000,287.0,259.0,245.0,300.0,True,SOFT,14.0,False,McLaren,0 days 00:48:42.417000,2019-07-14 13:28:42.684,1,False,,False,True,British Grand Prix,18,92.0,18.8,59.4,1006.3,False,30.9,45,1.1
0 days 00:01:32.578000,7.0,NOR,4,0 days 00:50:23.764000,12.0,1.0,,,0 days 00:00:29.433000,0 days 00:00:37.558000,0 days 00:00:25.587000,0 days 00:50:44.152000,0 days 00:51:21.710000,0 days 00:51:47.297000,284.0,259.0,245.0,298.0,False,SOFT,15.0,False,McLaren,0 days 00:50:14.721000,2019-07-14 13:30:14.988,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.0,1006.3,False,31.2,45,1.5
0 days 00:01:31.816000,6.0,NOR,4,0 days 00:52:23.790000,13.0,1.0,,0 days 00:53:13.257000,0 days 00:00:29.294000,0 days 00:00:37.383000,0 days 00:00:25.139000,0 days 00:52:16.591000,0 days 00:52:53.974000,0 days 00:53:19.113000,,260.0,,298.0,False,SOFT,16.0,False,McLaren,0 days 00:51:47.299000,2019-07-14 13:31:47.566,1,False,,False,False,British Grand Prix,18,92.0,18.6,59.9,1006.3,False,31.8,36,2.0
0 days 00:01:53.161000,12.0,NOR,4,0 days 00:53:23.803000,14.0,2.0,0 days 00:53:41.540000,,0 days 00:00:49.714000,0 days 00:00:37.936000,0 days 00:00:25.511000,0 days 00:54:08.827000,0 days 00:54:46.763000,0 days 00:55:12.274000,308.0,264.0,247.0,323.0,False,MEDIUM,1.0,True,McLaren,0 days 00:53:19.115000,2019-07-14 13:33:19.382,1,False,,False,False,British Grand Prix,18,92.0,18.6,60.3,1006.3,False,32.4,52,1.4
0 days 00:01:32.510000,12.0,NOR,4,0 days 00:55:23.829000,15.0,2.0,,,0 days 00:00:28.985000,0 days 00:00:37.843000,0 days 00:00:25.682000,0 days 00:55:41.259000,0 days 00:56:19.102000,0 days 00:56:44.784000,306.0,259.0,246.0,306.0,False,MEDIUM,2.0,True,McLaren,0 days 00:55:12.276000,2019-07-14 13:35:12.543,1,False,,False,True,British Grand Prix,18,92.0,19.3,59.1,1006.2,False,33.9,57,2.0
