LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:42.014000,12.0,RAI,7,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:39.645000,0 days 00:00:26.554000,,0 days 00:34:24.367000,0 days 00:34:51.012000,299.0,252.0,243.0,304.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:34.231000,12.0,RAI,7,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.541000,0 days 00:00:38.764000,0 days 00:00:25.926000,0 days 00:35:20.418000,0 days 00:35:59.182000,0 days 00:36:25.108000,289.0,255.0,245.0,294.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:50.905000,2019-07-14 13:14:51.172,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:33.467000,12.0,RAI,7,0 days 00:37:23.595000,3.0,1.0,,,0 days 00:00:29.518000,0 days 00:00:38.193000,0 days 00:00:25.756000,0 days 00:36:54.626000,0 days 00:37:32.819000,0 days 00:37:58.575000,293.0,253.0,243.0,300.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:25.136000,2019-07-14 13:16:25.403,1,False,,False,True,British Grand Prix,18,92.0,19.1,62.3,1006.3,False,31.7,60,1.3
0 days 00:01:33.440000,12.0,RAI,7,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.560000,0 days 00:00:38.066000,0 days 00:00:25.814000,0 days 00:38:28.135000,0 days 00:39:06.201000,0 days 00:39:32.015000,,252.0,241.0,307.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:58.603000,2019-07-14 13:17:58.870,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:34.252000,13.0,RAI,7,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:29.535000,0 days 00:00:38.063000,0 days 00:00:26.654000,0 days 00:40:01.550000,0 days 00:40:39.613000,0 days 00:41:06.267000,285.0,253.0,243.0,306.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:32.043000,2019-07-14 13:19:32.310,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:33.479000,13.0,RAI,7,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.493000,0 days 00:00:38.077000,0 days 00:00:25.909000,0 days 00:41:35.760000,0 days 00:42:13.837000,0 days 00:42:39.746000,304.0,256.0,242.0,315.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:41:06.295000,2019-07-14 13:21:06.562,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:33.530000,13.0,RAI,7,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.525000,0 days 00:00:38.229000,0 days 00:00:25.776000,0 days 00:43:09.271000,0 days 00:43:47.500000,0 days 00:44:13.276000,301.0,253.0,242.0,307.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:39.774000,2019-07-14 13:22:40.041,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:32.922000,13.0,RAI,7,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.298000,0 days 00:00:37.828000,0 days 00:00:25.796000,0 days 00:44:42.574000,0 days 00:45:20.402000,0 days 00:45:46.198000,302.0,255.0,242.0,314.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:44:13.304000,2019-07-14 13:24:13.571,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:33.098000,13.0,RAI,7,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.395000,0 days 00:00:37.949000,0 days 00:00:25.754000,0 days 00:46:15.593000,0 days 00:46:53.542000,0 days 00:47:19.296000,301.0,255.0,244.0,312.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:45:46.226000,2019-07-14 13:25:46.493,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:32.671000,13.0,RAI,7,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.121000,0 days 00:00:37.915000,0 days 00:00:25.635000,0 days 00:47:48.417000,0 days 00:48:26.332000,0 days 00:48:51.967000,303.0,254.0,243.0,314.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:47:19.324000,2019-07-14 13:27:19.591,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
0 days 00:01:32.484000,13.0,RAI,7,0 days 00:49:23.751000,11.0,1.0,,,0 days 00:00:29.186000,0 days 00:00:37.833000,0 days 00:00:25.465000,0 days 00:49:21.153000,0 days 00:49:58.986000,0 days 00:50:24.451000,304.0,255.0,242.0,315.0,True,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:48:51.995000,2019-07-14 13:28:52.262,1,False,,False,True,British Grand Prix,18,92.0,18.8,59.4,1006.3,False,30.9,45,1.1
0 days 00:01:32.665000,13.0,RAI,7,0 days 00:51:23.777000,12.0,1.0,,,0 days 00:00:29.277000,0 days 00:00:37.781000,0 days 00:00:25.607000,0 days 00:50:53.728000,0 days 00:51:31.509000,0 days 00:51:57.116000,302.0,255.0,243.0,315.0,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:50:24.479000,2019-07-14 13:30:24.746,1,False,,False,True,British Grand Prix,18,92.0,18.7,58.8,1006.4,False,31.6,38,3.5
0 days 00:01:32.968000,12.0,RAI,7,0 days 00:52:23.790000,13.0,1.0,,,0 days 00:00:29.265000,0 days 00:00:38.071000,0 days 00:00:25.632000,0 days 00:52:26.381000,0 days 00:53:04.452000,0 days 00:53:30.084000,305.0,255.0,245.0,318.0,False,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:51:57.144000,2019-07-14 13:31:57.411,1,False,,False,True,British Grand Prix,18,92.0,18.6,59.9,1006.3,False,31.8,36,2.0
0 days 00:01:33.055000,9.0,RAI,7,0 days 00:54:26.951000,14.0,1.0,,,0 days 00:00:29.216000,0 days 00:00:38.330000,0 days 00:00:25.509000,0 days 00:53:59.300000,0 days 00:54:37.630000,0 days 00:55:03.139000,306.0,249.0,244.0,316.0,False,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 00:53:30.112000,2019-07-14 13:33:30.379,1,False,,False,True,British Grand Prix,18,92.0,18.9,59.9,1006.3,False,33.1,30,0.5
0 days 00:01:32.431000,9.0,RAI,7,0 days 00:55:23.829000,15.0,1.0,,,0 days 00:00:29.319000,0 days 00:00:37.761000,0 days 00:00:25.351000,0 days 00:55:32.458000,0 days 00:56:10.219000,0 days 00:56:35.570000,287.0,255.0,244.0,317.0,True,MEDIUM,15.0,True,Alfa Romeo Racing,0 days 00:55:03.167000,2019-07-14 13:35:03.434,1,False,,False,True,British Grand Prix,18,92.0,19.3,59.1,1006.2,False,33.9,57,2.0
0 days 00:01:32.447000,9.0,RAI,7,0 days 00:57:24.447000,16.0,1.0,,,0 days 00:00:29.150000,0 days 00:00:37.703000,0 days 00:00:25.594000,0 days 00:57:04.720000,0 days 00:57:42.423000,0 days 00:58:08.017000,303.0,253.0,246.0,298.0,False,MEDIUM,16.0,True,Alfa Romeo Racing,0 days 00:56:35.598000,2019-07-14 13:36:35.865,1,False,,False,True,British Grand Prix,18,92.0,19.4,58.6,1006.3,False,33.9,23,1.8
0 days 00:01:32.193000,9.0,RAI,7,0 days 00:58:23.868000,17.0,1.0,,0 days 00:59:34.379000,0 days 00:00:29.335000,0 days 00:00:37.620000,0 days 00:00:25.238000,0 days 00:58:37.352000,0 days 00:59:14.972000,0 days 00:59:40.210000,288.0,249.0,,299.0,False,MEDIUM,17.0,True,Alfa Romeo Racing,0 days 00:58:08.045000,2019-07-14 13:38:08.312,1,False,,False,False,British Grand Prix,18,92.0,19.3,59.2,1006.4,False,34.2,315,2.0
0 days 00:01:52.707000,15.0,RAI,7,0 days 01:00:23.894000,18.0,2.0,0 days 01:00:02.771000,,0 days 00:00:49.177000,0 days 00:00:37.761000,0 days 00:00:25.769000,0 days 01:00:29.387000,0 days 01:01:07.148000,0 days 01:01:32.917000,297.0,257.0,243.0,313.0,False,HARD,1.0,True,Alfa Romeo Racing,0 days 00:59:40.238000,2019-07-14 13:39:40.505,1,False,,False,False,British Grand Prix,18,92.0,19.2,59.2,1006.3,False,33.9,46,2.4
0 days 00:01:34.478000,15.0,RAI,7,0 days 01:02:23.920000,19.0,2.0,,,0 days 00:00:29.497000,0 days 00:00:38.582000,0 days 00:00:26.399000,0 days 01:02:02.414000,0 days 01:02:40.996000,0 days 01:03:07.395000,310.0,259.0,248.0,321.0,False,HARD,2.0,True,Alfa Romeo Racing,0 days 01:01:32.945000,2019-07-14 13:41:33.212,2,False,,False,True,British Grand Prix,18,92.0,19.2,60.0,1006.3,False,33.4,24,1.1
0 days 00:02:07.615000,14.0,RAI,7,0 days 01:03:23.933000,20.0,2.0,,,0 days 00:00:40.304000,0 days 00:00:52.805000,0 days 00:00:34.506000,0 days 01:03:47.699000,0 days 01:04:40.504000,0 days 01:05:15.010000,223.0,185.0,223.0,261.0,False,HARD,3.0,True,Alfa Romeo Racing,0 days 01:03:07.423000,2019-07-14 13:43:07.690,24,False,,False,False,British Grand Prix,18,92.0,19.6,58.7,1006.2,False,33.4,166,0.8
0 days 00:02:08.462000,15.0,RAI,7,0 days 01:05:23.959000,21.0,2.0,,,0 days 00:00:43.097000,0 days 00:00:52.182000,0 days 00:00:33.183000,0 days 01:05:58.107000,0 days 01:06:50.289000,0 days 01:07:23.472000,254.0,151.0,229.0,239.0,False,HARD,4.0,True,Alfa Romeo Racing,0 days 01:05:15.038000,2019-07-14 13:45:15.305,4,False,,False,False,British Grand Prix,18,92.0,20.0,57.9,1006.2,False,35.0,296,1.2
0 days 00:01:42.584000,13.0,RAI,7,0 days 01:07:23.985000,22.0,2.0,,,0 days 00:00:31.111000,0 days 00:00:40.549000,0 days 00:00:30.924000,0 days 01:07:54.583000,0 days 01:08:35.132000,0 days 01:09:06.056000,269.0,234.0,225.0,278.0,False,HARD,5.0,True,Alfa Romeo Racing,0 days 01:07:23.500000,2019-07-14 13:47:23.767,4,False,,False,False,British Grand Prix,18,92.0,20.0,58.3,1006.1,False,35.2,70,0.7
0 days 00:02:10.914000,13.0,RAI,7,0 days 01:09:24.026000,23.0,2.0,,,0 days 00:00:47.844000,0 days 00:00:51.202000,0 days 00:00:31.868000,0 days 01:09:53.900000,0 days 01:10:45.102000,0 days 01:11:16.970000,128.0,187.0,246.0,165.0,False,HARD,6.0,True,Alfa Romeo Racing,0 days 01:09:06.084000,2019-07-14 13:49:06.351,4,False,,False,False,British Grand Prix,18,92.0,20.0,58.2,1006.2,False,34.0,33,1.6
0 days 00:01:34.221000,11.0,RAI,7,0 days 01:11:24.052000,24.0,2.0,,,0 days 00:00:29.795000,0 days 00:00:38.540000,0 days 00:00:25.886000,0 days 01:11:46.765000,0 days 01:12:25.305000,0 days 01:12:51.191000,299.0,259.0,247.0,302.0,False,HARD,7.0,True,Alfa Romeo Racing,0 days 01:11:16.998000,2019-07-14 13:51:17.265,1,False,,False,False,British Grand Prix,18,92.0,20.1,58.2,1006.1,False,33.6,45,1.8
0 days 00:01:33.206000,11.0,RAI,7,0 days 01:13:24.078000,25.0,2.0,,,0 days 00:00:29.305000,0 days 00:00:38.110000,0 days 00:00:25.791000,0 days 01:13:20.496000,0 days 01:13:58.606000,0 days 01:14:24.397000,290.0,257.0,248.0,306.0,False,HARD,8.0,True,Alfa Romeo Racing,0 days 01:12:51.219000,2019-07-14 13:52:51.486,1,False,,False,True,British Grand Prix,18,92.0,20.1,58.4,1006.1,False,33.3,51,1.2
0 days 00:01:32.054000,11.0,RAI,7,0 days 01:15:24.104000,26.0,2.0,,,0 days 00:00:29.151000,0 days 00:00:37.604000,0 days 00:00:25.299000,0 days 01:14:53.548000,0 days 01:15:31.152000,0 days 01:15:56.451000,310.0,259.0,248.0,323.0,True,HARD,9.0,True,Alfa Romeo Racing,0 days 01:14:24.425000,2019-07-14 13:54:24.692,2,False,,False,True,British Grand Prix,18,92.0,20.1,57.7,1006.1,False,34.2,29,2.4
