LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.643000,8.0,RIC,3,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:39.778000,0 days 00:00:25.683000,,0 days 00:34:22.854000,0 days 00:34:48.625000,300.0,257.0,248.0,311.0,False,SOFT,4.0,False,Renault,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:33.528000,8.0,RIC,3,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:29.452000,0 days 00:00:38.424000,0 days 00:00:25.652000,0 days 00:35:17.913000,0 days 00:35:56.337000,0 days 00:36:21.989000,296.0,257.0,248.0,303.0,True,SOFT,5.0,False,Renault,0 days 00:34:48.534000,2019-07-14 13:14:48.801,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:32.519000,8.0,RIC,3,0 days 00:36:23.566000,3.0,1.0,,,0 days 00:00:28.833000,0 days 00:00:38.087000,0 days 00:00:25.599000,0 days 00:36:50.822000,0 days 00:37:28.909000,0 days 00:37:54.508000,311.0,259.0,248.0,323.0,True,SOFT,6.0,False,Renault,0 days 00:36:22.062000,2019-07-14 13:16:22.329,1,False,,False,True,British Grand Prix,18,92.0,19.1,63.0,1006.3,False,31.8,47,0.4
0 days 00:01:32.945000,8.0,RIC,3,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:28.971000,0 days 00:00:38.237000,0 days 00:00:25.737000,0 days 00:38:23.479000,0 days 00:39:01.716000,0 days 00:39:27.453000,,260.0,246.0,323.0,False,SOFT,7.0,False,Renault,0 days 00:37:54.581000,2019-07-14 13:17:54.848,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:32.449000,8.0,RIC,3,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:28.983000,0 days 00:00:38.050000,0 days 00:00:25.416000,0 days 00:39:56.436000,0 days 00:40:34.486000,0 days 00:40:59.902000,309.0,258.0,247.0,321.0,True,SOFT,8.0,False,Renault,0 days 00:39:27.526000,2019-07-14 13:19:27.793,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:32.853000,8.0,RIC,3,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:28.975000,0 days 00:00:38.248000,0 days 00:00:25.630000,0 days 00:41:28.877000,0 days 00:42:07.125000,0 days 00:42:32.755000,307.0,258.0,246.0,319.0,False,SOFT,9.0,False,Renault,0 days 00:40:59.975000,2019-07-14 13:21:00.242,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:32.869000,8.0,RIC,3,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.011000,0 days 00:00:38.339000,0 days 00:00:25.519000,0 days 00:43:01.766000,0 days 00:43:40.105000,0 days 00:44:05.624000,308.0,259.0,246.0,319.0,False,SOFT,10.0,False,Renault,0 days 00:42:32.828000,2019-07-14 13:22:33.095,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:32.468000,8.0,RIC,3,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.048000,0 days 00:00:37.967000,0 days 00:00:25.453000,0 days 00:44:34.672000,0 days 00:45:12.639000,0 days 00:45:38.092000,305.0,257.0,246.0,318.0,False,SOFT,11.0,False,Renault,0 days 00:44:05.697000,2019-07-14 13:24:05.964,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:32.638000,8.0,RIC,3,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:28.999000,0 days 00:00:38.160000,0 days 00:00:25.479000,0 days 00:46:07.091000,0 days 00:46:45.251000,0 days 00:47:10.730000,307.0,257.0,247.0,318.0,False,SOFT,12.0,False,Renault,0 days 00:45:38.165000,2019-07-14 13:25:38.432,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:32.429000,8.0,RIC,3,0 days 00:47:23.725000,10.0,1.0,,,0 days 00:00:29.013000,0 days 00:00:38.052000,0 days 00:00:25.364000,0 days 00:47:39.743000,0 days 00:48:17.795000,0 days 00:48:43.159000,305.0,259.0,247.0,318.0,True,SOFT,13.0,False,Renault,0 days 00:47:10.803000,2019-07-14 13:27:11.070,1,False,,False,True,British Grand Prix,18,92.0,18.6,60.5,1006.4,False,31.3,23,1.5
