LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:44.462000,17.0,RUS,63,0 days 00:33:23.527000,1.0,1.0,,,,0 days 00:00:41.244000,0 days 00:00:26.310000,,0 days 00:34:27.019000,0 days 00:34:53.445000,275.0,252.0,241.0,307.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,False,,False,False,British Grand Prix,18,92.0,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:01:35.036000,17.0,RUS,63,0 days 00:35:23.569000,2.0,1.0,,,0 days 00:00:30.042000,0 days 00:00:38.963000,0 days 00:00:26.031000,0 days 00:35:23.342000,0 days 00:36:02.305000,0 days 00:36:28.336000,288.0,253.0,244.0,297.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:53.353000,2019-07-14 13:14:53.620,1,False,,False,True,British Grand Prix,18,92.0,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:01:34.376000,17.0,RUS,63,0 days 00:37:23.595000,3.0,1.0,,,0 days 00:00:29.571000,0 days 00:00:38.841000,0 days 00:00:25.964000,0 days 00:36:57.907000,0 days 00:37:36.748000,0 days 00:38:02.712000,294.0,253.0,244.0,298.0,True,MEDIUM,3.0,True,Williams,0 days 00:36:28.389000,2019-07-14 13:16:28.656,1,False,,False,True,British Grand Prix,18,92.0,19.1,62.3,1006.3,False,31.7,60,1.3
0 days 00:01:34.580000,17.0,RUS,63,0 days 00:38:23.608000,4.0,1.0,,,0 days 00:00:29.480000,0 days 00:00:39.082000,0 days 00:00:26.018000,0 days 00:38:32.192000,0 days 00:39:11.274000,0 days 00:39:37.292000,295.0,254.0,242.0,297.0,False,MEDIUM,4.0,True,Williams,0 days 00:38:02.765000,2019-07-14 13:18:03.032,1,False,,False,True,British Grand Prix,18,92.0,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:01:33.621000,17.0,RUS,63,0 days 00:40:23.633000,5.0,1.0,,,0 days 00:00:29.347000,0 days 00:00:38.150000,0 days 00:00:26.124000,0 days 00:40:06.639000,0 days 00:40:44.789000,0 days 00:41:10.913000,305.0,258.0,243.0,325.0,True,MEDIUM,5.0,True,Williams,0 days 00:39:37.345000,2019-07-14 13:19:37.612,1,False,,False,True,British Grand Prix,18,92.0,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:01:33.648000,17.0,RUS,63,0 days 00:41:23.646000,6.0,1.0,,,0 days 00:00:29.333000,0 days 00:00:38.267000,0 days 00:00:26.048000,0 days 00:41:40.246000,0 days 00:42:18.513000,0 days 00:42:44.561000,313.0,254.0,243.0,306.0,False,MEDIUM,6.0,True,Williams,0 days 00:41:10.966000,2019-07-14 13:21:11.233,1,False,,False,True,British Grand Prix,18,92.0,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:01:34.095000,17.0,RUS,63,0 days 00:43:23.673000,7.0,1.0,,,0 days 00:00:29.758000,0 days 00:00:38.411000,0 days 00:00:25.926000,0 days 00:43:14.319000,0 days 00:43:52.730000,0 days 00:44:18.656000,285.0,252.0,243.0,296.0,False,MEDIUM,7.0,True,Williams,0 days 00:42:44.614000,2019-07-14 13:22:44.881,1,False,,False,True,British Grand Prix,18,92.0,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:01:33.921000,17.0,RUS,63,0 days 00:44:23.686000,8.0,1.0,,,0 days 00:00:29.669000,0 days 00:00:38.220000,0 days 00:00:26.032000,0 days 00:44:48.325000,0 days 00:45:26.545000,0 days 00:45:52.577000,286.0,252.0,241.0,296.0,False,MEDIUM,8.0,True,Williams,0 days 00:44:18.709000,2019-07-14 13:24:18.976,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:01:34.315000,17.0,RUS,63,0 days 00:46:23.712000,9.0,1.0,,,0 days 00:00:29.633000,0 days 00:00:38.451000,0 days 00:00:26.231000,0 days 00:46:22.210000,0 days 00:47:00.661000,0 days 00:47:26.892000,285.0,250.0,242.0,296.0,False,MEDIUM,9.0,True,Williams,0 days 00:45:52.630000,2019-07-14 13:25:52.897,1,False,,False,True,British Grand Prix,18,92.0,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:01:33.891000,17.0,RUS,63,0 days 00:48:23.738000,10.0,1.0,,,0 days 00:00:29.687000,0 days 00:00:38.362000,0 days 00:00:25.842000,0 days 00:47:56.579000,0 days 00:48:34.941000,0 days 00:49:00.783000,283.0,251.0,242.0,296.0,False,MEDIUM,10.0,True,Williams,0 days 00:47:26.945000,2019-07-14 13:27:27.212,1,False,,False,True,British Grand Prix,18,92.0,18.7,60.1,1006.3,False,31.2,23,1.1
