LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:06.344000,20.0,ALB,23,0 days 00:33:11.359000,1.0,1.0,,0 days 00:34:34.058000,,0 days 00:00:29.665000,0 days 00:01:03.849000,,0 days 00:34:06.992000,0 days 00:35:11.378000,168.0,245.0,,297.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,False,,False,False,Canadian Grand Prix,14,62.0,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:01:22.732000,20.0,ALB,23,0 days 00:35:11.712000,2.0,2.0,0 days 00:35:12.151000,,0 days 00:00:24.973000,0 days 00:00:25.917000,0 days 00:00:31.842000,0 days 00:35:35.521000,0 days 00:36:01.438000,0 days 00:36:33.280000,229.0,274.0,270.0,296.0,False,HARD,1.0,True,Toro Rosso,0 days 00:35:10.593000,2019-06-09 18:15:10.671,1,False,,False,False,Canadian Grand Prix,14,62.0,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:01:19.835000,20.0,ALB,23,0 days 00:37:11.944000,3.0,2.0,,,0 days 00:00:22.301000,0 days 00:00:25.632000,0 days 00:00:31.902000,0 days 00:36:55.581000,0 days 00:37:21.213000,0 days 00:37:53.115000,232.0,270.0,271.0,293.0,True,HARD,2.0,True,Toro Rosso,0 days 00:36:33.325000,2019-06-09 18:16:33.403,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,16.8,1022.3,False,52.6,171,2.1
0 days 00:01:19.464000,20.0,ALB,23,0 days 00:38:12.115000,4.0,2.0,,,0 days 00:00:22.232000,0 days 00:00:25.418000,0 days 00:00:31.814000,0 days 00:38:15.347000,0 days 00:38:40.765000,0 days 00:39:12.579000,224.0,271.0,271.0,295.0,True,HARD,3.0,True,Toro Rosso,0 days 00:37:53.160000,2019-06-09 18:17:53.238,1,False,,False,True,Canadian Grand Prix,14,62.0,28.7,16.6,1022.2,False,52.2,348,1.4
0 days 00:01:19.100000,20.0,ALB,23,0 days 00:40:11.987000,5.0,2.0,,,0 days 00:00:22.076000,0 days 00:00:25.297000,0 days 00:00:31.727000,0 days 00:39:34.655000,0 days 00:39:59.952000,0 days 00:40:31.679000,230.0,271.0,271.0,294.0,True,HARD,4.0,True,Toro Rosso,0 days 00:39:12.624000,2019-06-09 18:19:12.702,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:01:18.777000,20.0,ALB,23,0 days 00:41:11.535000,6.0,2.0,,,0 days 00:00:21.783000,0 days 00:00:25.303000,0 days 00:00:31.691000,0 days 00:40:53.462000,0 days 00:41:18.765000,0 days 00:41:50.456000,227.0,271.0,271.0,294.0,True,HARD,5.0,True,Toro Rosso,0 days 00:40:31.724000,2019-06-09 18:20:31.802,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,18.1,1022.2,False,51.8,228,0.7
0 days 00:01:18.661000,20.0,ALB,23,0 days 00:42:11.787000,7.0,2.0,,,0 days 00:00:21.767000,0 days 00:00:25.210000,0 days 00:00:31.684000,0 days 00:42:12.223000,0 days 00:42:37.433000,0 days 00:43:09.117000,234.0,273.0,271.0,294.0,True,HARD,6.0,True,Toro Rosso,0 days 00:41:50.501000,2019-06-09 18:21:50.579,1,False,,False,True,Canadian Grand Prix,14,62.0,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:01:18.535000,20.0,ALB,23,0 days 00:43:11.488000,8.0,2.0,,,0 days 00:00:21.729000,0 days 00:00:25.155000,0 days 00:00:31.651000,0 days 00:43:30.846000,0 days 00:43:56.001000,0 days 00:44:27.652000,241.0,272.0,269.0,295.0,True,HARD,7.0,True,Toro Rosso,0 days 00:43:09.162000,2019-06-09 18:23:09.240,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:01:20.542000,18.0,ALB,23,0 days 00:45:11.686000,9.0,2.0,,,0 days 00:00:22.537000,0 days 00:00:25.650000,0 days 00:00:32.355000,0 days 00:44:50.189000,0 days 00:45:15.839000,0 days 00:45:48.194000,,277.0,279.0,325.0,False,HARD,8.0,True,Toro Rosso,0 days 00:44:27.697000,2019-06-09 18:24:27.775,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.6,1022.3,False,51.3,323,1.1
0 days 00:01:19.286000,18.0,ALB,23,0 days 00:46:11.532000,10.0,2.0,,,0 days 00:00:22.433000,0 days 00:00:25.219000,0 days 00:00:31.634000,0 days 00:46:10.627000,0 days 00:46:35.846000,0 days 00:47:07.480000,236.0,274.0,273.0,297.0,False,HARD,9.0,True,Toro Rosso,0 days 00:45:48.239000,2019-06-09 18:25:48.317,2,False,,False,True,Canadian Grand Prix,14,62.0,29.1,16.4,1022.2,False,51.2,325,1.2
0 days 00:01:18.538000,18.0,ALB,23,0 days 00:47:11.539000,11.0,2.0,,,0 days 00:00:22.035000,0 days 00:00:24.933000,0 days 00:00:31.570000,0 days 00:47:29.515000,0 days 00:47:54.448000,0 days 00:48:26.018000,243.0,274.0,273.0,294.0,False,HARD,10.0,True,Toro Rosso,0 days 00:47:07.525000,2019-06-09 18:27:07.603,2,False,,False,True,Canadian Grand Prix,14,62.0,29.1,18.3,1022.3,False,51.2,341,0.7
0 days 00:01:18.086000,18.0,ALB,23,0 days 00:49:11.567000,12.0,2.0,,,0 days 00:00:21.682000,0 days 00:00:24.970000,0 days 00:00:31.434000,0 days 00:48:47.700000,0 days 00:49:12.670000,0 days 00:49:44.104000,244.0,274.0,272.0,297.0,True,HARD,11.0,True,Toro Rosso,0 days 00:48:26.063000,2019-06-09 18:28:26.141,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.5,1022.3,False,51.3,30,0.7
0 days 00:01:18.648000,18.0,ALB,23,0 days 00:50:11.580000,13.0,2.0,,,0 days 00:00:21.812000,0 days 00:00:25.160000,0 days 00:00:31.676000,0 days 00:50:05.916000,0 days 00:50:31.076000,0 days 00:51:02.752000,242.0,274.0,273.0,296.0,False,HARD,12.0,True,Toro Rosso,0 days 00:49:44.149000,2019-06-09 18:29:44.227,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.5,1022.2,False,51.1,336,0.8
0 days 00:01:19.782000,18.0,ALB,23,0 days 00:51:11.601000,14.0,2.0,,,0 days 00:00:21.583000,0 days 00:00:25.931000,0 days 00:00:32.268000,0 days 00:51:24.335000,0 days 00:51:50.266000,0 days 00:52:22.534000,249.0,225.0,274.0,307.0,False,HARD,13.0,True,Toro Rosso,0 days 00:51:02.797000,2019-06-09 18:31:02.875,1,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.1,1022.2,False,51.2,343,1.3
