LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:24.280000,4.0,RIC,3,0 days 00:33:11.359000,1.0,1.0,,,,0 days 00:00:25.202000,0 days 00:00:31.099000,,0 days 00:33:58.263000,0 days 00:34:28.673000,236.0,282.0,276.0,305.0,False,SOFT,4.0,False,Renault,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,False,,False,False,Canadian Grand Prix,14,62.0,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:01:18.803000,4.0,RIC,3,0 days 00:35:11.712000,2.0,1.0,,,0 days 00:00:22.283000,0 days 00:00:25.086000,0 days 00:00:31.434000,0 days 00:34:50.812000,0 days 00:35:15.898000,0 days 00:35:47.332000,242.0,279.0,278.0,307.0,True,SOFT,5.0,False,Renault,0 days 00:34:28.529000,2019-06-09 18:14:28.607,2,False,,False,True,Canadian Grand Prix,14,62.0,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:01:17.963000,4.0,RIC,3,0 days 00:36:11.657000,3.0,1.0,,,0 days 00:00:21.703000,0 days 00:00:24.959000,0 days 00:00:31.301000,0 days 00:36:09.035000,0 days 00:36:33.994000,0 days 00:37:05.295000,243.0,278.0,279.0,303.0,True,SOFT,6.0,False,Renault,0 days 00:35:47.332000,2019-06-09 18:15:47.410,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:01:17.488000,4.0,RIC,3,0 days 00:37:11.944000,4.0,1.0,,,0 days 00:00:21.512000,0 days 00:00:24.738000,0 days 00:00:31.238000,0 days 00:37:26.807000,0 days 00:37:51.545000,0 days 00:38:22.783000,245.0,277.0,274.0,302.0,True,SOFT,7.0,False,Renault,0 days 00:37:05.295000,2019-06-09 18:17:05.373,1,False,,False,True,Canadian Grand Prix,14,62.0,28.5,16.8,1022.3,False,52.6,171,2.1
0 days 00:01:18.166000,4.0,RIC,3,0 days 00:39:12.152000,5.0,1.0,,,0 days 00:00:21.778000,0 days 00:00:25.151000,0 days 00:00:31.237000,0 days 00:38:44.561000,0 days 00:39:09.712000,0 days 00:39:40.949000,240.0,273.0,276.0,,False,SOFT,8.0,False,Renault,0 days 00:38:22.783000,2019-06-09 18:18:22.861,1,False,,False,True,Canadian Grand Prix,14,62.0,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:01:17.905000,4.0,RIC,3,0 days 00:40:11.987000,6.0,1.0,,,0 days 00:00:21.669000,0 days 00:00:25.004000,0 days 00:00:31.232000,0 days 00:40:02.618000,0 days 00:40:27.622000,0 days 00:40:58.854000,243.0,275.0,274.0,300.0,False,SOFT,9.0,False,Renault,0 days 00:39:40.949000,2019-06-09 18:19:41.027,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:01:17.966000,4.0,RIC,3,0 days 00:41:11.535000,7.0,1.0,,,0 days 00:00:21.668000,0 days 00:00:25.052000,0 days 00:00:31.246000,0 days 00:41:20.522000,0 days 00:41:45.574000,0 days 00:42:16.820000,240.0,273.0,278.0,296.0,False,SOFT,10.0,False,Renault,0 days 00:40:58.854000,2019-06-09 18:20:58.932,1,False,,False,True,Canadian Grand Prix,14,62.0,29.0,18.1,1022.2,False,51.8,228,0.7
0 days 00:01:33.910000,11.0,RIC,3,0 days 00:43:11.488000,8.0,1.0,,0 days 00:43:28.699000,0 days 00:00:21.502000,0 days 00:00:24.907000,0 days 00:00:47.501000,0 days 00:42:38.322000,0 days 00:43:03.229000,0 days 00:43:50.730000,245.0,275.0,,299.0,False,SOFT,11.0,False,Renault,0 days 00:42:16.820000,2019-06-09 18:22:16.898,1,False,,False,False,Canadian Grand Prix,14,62.0,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:01:20.147000,11.0,RIC,3,0 days 00:44:11.500000,9.0,2.0,0 days 00:43:52.778000,,0 days 00:00:23.963000,0 days 00:00:25.076000,0 days 00:00:31.108000,0 days 00:44:14.693000,0 days 00:44:39.769000,0 days 00:45:10.877000,246.0,276.0,280.0,324.0,False,HARD,1.0,True,Renault,0 days 00:43:50.730000,2019-06-09 18:23:50.808,2,False,,False,False,Canadian Grand Prix,14,62.0,29.2,17.4,1022.3,False,51.4,130,1.4
0 days 00:01:18.235000,10.0,RIC,3,0 days 00:45:11.686000,10.0,2.0,,,0 days 00:00:22.213000,0 days 00:00:25.223000,0 days 00:00:30.799000,0 days 00:45:33.090000,0 days 00:45:58.313000,0 days 00:46:29.112000,243.0,281.0,286.0,329.0,False,HARD,2.0,True,Renault,0 days 00:45:10.877000,2019-06-09 18:25:10.955,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.6,1022.3,False,51.3,323,1.1
0 days 00:01:18.258000,9.0,RIC,3,0 days 00:47:11.539000,11.0,2.0,,,0 days 00:00:22.315000,0 days 00:00:24.977000,0 days 00:00:30.966000,0 days 00:46:51.427000,0 days 00:47:16.404000,0 days 00:47:47.370000,238.0,278.0,287.0,333.0,False,HARD,3.0,True,Renault,0 days 00:46:29.112000,2019-06-09 18:26:29.190,2,False,,False,True,Canadian Grand Prix,14,62.0,29.1,18.3,1022.3,False,51.2,341,0.7
0 days 00:01:17.697000,7.0,RIC,3,0 days 00:48:12.022000,12.0,2.0,,,0 days 00:00:21.763000,0 days 00:00:24.903000,0 days 00:00:31.031000,0 days 00:48:09.133000,0 days 00:48:34.036000,0 days 00:49:05.067000,246.0,279.0,285.0,330.0,False,HARD,4.0,True,Renault,0 days 00:47:47.370000,2019-06-09 18:27:47.448,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.3,1022.1,False,51.3,260,1.1
0 days 00:01:17.759000,7.0,RIC,3,0 days 00:49:11.567000,13.0,2.0,,,0 days 00:00:22.132000,0 days 00:00:24.567000,0 days 00:00:31.060000,0 days 00:49:27.199000,0 days 00:49:51.766000,0 days 00:50:22.826000,249.0,276.0,276.0,297.0,False,HARD,5.0,True,Renault,0 days 00:49:05.067000,2019-06-09 18:29:05.145,2,False,,False,True,Canadian Grand Prix,14,62.0,29.2,16.5,1022.3,False,51.3,30,0.7
0 days 00:01:16.842000,7.0,RIC,3,0 days 00:51:11.601000,14.0,2.0,,,0 days 00:00:21.327000,0 days 00:00:24.527000,0 days 00:00:30.988000,0 days 00:50:44.153000,0 days 00:51:08.680000,0 days 00:51:39.668000,247.0,275.0,275.0,296.0,True,HARD,6.0,True,Renault,0 days 00:50:22.826000,2019-06-09 18:30:22.904,1,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.1,1022.2,False,51.2,343,1.3
0 days 00:01:17.200000,7.0,RIC,3,0 days 00:52:11.608000,15.0,2.0,,,0 days 00:00:21.532000,0 days 00:00:24.702000,0 days 00:00:30.966000,0 days 00:52:01.200000,0 days 00:52:25.902000,0 days 00:52:56.868000,244.0,274.0,277.0,296.0,False,HARD,7.0,True,Renault,0 days 00:51:39.668000,2019-06-09 18:31:39.746,1,False,,False,True,Canadian Grand Prix,14,62.0,29.2,17.5,1022.2,False,51.2,338,1.6
0 days 00:01:16.976000,6.0,RIC,3,0 days 00:53:11.828000,16.0,2.0,,,0 days 00:00:21.391000,0 days 00:00:24.562000,0 days 00:00:31.023000,0 days 00:53:18.259000,0 days 00:53:42.821000,0 days 00:54:13.844000,243.0,277.0,275.0,299.0,False,HARD,8.0,True,Renault,0 days 00:52:56.868000,2019-06-09 18:32:56.946,1,False,,False,True,Canadian Grand Prix,14,62.0,29.4,16.5,1022.2,False,51.2,269,1.0
