LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:59.160000,9.0,HUL,27,0 days 00:33:36.572000,1.0,1.0,,,,0 days 00:00:31.707000,0 days 00:00:57.176000,,0 days 00:34:29.748000,0 days 00:35:26.618000,272.0,269.0,169.0,265.0,False,SOFT,4.0,False,Renault,0 days 00:33:27.137000,2019-04-14 06:13:29.012,26,False,,False,False,Chinese Grand Prix,16,203.0,19.6,44.7,1019.2,False,28.8,130,3.0
0 days 00:01:46.640000,9.0,HUL,27,0 days 00:35:36.746000,2.0,1.0,,,0 days 00:00:31.861000,0 days 00:00:30.421000,0 days 00:00:44.358000,0 days 00:35:58.415000,0 days 00:36:28.836000,0 days 00:37:13.194000,245.0,257.0,254.0,317.0,True,SOFT,5.0,False,Renault,0 days 00:35:26.535000,2019-04-14 06:15:28.410,67,False,,False,False,Chinese Grand Prix,16,203.0,19.4,45.1,1019.1,False,28.9,79,2.6
0 days 00:01:40.935000,9.0,HUL,27,0 days 00:37:37.047000,3.0,1.0,,,0 days 00:00:26.707000,0 days 00:00:30.350000,0 days 00:00:43.878000,0 days 00:37:39.901000,0 days 00:38:10.251000,0 days 00:38:54.129000,269.0,262.0,257.0,323.0,True,SOFT,6.0,False,Renault,0 days 00:37:13.175000,2019-04-14 06:17:15.050,1,False,,False,True,Chinese Grand Prix,16,203.0,19.8,43.4,1019.1,False,28.9,84,3.2
0 days 00:01:41.168000,9.0,HUL,27,0 days 00:39:36.606000,4.0,1.0,,,0 days 00:00:26.709000,0 days 00:00:30.565000,0 days 00:00:43.894000,0 days 00:39:20.838000,0 days 00:39:51.403000,0 days 00:40:35.297000,266.0,259.0,251.0,302.0,False,SOFT,7.0,False,Renault,0 days 00:38:54.110000,2019-04-14 06:18:55.985,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.8,1019.1,False,28.3,89,3.3
0 days 00:01:40.624000,9.0,HUL,27,0 days 00:40:36.821000,5.0,1.0,,,0 days 00:00:26.687000,0 days 00:00:30.263000,0 days 00:00:43.674000,0 days 00:41:01.984000,0 days 00:41:32.247000,0 days 00:42:15.921000,264.0,259.0,253.0,300.0,True,SOFT,8.0,False,Renault,0 days 00:40:35.278000,2019-04-14 06:20:37.153,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.9,1019.1,False,28.3,88,3.9
0 days 00:01:40.282000,9.0,HUL,27,0 days 00:42:36.649000,6.0,1.0,,,0 days 00:00:26.587000,0 days 00:00:30.001000,0 days 00:00:43.694000,0 days 00:42:42.508000,0 days 00:43:12.509000,0 days 00:43:56.203000,265.0,260.0,255.0,301.0,True,SOFT,9.0,False,Renault,0 days 00:42:15.902000,2019-04-14 06:22:17.777,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,43.5,1019.1,False,28.1,68,3.4
0 days 00:01:40.472000,9.0,HUL,27,0 days 00:44:36.677000,7.0,1.0,,,0 days 00:00:26.712000,0 days 00:00:30.097000,0 days 00:00:43.663000,0 days 00:44:22.915000,0 days 00:44:53.012000,0 days 00:45:36.675000,264.0,261.0,254.0,302.0,False,SOFT,10.0,False,Renault,0 days 00:43:56.184000,2019-04-14 06:23:58.059,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,43.4,1019.1,False,28.1,77,4.6
0 days 00:01:40.416000,9.0,HUL,27,0 days 00:45:36.698000,8.0,1.0,,,0 days 00:00:26.573000,0 days 00:00:30.158000,0 days 00:00:43.685000,0 days 00:46:03.248000,0 days 00:46:33.406000,0 days 00:47:17.091000,266.0,260.0,254.0,302.0,False,SOFT,11.0,False,Renault,0 days 00:45:36.656000,2019-04-14 06:25:38.531,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,44.0,1019.2,False,28.1,97,2.7
0 days 00:01:40.399000,9.0,HUL,27,0 days 00:47:36.721000,9.0,1.0,,,0 days 00:00:26.664000,0 days 00:00:30.103000,0 days 00:00:43.632000,0 days 00:47:43.755000,0 days 00:48:13.858000,0 days 00:48:57.490000,265.0,261.0,254.0,303.0,False,SOFT,12.0,False,Renault,0 days 00:47:17.072000,2019-04-14 06:27:18.947,1,False,,False,True,Chinese Grand Prix,16,203.0,19.5,44.7,1019.2,False,27.9,108,3.2
0 days 00:01:41.287000,10.0,HUL,27,0 days 00:49:36.746000,10.0,1.0,,,0 days 00:00:26.714000,0 days 00:00:30.179000,0 days 00:00:44.394000,0 days 00:49:24.204000,0 days 00:49:54.383000,0 days 00:50:38.777000,262.0,259.0,259.0,299.0,False,SOFT,13.0,False,Renault,0 days 00:48:57.471000,2019-04-14 06:28:59.346,1,False,,False,True,Chinese Grand Prix,16,203.0,19.6,45.1,1019.2,False,27.9,90,3.6
