LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:52.736000,14.0,MAG,20,0 days 00:34:18.846000,1.0,1.0,,,,0 days 00:00:32.383000,0 days 00:00:44.292000,,0 days 00:34:33.807000,0 days 00:35:18.176000,95.0,273.0,283.0,297.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,False,,False,False,French Grand Prix,15,0.0,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:01:39.948000,14.0,MAG,20,0 days 00:35:18.854000,2.0,1.0,,,0 days 00:00:25.629000,0 days 00:00:30.530000,0 days 00:00:43.789000,0 days 00:35:43.590000,0 days 00:36:14.120000,0 days 00:36:57.909000,110.0,272.0,285.0,303.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:17.944000,2019-06-23 13:15:18.150,1,False,,False,True,French Grand Prix,15,0.0,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:01:39.122000,14.0,MAG,20,0 days 00:37:18.879000,3.0,1.0,,,0 days 00:00:25.457000,0 days 00:00:30.061000,0 days 00:00:43.604000,0 days 00:37:23.366000,0 days 00:37:53.427000,0 days 00:38:37.031000,109.0,274.0,298.0,333.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:36:57.892000,2019-06-23 13:16:58.098,1,False,,False,True,French Grand Prix,15,0.0,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:01:38.850000,14.0,MAG,20,0 days 00:39:18.904000,4.0,1.0,,,0 days 00:00:25.183000,0 days 00:00:29.958000,0 days 00:00:43.709000,0 days 00:39:02.214000,0 days 00:39:32.172000,0 days 00:40:15.881000,,274.0,296.0,316.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:38:37.014000,2019-06-23 13:18:37.220,1,False,,False,True,French Grand Prix,15,0.0,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:01:38.876000,14.0,MAG,20,0 days 00:40:18.915000,5.0,1.0,,,0 days 00:00:25.170000,0 days 00:00:29.887000,0 days 00:00:43.819000,0 days 00:40:41.051000,0 days 00:41:10.938000,0 days 00:41:54.757000,,274.0,297.0,331.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:40:15.864000,2019-06-23 13:20:16.070,1,False,,False,True,French Grand Prix,15,0.0,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:01:38.865000,14.0,MAG,20,0 days 00:42:18.979000,6.0,1.0,,,0 days 00:00:25.247000,0 days 00:00:29.840000,0 days 00:00:43.778000,0 days 00:42:20.004000,0 days 00:42:49.844000,0 days 00:43:33.622000,107.0,274.0,296.0,328.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:41:54.740000,2019-06-23 13:21:54.946,1,False,,False,True,French Grand Prix,15,0.0,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:01:39.061000,13.0,MAG,20,0 days 00:44:18.962000,7.0,1.0,,,0 days 00:00:25.365000,0 days 00:00:29.828000,0 days 00:00:43.868000,0 days 00:43:58.987000,0 days 00:44:28.815000,0 days 00:45:12.683000,111.0,276.0,295.0,328.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:43:33.605000,2019-06-23 13:23:33.811,1,False,,False,True,French Grand Prix,15,0.0,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:01:38.630000,13.0,MAG,20,0 days 00:45:18.972000,8.0,1.0,,,0 days 00:00:25.119000,0 days 00:00:29.997000,0 days 00:00:43.514000,0 days 00:45:37.802000,0 days 00:46:07.799000,0 days 00:46:51.313000,112.0,273.0,293.0,311.0,True,MEDIUM,8.0,True,Haas F1 Team,0 days 00:45:12.666000,2019-06-23 13:25:12.872,1,False,,False,True,French Grand Prix,15,0.0,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:01:38.544000,13.0,MAG,20,0 days 00:47:18.996000,9.0,1.0,,,0 days 00:00:25.219000,0 days 00:00:29.967000,0 days 00:00:43.358000,0 days 00:47:16.532000,0 days 00:47:46.499000,0 days 00:48:29.857000,113.0,273.0,285.0,311.0,True,MEDIUM,9.0,True,Haas F1 Team,0 days 00:46:51.296000,2019-06-23 13:26:51.502,1,False,,False,True,French Grand Prix,15,0.0,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:01:38.653000,13.0,MAG,20,0 days 00:49:19.020000,10.0,1.0,,,0 days 00:00:25.136000,0 days 00:00:30.086000,0 days 00:00:43.431000,0 days 00:48:54.993000,0 days 00:49:25.079000,0 days 00:50:08.510000,109.0,271.0,283.0,306.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:48:29.840000,2019-06-23 13:28:30.046,1,False,,False,True,French Grand Prix,15,0.0,27.7,37.9,966.7,False,55.4,132,1.8
