LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.938000,6.0,NOR,4,0 days 00:34:18.846000,1.0,1.0,,,,0 days 00:00:30.247000,0 days 00:00:44.284000,,0 days 00:34:29.114000,0 days 00:35:13.358000,103.0,280.0,287.0,308.0,False,MEDIUM,6.0,False,McLaren,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,False,,False,False,French Grand Prix,15,0.0,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:01:39.175000,6.0,NOR,4,0 days 00:35:18.854000,2.0,1.0,,,0 days 00:00:25.321000,0 days 00:00:30.363000,0 days 00:00:43.491000,0 days 00:35:38.485000,0 days 00:36:08.848000,0 days 00:36:52.339000,113.0,277.0,286.0,304.0,True,MEDIUM,7.0,False,McLaren,0 days 00:35:13.146000,2019-06-23 13:15:13.352,1,False,,False,True,French Grand Prix,15,0.0,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:01:38.801000,6.0,NOR,4,0 days 00:37:18.879000,3.0,1.0,,,0 days 00:00:25.254000,0 days 00:00:30.043000,0 days 00:00:43.504000,0 days 00:37:17.593000,0 days 00:37:47.636000,0 days 00:38:31.140000,,278.0,286.0,300.0,True,MEDIUM,8.0,False,McLaren,0 days 00:36:52.321000,2019-06-23 13:16:52.527,1,False,,False,True,French Grand Prix,15,0.0,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:01:38.126000,6.0,NOR,4,0 days 00:39:18.904000,4.0,1.0,,,0 days 00:00:25.077000,0 days 00:00:29.899000,0 days 00:00:43.150000,0 days 00:38:56.217000,0 days 00:39:26.116000,0 days 00:40:09.266000,112.0,277.0,286.0,298.0,True,MEDIUM,9.0,False,McLaren,0 days 00:38:31.122000,2019-06-23 13:18:31.328,1,False,,False,True,French Grand Prix,15,0.0,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:01:39.980000,7.0,NOR,4,0 days 00:40:18.915000,5.0,1.0,,,0 days 00:00:25.053000,0 days 00:00:30.490000,0 days 00:00:44.437000,0 days 00:40:34.319000,0 days 00:41:04.809000,0 days 00:41:49.246000,110.0,284.0,285.0,298.0,False,MEDIUM,10.0,False,McLaren,0 days 00:40:09.248000,2019-06-23 13:20:09.454,1,False,,False,True,French Grand Prix,15,0.0,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:01:37.679000,7.0,NOR,4,0 days 00:42:18.979000,6.0,1.0,,,0 days 00:00:24.799000,0 days 00:00:29.948000,0 days 00:00:42.932000,0 days 00:42:14.045000,0 days 00:42:43.993000,0 days 00:43:26.925000,,276.0,287.0,298.0,True,MEDIUM,11.0,False,McLaren,0 days 00:41:49.228000,2019-06-23 13:21:49.434,1,False,,False,True,French Grand Prix,15,0.0,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:01:37.955000,7.0,NOR,4,0 days 00:44:18.962000,7.0,1.0,,,0 days 00:00:24.938000,0 days 00:00:29.974000,0 days 00:00:43.043000,0 days 00:43:51.863000,0 days 00:44:21.837000,0 days 00:45:04.880000,113.0,275.0,286.0,300.0,False,MEDIUM,12.0,False,McLaren,0 days 00:43:26.907000,2019-06-23 13:23:27.113,1,False,,False,True,French Grand Prix,15,0.0,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:01:37.258000,7.0,NOR,4,0 days 00:45:18.972000,8.0,1.0,,,0 days 00:00:24.762000,0 days 00:00:29.776000,0 days 00:00:42.720000,0 days 00:45:29.642000,0 days 00:45:59.418000,0 days 00:46:42.138000,112.0,276.0,287.0,301.0,True,MEDIUM,13.0,False,McLaren,0 days 00:45:04.862000,2019-06-23 13:25:05.068,1,False,,False,True,French Grand Prix,15,0.0,27.3,40.3,966.7,False,56.8,184,1.1
0 days 00:01:37.275000,7.0,NOR,4,0 days 00:47:18.996000,9.0,1.0,,,0 days 00:00:24.779000,0 days 00:00:29.689000,0 days 00:00:42.807000,0 days 00:47:06.917000,0 days 00:47:36.606000,0 days 00:48:19.413000,,278.0,287.0,300.0,False,MEDIUM,14.0,False,McLaren,0 days 00:46:42.120000,2019-06-23 13:26:42.326,1,False,,False,True,French Grand Prix,15,0.0,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:01:37.475000,7.0,NOR,4,0 days 00:49:19.020000,10.0,1.0,,,0 days 00:00:24.776000,0 days 00:00:29.722000,0 days 00:00:42.977000,0 days 00:48:44.189000,0 days 00:49:13.911000,0 days 00:49:56.888000,109.0,278.0,287.0,302.0,False,MEDIUM,15.0,False,McLaren,0 days 00:48:19.395000,2019-06-23 13:28:19.601,1,False,,False,True,French Grand Prix,15,0.0,27.7,37.9,966.7,False,55.4,132,1.8
