LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:53.253000,12.0,GIO,99,0 days 00:40:38.644000,1.0,1.0,,,,0 days 00:00:47.246000,0 days 00:00:33.924000,,0 days 00:41:18.293000,0 days 00:41:52.320000,136.0,219.0,242.0,290.0,False,WET,1.0,True,Alfa Romeo Racing,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,False,,False,False,German Grand Prix,17,0.0,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:01:47.402000,11.0,GIO,99,0 days 00:42:38.676000,2.0,1.0,,,0 days 00:00:23.707000,0 days 00:00:45.830000,0 days 00:00:37.865000,0 days 00:42:15.895000,0 days 00:43:01.725000,0 days 00:43:39.590000,151.0,215.0,152.0,291.0,True,WET,2.0,True,Alfa Romeo Racing,0 days 00:41:52.188000,2019-07-28 13:21:52.350,4,False,,False,False,German Grand Prix,17,0.0,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:02:00.644000,12.0,GIO,99,0 days 00:44:38.697000,3.0,1.0,,0 days 00:45:37.793000,0 days 00:00:26.868000,0 days 00:00:52.073000,0 days 00:00:41.703000,0 days 00:44:06.458000,0 days 00:44:58.531000,0 days 00:45:40.234000,160.0,203.0,,205.0,False,WET,3.0,True,Alfa Romeo Racing,0 days 00:43:39.590000,2019-07-28 13:23:39.752,4,False,,False,False,German Grand Prix,17,0.0,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:02:13.887000,16.0,GIO,99,0 days 00:46:38.725000,4.0,2.0,0 days 00:46:00.293000,,0 days 00:00:41.911000,0 days 00:00:53.393000,0 days 00:00:38.583000,0 days 00:46:22.145000,0 days 00:47:15.538000,0 days 00:47:54.121000,121.0,166.0,242.0,195.0,False,INTERMEDIATE,1.0,True,Alfa Romeo Racing,0 days 00:45:40.234000,2019-07-28 13:25:40.396,4,False,,False,False,German Grand Prix,17,0.0,21.2,88.3,991.4,True,26.1,117,1.0
0 days 00:01:40.767000,16.0,GIO,99,0 days 00:48:38.753000,5.0,2.0,,,0 days 00:00:22.214000,0 days 00:00:45.470000,0 days 00:00:33.083000,0 days 00:48:16.335000,0 days 00:49:01.805000,0 days 00:49:34.888000,165.0,225.0,245.0,308.0,True,INTERMEDIATE,2.0,True,Alfa Romeo Racing,0 days 00:47:54.121000,2019-07-28 13:27:54.283,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:01:36.315000,12.0,GIO,99,0 days 00:49:38.765000,6.0,2.0,,,0 days 00:00:22.045000,0 days 00:00:43.668000,0 days 00:00:30.602000,0 days 00:49:56.933000,0 days 00:50:40.601000,0 days 00:51:11.203000,148.0,228.0,250.0,303.0,True,INTERMEDIATE,3.0,True,Alfa Romeo Racing,0 days 00:49:34.888000,2019-07-28 13:29:35.050,1,False,,False,True,German Grand Prix,17,0.0,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:01:34.333000,11.0,GIO,99,0 days 00:51:38.799000,7.0,2.0,,,0 days 00:00:20.965000,0 days 00:00:42.563000,0 days 00:00:30.805000,0 days 00:51:32.168000,0 days 00:52:14.731000,0 days 00:52:45.536000,174.0,236.0,250.0,304.0,True,INTERMEDIATE,4.0,True,Alfa Romeo Racing,0 days 00:51:11.203000,2019-07-28 13:31:11.365,1,False,,False,True,German Grand Prix,17,0.0,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:01:33.267000,10.0,GIO,99,0 days 00:53:38.825000,8.0,2.0,,,0 days 00:00:20.894000,0 days 00:00:42.274000,0 days 00:00:30.099000,0 days 00:53:06.430000,0 days 00:53:48.704000,0 days 00:54:18.803000,180.0,236.0,252.0,308.0,True,INTERMEDIATE,5.0,True,Alfa Romeo Racing,0 days 00:52:45.536000,2019-07-28 13:32:45.698,1,False,,False,True,German Grand Prix,17,0.0,21.7,87.0,991.4,True,26.2,3,0.6
0 days 00:01:31.897000,10.0,GIO,99,0 days 00:54:38.838000,9.0,2.0,,,0 days 00:00:20.615000,0 days 00:00:42.293000,0 days 00:00:28.989000,0 days 00:54:39.418000,0 days 00:55:21.711000,0 days 00:55:50.700000,187.0,236.0,246.0,306.0,True,INTERMEDIATE,6.0,True,Alfa Romeo Racing,0 days 00:54:18.803000,2019-07-28 13:34:18.965,1,False,,False,True,German Grand Prix,17,0.0,21.5,88.1,991.5,True,26.1,112,0.9
0 days 00:01:32.378000,10.0,GIO,99,0 days 00:56:38.867000,10.0,2.0,,,0 days 00:00:20.952000,0 days 00:00:42.350000,0 days 00:00:29.076000,0 days 00:56:11.652000,0 days 00:56:54.002000,0 days 00:57:23.078000,,235.0,249.0,301.0,False,INTERMEDIATE,7.0,True,Alfa Romeo Racing,0 days 00:55:50.700000,2019-07-28 13:35:50.862,1,False,,False,True,German Grand Prix,17,0.0,21.6,87.5,991.5,True,26.4,2,0.4
