LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:59.108000,20.0,KUB,88,0 days 00:40:38.644000,1.0,1.0,,,,0 days 00:00:49.107000,0 days 00:00:34.727000,,0 days 00:41:23.276000,0 days 00:41:58.180000,141.0,217.0,235.0,223.0,False,WET,1.0,True,Williams,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,False,,False,False,German Grand Prix,17,0.0,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:01:50.396000,19.0,KUB,88,0 days 00:42:38.676000,2.0,1.0,,,0 days 00:00:24.711000,0 days 00:00:46.594000,0 days 00:00:39.091000,0 days 00:42:22.705000,0 days 00:43:09.299000,0 days 00:43:48.390000,152.0,221.0,198.0,292.0,True,WET,2.0,True,Williams,0 days 00:41:57.994000,2019-07-28 13:21:58.156,4,False,,False,False,German Grand Prix,17,0.0,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:01:57.196000,17.0,KUB,88,0 days 00:44:38.697000,3.0,1.0,,,0 days 00:00:27.722000,0 days 00:00:53.248000,0 days 00:00:36.226000,0 days 00:44:16.112000,0 days 00:45:09.360000,0 days 00:45:45.586000,139.0,198.0,234.0,194.0,False,WET,3.0,True,Williams,0 days 00:43:48.390000,2019-07-28 13:23:48.552,4,False,,False,False,German Grand Prix,17,0.0,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:02:04.527000,10.0,KUB,88,0 days 00:46:38.725000,4.0,1.0,,,0 days 00:00:26.541000,0 days 00:00:56.560000,0 days 00:00:41.426000,0 days 00:46:12.127000,0 days 00:47:08.687000,0 days 00:47:50.113000,124.0,136.0,238.0,135.0,False,WET,4.0,True,Williams,0 days 00:45:45.586000,2019-07-28 13:25:45.748,4,False,,False,False,German Grand Prix,17,0.0,21.2,88.3,991.4,True,26.1,117,1.0
0 days 00:01:44.138000,14.0,KUB,88,0 days 00:48:38.753000,5.0,1.0,,,0 days 00:00:23.814000,0 days 00:00:47.249000,0 days 00:00:33.075000,0 days 00:48:13.927000,0 days 00:49:01.176000,0 days 00:49:34.251000,151.0,221.0,242.0,294.0,True,WET,5.0,True,Williams,0 days 00:47:50.113000,2019-07-28 13:27:50.275,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:01:42.037000,17.0,KUB,88,0 days 00:49:38.765000,6.0,1.0,,,0 days 00:00:22.977000,0 days 00:00:46.207000,0 days 00:00:32.853000,0 days 00:49:57.228000,0 days 00:50:43.435000,0 days 00:51:16.288000,152.0,220.0,241.0,295.0,True,WET,6.0,True,Williams,0 days 00:49:34.251000,2019-07-28 13:29:34.413,1,False,,False,True,German Grand Prix,17,0.0,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:01:46.750000,19.0,KUB,88,0 days 00:51:38.799000,7.0,1.0,,0 days 00:53:00.553000,0 days 00:00:24.114000,0 days 00:00:45.865000,0 days 00:00:36.771000,0 days 00:51:40.402000,0 days 00:52:26.267000,0 days 00:53:03.038000,157.0,223.0,,291.0,False,WET,7.0,True,Williams,0 days 00:51:16.288000,2019-07-28 13:31:16.450,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:01:52.137000,19.0,KUB,88,0 days 00:53:38.825000,8.0,2.0,0 days 00:53:24.340000,,0 days 00:00:39.749000,0 days 00:00:43.290000,0 days 00:00:29.098000,0 days 00:53:42.787000,0 days 00:54:26.077000,0 days 00:54:55.175000,161.0,229.0,248.0,299.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:53:03.038000,2019-07-28 13:33:03.200,1,False,,False,False,German Grand Prix,17,0.0,21.7,87.0,991.4,True,26.2,3,0.6
0 days 00:01:32.789000,19.0,KUB,88,0 days 00:55:38.852000,9.0,2.0,,,0 days 00:00:21.057000,0 days 00:00:42.806000,0 days 00:00:28.926000,0 days 00:55:16.232000,0 days 00:55:59.038000,0 days 00:56:27.964000,178.0,232.0,248.0,286.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:54:55.175000,2019-07-28 13:34:55.337,1,False,,False,True,German Grand Prix,17,0.0,21.6,88.3,991.5,True,26.3,0,0.4
0 days 00:01:32.763000,19.0,KUB,88,0 days 00:56:38.867000,10.0,2.0,,,0 days 00:00:21.064000,0 days 00:00:42.717000,0 days 00:00:28.982000,0 days 00:56:49.028000,0 days 00:57:31.745000,0 days 00:58:00.727000,175.0,233.0,248.0,296.0,True,INTERMEDIATE,3.0,True,Williams,0 days 00:56:27.964000,2019-07-28 13:36:28.126,1,False,,False,True,German Grand Prix,17,0.0,21.6,87.5,991.5,True,26.4,2,0.4
