LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.522000,19.0,RIC,3,0 days 00:33:31.669000,1.0,1.0,,,,0 days 00:00:34.794000,0 days 00:00:25.099000,,0 days 00:34:02.831000,0 days 00:34:28.142000,212.0,231.0,249.0,280.0,False,HARD,1.0,False,Renault,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,False,,False,False,Hungarian Grand Prix,16,40.0,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:01:27.406000,19.0,RIC,3,0 days 00:34:31.696000,2.0,1.0,,,0 days 00:00:30.970000,0 days 00:00:32.070000,0 days 00:00:24.366000,0 days 00:34:58.819000,0 days 00:35:30.889000,0 days 00:35:55.255000,277.0,233.0,248.0,295.0,True,HARD,2.0,False,Renault,0 days 00:34:27.822000,2019-08-04 13:14:27.851,2,False,,False,True,Hungarian Grand Prix,16,40.0,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:01:26.084000,19.0,RIC,3,0 days 00:36:31.885000,3.0,1.0,,,0 days 00:00:30.517000,0 days 00:00:31.462000,0 days 00:00:24.105000,0 days 00:36:25.772000,0 days 00:36:57.234000,0 days 00:37:21.339000,280.0,233.0,252.0,294.0,True,HARD,3.0,False,Renault,0 days 00:35:55.228000,2019-08-04 13:15:55.257,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:01:25.216000,19.0,RIC,3,0 days 00:37:32.041000,4.0,1.0,,,0 days 00:00:30.055000,0 days 00:00:31.412000,0 days 00:00:23.749000,0 days 00:37:51.394000,0 days 00:38:22.806000,0 days 00:38:46.555000,275.0,233.0,255.0,309.0,True,HARD,4.0,False,Renault,0 days 00:37:21.312000,2019-08-04 13:17:21.341,1,False,,False,True,Hungarian Grand Prix,16,40.0,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:01:24.918000,19.0,RIC,3,0 days 00:39:31.784000,5.0,1.0,,,0 days 00:00:29.986000,0 days 00:00:31.067000,0 days 00:00:23.865000,0 days 00:39:16.541000,0 days 00:39:47.608000,0 days 00:40:11.473000,276.0,232.0,254.0,313.0,True,HARD,5.0,False,Renault,0 days 00:38:46.528000,2019-08-04 13:18:46.557,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:01:24.832000,18.0,RIC,3,0 days 00:40:31.812000,6.0,1.0,,,0 days 00:00:29.841000,0 days 00:00:31.195000,0 days 00:00:23.796000,0 days 00:40:41.314000,0 days 00:41:12.509000,0 days 00:41:36.305000,280.0,234.0,255.0,310.0,True,HARD,6.0,False,Renault,0 days 00:40:11.446000,2019-08-04 13:20:11.475,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:01:25.081000,18.0,RIC,3,0 days 00:42:31.847000,7.0,1.0,,,0 days 00:00:30.008000,0 days 00:00:31.146000,0 days 00:00:23.927000,0 days 00:42:06.313000,0 days 00:42:37.459000,0 days 00:43:01.386000,277.0,233.0,254.0,,False,HARD,7.0,False,Renault,0 days 00:41:36.278000,2019-08-04 13:21:36.307,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.3,36.2,986.6,False,40.3,275,1.2
0 days 00:01:24.319000,17.0,RIC,3,0 days 00:43:31.805000,8.0,1.0,,,0 days 00:00:29.718000,0 days 00:00:30.756000,0 days 00:00:23.845000,0 days 00:43:31.104000,0 days 00:44:01.860000,0 days 00:44:25.705000,278.0,235.0,253.0,313.0,True,HARD,8.0,False,Renault,0 days 00:43:01.359000,2019-08-04 13:23:01.388,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:01:24.970000,17.0,RIC,3,0 days 00:44:31.818000,9.0,1.0,,,0 days 00:00:30.243000,0 days 00:00:30.893000,0 days 00:00:23.834000,0 days 00:44:55.948000,0 days 00:45:26.841000,0 days 00:45:50.675000,274.0,231.0,254.0,308.0,False,HARD,9.0,False,Renault,0 days 00:44:25.678000,2019-08-04 13:24:25.707,1,False,,False,True,Hungarian Grand Prix,16,40.0,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:01:24.282000,16.0,RIC,3,0 days 00:46:31.846000,10.0,1.0,,,0 days 00:00:30.042000,0 days 00:00:30.483000,0 days 00:00:23.757000,0 days 00:46:20.717000,0 days 00:46:51.200000,0 days 00:47:14.957000,277.0,234.0,248.0,309.0,True,HARD,10.0,False,Renault,0 days 00:45:50.648000,2019-08-04 13:25:50.677,1,False,,False,True,Hungarian Grand Prix,16,40.0,24.9,37.5,986.6,False,38.9,0,0.4
