LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.548000,12.0,GIO,99,0 days 00:33:35.545000,1.0,1.0,,,,0 days 00:00:44.289000,0 days 00:00:18.737000,,0 days 00:34:58.858000,0 days 00:35:17.384000,270.0,308.0,258.0,308.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,False,,False,False,Japanese Grand Prix,18,49.0,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:01:37.631000,12.0,GIO,99,0 days 00:35:35.562000,2.0,1.0,,,0 days 00:00:35.240000,0 days 00:00:43.808000,0 days 00:00:18.583000,0 days 00:35:52.406000,0 days 00:36:36.214000,0 days 00:36:54.797000,267.0,303.0,258.0,301.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:17.170000,2019-10-13 05:15:17.493,1,False,,False,True,Japanese Grand Prix,18,49.0,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:01:37.357000,12.0,GIO,99,0 days 00:37:35.684000,3.0,1.0,,,0 days 00:00:35.192000,0 days 00:00:43.489000,0 days 00:00:18.676000,0 days 00:37:29.989000,0 days 00:38:13.478000,0 days 00:38:32.154000,269.0,303.0,259.0,302.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:54.801000,2019-10-13 05:16:55.124,1,False,,False,True,Japanese Grand Prix,18,49.0,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:01:37.012000,11.0,GIO,99,0 days 00:38:36.124000,4.0,1.0,,,0 days 00:00:34.792000,0 days 00:00:43.485000,0 days 00:00:18.735000,0 days 00:39:06.946000,0 days 00:39:50.431000,0 days 00:40:09.166000,268.0,305.0,254.0,303.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:38:32.158000,2019-10-13 05:18:32.481,2,False,,False,True,Japanese Grand Prix,18,49.0,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:01:37.188000,10.0,GIO,99,0 days 00:40:35.568000,5.0,1.0,,,0 days 00:00:35.036000,0 days 00:00:43.472000,0 days 00:00:18.680000,0 days 00:40:44.202000,0 days 00:41:27.674000,0 days 00:41:46.354000,265.0,305.0,253.0,303.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:40:09.170000,2019-10-13 05:20:09.493,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:01:37.152000,10.0,GIO,99,0 days 00:42:35.576000,6.0,1.0,,,0 days 00:00:34.921000,0 days 00:00:43.498000,0 days 00:00:18.733000,0 days 00:42:21.275000,0 days 00:43:04.773000,0 days 00:43:23.506000,,302.0,257.0,304.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:41:46.358000,2019-10-13 05:21:46.681,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:01:38.427000,11.0,GIO,99,0 days 00:43:35.607000,7.0,1.0,,,0 days 00:00:35.773000,0 days 00:00:43.840000,0 days 00:00:18.814000,0 days 00:43:59.279000,0 days 00:44:43.119000,0 days 00:45:01.933000,264.0,301.0,256.0,296.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:43:23.510000,2019-10-13 05:23:23.833,1,False,,False,True,Japanese Grand Prix,18,49.0,21.3,58.0,1008.7,False,32.6,285,7.2
0 days 00:01:37.115000,11.0,GIO,99,0 days 00:45:35.591000,8.0,1.0,,,0 days 00:00:34.741000,0 days 00:00:43.680000,0 days 00:00:18.694000,0 days 00:45:36.674000,0 days 00:46:20.354000,0 days 00:46:39.048000,266.0,300.0,257.0,297.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:45:01.937000,2019-10-13 05:25:02.260,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:01:36.853000,11.0,GIO,99,0 days 00:47:35.591000,9.0,1.0,,,0 days 00:00:34.822000,0 days 00:00:43.389000,0 days 00:00:18.642000,0 days 00:47:13.870000,0 days 00:47:57.259000,0 days 00:48:15.901000,269.0,301.0,256.0,304.0,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:46:39.052000,2019-10-13 05:26:39.375,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.8,1008.8,False,32.1,287,6.3
0 days 00:01:37.085000,11.0,GIO,99,0 days 00:48:35.592000,10.0,1.0,,,0 days 00:00:34.731000,0 days 00:00:43.610000,0 days 00:00:18.744000,0 days 00:48:50.632000,0 days 00:49:34.242000,0 days 00:49:52.986000,266.0,298.0,256.0,299.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:48:15.905000,2019-10-13 05:28:16.228,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.8,False,31.8,297,7.1
