LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:40.013000,6.0,NOR,4,0 days 00:33:35.545000,1.0,1.0,,,,0 days 00:00:43.249000,0 days 00:00:18.456000,,0 days 00:34:55.490000,0 days 00:35:13.762000,267.0,306.0,259.0,297.0,False,SOFT,4.0,False,McLaren,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,False,,False,False,Japanese Grand Prix,18,49.0,21.8,57.8,1009.0,False,34.6,287,6.5
0 days 00:01:36.708000,6.0,NOR,4,0 days 00:35:35.562000,2.0,1.0,,,0 days 00:00:34.961000,0 days 00:00:43.098000,0 days 00:00:18.649000,0 days 00:35:48.616000,0 days 00:36:31.714000,0 days 00:36:50.363000,262.0,304.0,258.0,293.0,True,SOFT,5.0,False,McLaren,0 days 00:35:13.635000,2019-10-13 05:15:13.958,1,False,,False,True,Japanese Grand Prix,18,49.0,21.7,57.8,1008.9,False,34.3,289,5.6
0 days 00:01:36.235000,6.0,NOR,4,0 days 00:37:35.684000,3.0,1.0,,,0 days 00:00:34.592000,0 days 00:00:43.001000,0 days 00:00:18.642000,0 days 00:37:24.955000,0 days 00:38:07.956000,0 days 00:38:26.598000,263.0,304.0,260.0,292.0,True,SOFT,6.0,False,McLaren,0 days 00:36:50.343000,2019-10-13 05:16:50.666,1,False,,False,True,Japanese Grand Prix,18,49.0,21.9,57.6,1008.7,False,33.7,285,5.5
0 days 00:01:39.822000,8.0,NOR,4,0 days 00:38:36.124000,4.0,1.0,,0 days 00:40:05.112000,0 days 00:00:34.420000,0 days 00:00:42.926000,0 days 00:00:22.476000,0 days 00:39:01.018000,0 days 00:39:43.944000,0 days 00:40:06.420000,,303.0,,294.0,False,SOFT,7.0,False,McLaren,0 days 00:38:26.578000,2019-10-13 05:18:26.901,2,False,,False,False,Japanese Grand Prix,18,49.0,21.6,57.2,1008.7,False,33.3,283,6.8
0 days 00:01:56.571000,20.0,NOR,4,0 days 00:40:35.568000,5.0,2.0,0 days 00:40:30.554000,,0 days 00:00:56.132000,0 days 00:00:42.133000,0 days 00:00:18.306000,0 days 00:41:02.552000,0 days 00:41:44.685000,0 days 00:42:02.991000,263.0,301.0,260.0,293.0,False,MEDIUM,1.0,True,McLaren,0 days 00:40:06.400000,2019-10-13 05:20:06.723,1,False,,False,False,Japanese Grand Prix,18,49.0,21.5,57.4,1008.7,False,33.2,286,7.9
0 days 00:01:35.655000,20.0,NOR,4,0 days 00:42:35.576000,6.0,2.0,,,0 days 00:00:33.682000,0 days 00:00:42.930000,0 days 00:00:19.043000,0 days 00:42:36.673000,0 days 00:43:19.603000,0 days 00:43:38.646000,267.0,310.0,259.0,289.0,True,MEDIUM,2.0,True,McLaren,0 days 00:42:02.971000,2019-10-13 05:22:03.294,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.9,1008.7,False,32.8,285,5.3
0 days 00:01:34.748000,19.0,NOR,4,0 days 00:44:35.578000,7.0,2.0,,,0 days 00:00:33.570000,0 days 00:00:42.637000,0 days 00:00:18.541000,0 days 00:44:12.216000,0 days 00:44:54.853000,0 days 00:45:13.394000,265.0,304.0,257.0,298.0,True,MEDIUM,3.0,True,McLaren,0 days 00:43:38.626000,2019-10-13 05:23:38.949,1,False,,False,True,Japanese Grand Prix,18,49.0,21.2,58.8,1008.8,False,32.3,284,5.7
0 days 00:01:35.780000,19.0,NOR,4,0 days 00:45:35.591000,8.0,2.0,,,0 days 00:00:34.058000,0 days 00:00:43.014000,0 days 00:00:18.708000,0 days 00:45:47.452000,0 days 00:46:30.466000,0 days 00:46:49.174000,266.0,305.0,259.0,296.0,False,MEDIUM,4.0,True,McLaren,0 days 00:45:13.374000,2019-10-13 05:25:13.697,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,58.4,1008.8,False,32.3,287,4.9
0 days 00:01:37.543000,19.0,NOR,4,0 days 00:47:35.591000,9.0,2.0,,,0 days 00:00:34.841000,0 days 00:00:43.629000,0 days 00:00:19.073000,0 days 00:47:24.015000,0 days 00:48:07.644000,0 days 00:48:26.717000,268.0,309.0,263.0,296.0,False,MEDIUM,5.0,True,McLaren,0 days 00:46:49.154000,2019-10-13 05:26:49.477,1,False,,False,True,Japanese Grand Prix,18,49.0,21.5,57.8,1008.8,False,32.1,287,6.3
0 days 00:01:35.801000,18.0,NOR,4,0 days 00:48:35.592000,10.0,2.0,,,0 days 00:00:33.895000,0 days 00:00:43.292000,0 days 00:00:18.614000,0 days 00:49:00.612000,0 days 00:49:43.904000,0 days 00:50:02.518000,262.0,301.0,259.0,293.0,False,MEDIUM,6.0,True,McLaren,0 days 00:48:26.697000,2019-10-13 05:28:27.020,1,False,,False,True,Japanese Grand Prix,18,49.0,21.4,57.6,1008.8,False,31.8,297,7.1
