LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:54.406000,18.0,KUB,88,0 days 00:33:33.827000,1.0,1.0,,,,0 days 00:00:36.378000,0 days 00:00:41.760000,,0 days 00:34:14.274000,0 days 00:34:56.631000,252.0,280.0,105.0,286.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,False,,False,False,Mexican Grand Prix,17,36.0,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:01:45.241000,18.0,KUB,88,0 days 00:35:33.201000,2.0,1.0,,,0 days 00:00:40.682000,0 days 00:00:38.044000,0 days 00:00:26.515000,0 days 00:35:36.398000,0 days 00:36:14.442000,0 days 00:36:40.957000,189.0,193.0,243.0,235.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:55.729000,2019-10-27 19:14:56.049,67,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:24.811000,18.0,KUB,88,0 days 00:37:43.879000,3.0,1.0,,,0 days 00:00:29.665000,0 days 00:00:33.360000,0 days 00:00:21.786000,0 days 00:37:10.622000,0 days 00:37:43.982000,0 days 00:38:05.768000,290.0,282.0,244.0,332.0,True,MEDIUM,3.0,True,Williams,0 days 00:36:40.970000,2019-10-27 19:16:41.290,7,False,,False,False,Mexican Grand Prix,17,36.0,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:01:24.893000,18.0,KUB,88,0 days 00:38:45.881000,4.0,1.0,,,0 days 00:00:29.475000,0 days 00:00:33.223000,0 days 00:00:22.195000,0 days 00:38:35.243000,0 days 00:39:08.466000,0 days 00:39:30.661000,289.0,281.0,242.0,330.0,False,MEDIUM,4.0,True,Williams,0 days 00:38:05.781000,2019-10-27 19:18:06.101,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:01:24.850000,17.0,KUB,88,0 days 00:39:40.565000,5.0,1.0,,,0 days 00:00:29.535000,0 days 00:00:33.243000,0 days 00:00:22.072000,0 days 00:40:00.196000,0 days 00:40:33.439000,0 days 00:40:55.511000,293.0,279.0,243.0,327.0,False,MEDIUM,5.0,True,Williams,0 days 00:39:30.674000,2019-10-27 19:19:30.994,2,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:01:24.661000,17.0,KUB,88,0 days 00:41:33.202000,6.0,1.0,,,0 days 00:00:29.482000,0 days 00:00:33.124000,0 days 00:00:22.055000,0 days 00:41:24.993000,0 days 00:41:58.117000,0 days 00:42:20.172000,291.0,279.0,242.0,329.0,True,MEDIUM,6.0,True,Williams,0 days 00:40:55.524000,2019-10-27 19:20:55.844,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:01:24.656000,17.0,KUB,88,0 days 00:42:33.286000,7.0,1.0,,,0 days 00:00:29.324000,0 days 00:00:33.210000,0 days 00:00:22.122000,0 days 00:42:49.496000,0 days 00:43:22.706000,0 days 00:43:44.828000,288.0,276.0,241.0,330.0,True,MEDIUM,7.0,True,Williams,0 days 00:42:20.185000,2019-10-27 19:22:20.505,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:01:24.252000,17.0,KUB,88,0 days 00:44:33.367000,8.0,1.0,,,0 days 00:00:29.305000,0 days 00:00:32.997000,0 days 00:00:21.950000,0 days 00:44:14.133000,0 days 00:44:47.130000,0 days 00:45:09.080000,,279.0,241.0,329.0,True,MEDIUM,8.0,True,Williams,0 days 00:43:44.841000,2019-10-27 19:23:45.161,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.5,780.7,False,43.5,88,0.7
0 days 00:01:24.087000,17.0,KUB,88,0 days 00:45:33.199000,9.0,1.0,,,0 days 00:00:29.266000,0 days 00:00:32.988000,0 days 00:00:21.833000,0 days 00:45:38.346000,0 days 00:46:11.334000,0 days 00:46:33.167000,292.0,282.0,242.0,,True,MEDIUM,9.0,True,Williams,0 days 00:45:09.093000,2019-10-27 19:25:09.413,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:01:23.907000,16.0,KUB,88,0 days 00:46:33.352000,10.0,1.0,,,0 days 00:00:29.333000,0 days 00:00:32.863000,0 days 00:00:21.711000,0 days 00:47:02.500000,0 days 00:47:35.363000,0 days 00:47:57.074000,295.0,281.0,243.0,,True,MEDIUM,10.0,True,Williams,0 days 00:46:33.180000,2019-10-27 19:26:33.500,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,46.0,780.7,False,43.7,163,1.2
0 days 00:01:24.082000,15.0,KUB,88,0 days 00:48:33.221000,11.0,1.0,,,0 days 00:00:29.426000,0 days 00:00:32.949000,0 days 00:00:21.707000,0 days 00:48:26.500000,0 days 00:48:59.449000,0 days 00:49:21.156000,287.0,281.0,243.0,,False,MEDIUM,11.0,True,Williams,0 days 00:47:57.087000,2019-10-27 19:27:57.407,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,45.6,780.7,False,44.7,164,1.1
0 days 00:01:24.278000,15.0,KUB,88,0 days 00:49:33.906000,12.0,1.0,,,0 days 00:00:29.419000,0 days 00:00:33.061000,0 days 00:00:21.798000,0 days 00:49:50.575000,0 days 00:50:23.636000,0 days 00:50:45.434000,291.0,278.0,244.0,328.0,False,MEDIUM,12.0,True,Williams,0 days 00:49:21.169000,2019-10-27 19:29:21.489,1,False,,False,True,Mexican Grand Prix,17,36.0,23.6,45.0,780.7,False,44.7,91,1.3
0 days 00:01:23.967000,14.0,KUB,88,0 days 00:51:33.606000,13.0,1.0,,,0 days 00:00:29.279000,0 days 00:00:32.995000,0 days 00:00:21.693000,0 days 00:51:14.713000,0 days 00:51:47.708000,0 days 00:52:09.401000,288.0,280.0,244.0,329.0,False,MEDIUM,13.0,True,Williams,0 days 00:50:45.447000,2019-10-27 19:30:45.767,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.6,False,44.0,95,1.2
0 days 00:01:24.217000,14.0,KUB,88,0 days 00:52:33.511000,14.0,1.0,,,0 days 00:00:29.380000,0 days 00:00:33.099000,0 days 00:00:21.738000,0 days 00:52:38.781000,0 days 00:53:11.880000,0 days 00:53:33.618000,290.0,280.0,244.0,326.0,False,MEDIUM,14.0,True,Williams,0 days 00:52:09.414000,2019-10-27 19:32:09.734,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,45.4,780.5,False,44.0,173,1.5
0 days 00:01:24.444000,14.0,KUB,88,0 days 00:54:33.199000,15.0,1.0,,,0 days 00:00:29.520000,0 days 00:00:32.999000,0 days 00:00:21.925000,0 days 00:54:03.138000,0 days 00:54:36.137000,0 days 00:54:58.062000,289.0,280.0,244.0,,False,MEDIUM,15.0,True,Williams,0 days 00:53:33.631000,2019-10-27 19:33:33.951,1,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.7,780.5,False,44.7,52,1.4
0 days 00:01:26.806000,14.0,KUB,88,0 days 00:55:33.430000,16.0,1.0,,,0 days 00:00:30.083000,0 days 00:00:33.898000,0 days 00:00:22.825000,0 days 00:55:28.145000,0 days 00:56:02.043000,0 days 00:56:24.868000,273.0,280.0,242.0,325.0,False,MEDIUM,16.0,True,Williams,0 days 00:54:58.075000,2019-10-27 19:34:58.395,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,44.8,780.6,False,44.8,331,0.9
0 days 00:01:24.964000,14.0,KUB,88,0 days 00:56:33.581000,17.0,1.0,,,0 days 00:00:29.471000,0 days 00:00:33.404000,0 days 00:00:22.089000,0 days 00:56:54.339000,0 days 00:57:27.743000,0 days 00:57:49.832000,288.0,282.0,241.0,348.0,False,MEDIUM,17.0,True,Williams,0 days 00:56:24.881000,2019-10-27 19:36:25.201,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.8,780.4,False,44.9,325,1.0
0 days 00:01:26.478000,16.0,KUB,88,0 days 00:58:33.448000,18.0,1.0,,,0 days 00:00:30.025000,0 days 00:00:33.359000,0 days 00:00:23.094000,0 days 00:58:19.857000,0 days 00:58:53.216000,0 days 00:59:16.310000,291.0,280.0,242.0,328.0,False,MEDIUM,18.0,True,Williams,0 days 00:57:49.845000,2019-10-27 19:37:50.165,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.3,780.5,False,44.4,83,1.1
0 days 00:01:25.234000,17.0,KUB,88,0 days 00:59:33.283000,19.0,1.0,,,0 days 00:00:29.193000,0 days 00:00:33.388000,0 days 00:00:22.653000,0 days 00:59:45.503000,0 days 01:00:18.891000,0 days 01:00:41.544000,306.0,279.0,242.0,350.0,False,MEDIUM,19.0,True,Williams,0 days 00:59:16.323000,2019-10-27 19:39:16.643,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.5,780.4,False,44.9,88,1.6
0 days 00:01:24.407000,17.0,KUB,88,0 days 01:01:33.762000,20.0,1.0,,,0 days 00:00:29.309000,0 days 00:00:33.251000,0 days 00:00:21.847000,0 days 01:01:10.853000,0 days 01:01:44.104000,0 days 01:02:05.951000,285.0,280.0,243.0,343.0,False,MEDIUM,20.0,True,Williams,0 days 01:00:41.557000,2019-10-27 19:40:41.877,1,False,,False,True,Mexican Grand Prix,17,36.0,23.9,44.8,780.5,False,45.7,95,2.0
0 days 00:01:27.295000,19.0,KUB,88,0 days 01:02:33.375000,21.0,1.0,,0 days 01:03:30.657000,0 days 00:00:29.384000,0 days 00:00:32.947000,0 days 00:00:24.964000,0 days 01:02:35.335000,0 days 01:03:08.282000,0 days 01:03:33.246000,295.0,278.0,,328.0,False,MEDIUM,21.0,True,Williams,0 days 01:02:05.964000,2019-10-27 19:42:06.284,1,False,,False,False,Mexican Grand Prix,17,36.0,23.9,43.9,780.3,False,45.7,57,2.4
0 days 00:01:44.260000,19.0,KUB,88,0 days 01:03:33.344000,22.0,2.0,0 days 01:03:55.506000,,0 days 00:00:50.480000,0 days 00:00:32.290000,0 days 00:00:21.490000,0 days 01:04:23.726000,0 days 01:04:56.016000,0 days 01:05:17.506000,298.0,281.0,245.0,306.0,False,HARD,1.0,True,Williams,0 days 01:03:33.259000,2019-10-27 19:43:33.579,1,False,,False,False,Mexican Grand Prix,17,36.0,24.0,43.8,780.4,False,45.8,78,1.8
0 days 00:01:24.546000,18.0,KUB,88,0 days 01:05:33.200000,23.0,2.0,,,0 days 00:00:29.644000,0 days 00:00:33.293000,0 days 00:00:21.609000,0 days 01:05:47.150000,0 days 01:06:20.443000,0 days 01:06:42.052000,299.0,280.0,245.0,330.0,False,HARD,2.0,True,Williams,0 days 01:05:17.519000,2019-10-27 19:45:17.839,1,False,,False,True,Mexican Grand Prix,17,36.0,23.7,44.9,780.4,False,45.8,94,1.4
