LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:48.810000,12.0,RIC,3,0 days 00:33:33.827000,1.0,1.0,,,,0 days 00:00:36.236000,0 days 00:00:38.116000,,0 days 00:34:12.577000,0 days 00:34:50.452000,243.0,278.0,139.0,300.0,False,HARD,1.0,True,Renault,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,False,,False,False,Mexican Grand Prix,17,36.0,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:01:44.787000,12.0,RIC,3,0 days 00:35:33.201000,2.0,1.0,,,0 days 00:00:38.383000,0 days 00:00:40.976000,0 days 00:00:25.428000,0 days 00:35:28.517000,0 days 00:36:09.493000,0 days 00:36:34.921000,237.0,144.0,242.0,277.0,True,HARD,2.0,True,Renault,0 days 00:34:50.133000,2019-10-27 19:14:50.453,67,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:24.370000,12.0,RIC,3,0 days 00:37:43.879000,3.0,1.0,,,0 days 00:00:29.395000,0 days 00:00:33.386000,0 days 00:00:21.589000,0 days 00:37:04.316000,0 days 00:37:37.702000,0 days 00:37:59.291000,294.0,288.0,246.0,334.0,True,HARD,3.0,True,Renault,0 days 00:36:34.920000,2019-10-27 19:16:35.240,7,False,,False,False,Mexican Grand Prix,17,36.0,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:01:23.570000,12.0,RIC,3,0 days 00:38:45.881000,4.0,1.0,,,0 days 00:00:28.874000,0 days 00:00:33.021000,0 days 00:00:21.675000,0 days 00:38:28.165000,0 days 00:39:01.186000,0 days 00:39:22.861000,284.0,288.0,245.0,347.0,True,HARD,4.0,True,Renault,0 days 00:37:59.290000,2019-10-27 19:17:59.610,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:01:24.536000,11.0,RIC,3,0 days 00:39:40.565000,5.0,1.0,,,0 days 00:00:28.772000,0 days 00:00:34.156000,0 days 00:00:21.608000,0 days 00:39:51.633000,0 days 00:40:25.789000,0 days 00:40:47.397000,281.0,287.0,247.0,,False,HARD,5.0,True,Renault,0 days 00:39:22.860000,2019-10-27 19:19:23.180,2,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:01:23.377000,11.0,RIC,3,0 days 00:41:33.202000,6.0,1.0,,,0 days 00:00:28.810000,0 days 00:00:33.142000,0 days 00:00:21.425000,0 days 00:41:16.207000,0 days 00:41:49.349000,0 days 00:42:10.774000,282.0,286.0,245.0,354.0,True,HARD,6.0,True,Renault,0 days 00:40:47.396000,2019-10-27 19:20:47.716,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:01:23.346000,11.0,RIC,3,0 days 00:42:33.286000,7.0,1.0,,,0 days 00:00:28.703000,0 days 00:00:32.979000,0 days 00:00:21.664000,0 days 00:42:39.477000,0 days 00:43:12.456000,0 days 00:43:34.120000,281.0,286.0,246.0,348.0,True,HARD,7.0,True,Renault,0 days 00:42:10.773000,2019-10-27 19:22:11.093,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:01:23.522000,10.0,RIC,3,0 days 00:44:33.367000,8.0,1.0,,,0 days 00:00:28.963000,0 days 00:00:32.958000,0 days 00:00:21.601000,0 days 00:44:03.083000,0 days 00:44:36.041000,0 days 00:44:57.642000,314.0,278.0,244.0,353.0,False,HARD,8.0,True,Renault,0 days 00:43:34.119000,2019-10-27 19:23:34.439,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.5,780.7,False,43.5,88,0.7
0 days 00:01:23.355000,10.0,RIC,3,0 days 00:45:33.199000,9.0,1.0,,,0 days 00:00:29.145000,0 days 00:00:32.575000,0 days 00:00:21.635000,0 days 00:45:26.787000,0 days 00:45:59.362000,0 days 00:46:20.997000,287.0,282.0,244.0,332.0,False,HARD,9.0,True,Renault,0 days 00:44:57.641000,2019-10-27 19:24:57.961,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:01:23.507000,9.0,RIC,3,0 days 00:46:33.352000,10.0,1.0,,,0 days 00:00:29.127000,0 days 00:00:32.653000,0 days 00:00:21.727000,0 days 00:46:50.124000,0 days 00:47:22.777000,0 days 00:47:44.504000,286.0,288.0,243.0,331.0,False,HARD,10.0,True,Renault,0 days 00:46:20.996000,2019-10-27 19:26:21.316,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,46.0,780.7,False,43.7,163,1.2
0 days 00:01:22.365000,9.0,RIC,3,0 days 00:48:33.221000,11.0,1.0,,,0 days 00:00:28.571000,0 days 00:00:32.350000,0 days 00:00:21.444000,0 days 00:48:13.075000,0 days 00:48:45.425000,0 days 00:49:06.869000,294.0,282.0,244.0,344.0,True,HARD,11.0,True,Renault,0 days 00:47:44.503000,2019-10-27 19:27:44.823,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,45.6,780.7,False,44.7,164,1.1
0 days 00:01:22.874000,8.0,RIC,3,0 days 00:49:33.906000,12.0,1.0,,,0 days 00:00:29.004000,0 days 00:00:32.301000,0 days 00:00:21.569000,0 days 00:49:35.873000,0 days 00:50:08.174000,0 days 00:50:29.743000,291.0,281.0,243.0,329.0,False,HARD,12.0,True,Renault,0 days 00:49:06.868000,2019-10-27 19:29:07.188,1,False,,False,True,Mexican Grand Prix,17,36.0,23.6,45.0,780.7,False,44.7,91,1.3
0 days 00:01:22.374000,8.0,RIC,3,0 days 00:50:33.221000,13.0,1.0,,,0 days 00:00:28.766000,0 days 00:00:32.165000,0 days 00:00:21.443000,0 days 00:50:58.509000,0 days 00:51:30.674000,0 days 00:51:52.117000,290.0,280.0,245.0,333.0,False,HARD,13.0,True,Renault,0 days 00:50:29.742000,2019-10-27 19:30:30.062,1,False,,False,True,Mexican Grand Prix,17,36.0,23.6,44.9,780.6,False,44.5,94,1.5
0 days 00:01:22.617000,8.0,RIC,3,0 days 00:52:33.511000,14.0,1.0,,,0 days 00:00:28.976000,0 days 00:00:32.260000,0 days 00:00:21.381000,0 days 00:52:21.093000,0 days 00:52:53.353000,0 days 00:53:14.734000,,280.0,245.0,329.0,False,HARD,14.0,True,Renault,0 days 00:51:52.116000,2019-10-27 19:31:52.436,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,45.4,780.5,False,44.0,173,1.5
0 days 00:01:23.879000,7.0,RIC,3,0 days 00:53:33.201000,15.0,1.0,,,0 days 00:00:29.061000,0 days 00:00:32.879000,0 days 00:00:21.939000,0 days 00:53:43.795000,0 days 00:54:16.674000,0 days 00:54:38.613000,284.0,288.0,244.0,330.0,False,HARD,15.0,True,Renault,0 days 00:53:14.733000,2019-10-27 19:33:15.053,1,False,,False,True,Mexican Grand Prix,17,36.0,22.9,46.1,780.5,False,44.2,15,1.0
0 days 00:01:22.916000,7.0,RIC,3,0 days 00:55:33.430000,16.0,1.0,,,0 days 00:00:28.698000,0 days 00:00:32.665000,0 days 00:00:21.553000,0 days 00:55:07.311000,0 days 00:55:39.976000,0 days 00:56:01.529000,286.0,287.0,246.0,345.0,False,HARD,16.0,True,Renault,0 days 00:54:38.612000,2019-10-27 19:34:38.932,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,44.8,780.6,False,44.8,331,0.9
0 days 00:01:22.912000,7.0,RIC,3,0 days 00:56:33.581000,17.0,1.0,,,0 days 00:00:28.991000,0 days 00:00:32.396000,0 days 00:00:21.525000,0 days 00:56:30.520000,0 days 00:57:02.916000,0 days 00:57:24.441000,290.0,287.0,244.0,348.0,False,HARD,17.0,True,Renault,0 days 00:56:01.528000,2019-10-27 19:36:01.848,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.8,780.4,False,44.9,325,1.0
0 days 00:01:22.439000,7.0,RIC,3,0 days 00:57:33.451000,18.0,1.0,,,0 days 00:00:28.640000,0 days 00:00:32.306000,0 days 00:00:21.493000,0 days 00:57:53.081000,0 days 00:58:25.387000,0 days 00:58:46.880000,293.0,285.0,244.0,345.0,False,HARD,18.0,True,Renault,0 days 00:57:24.440000,2019-10-27 19:37:24.760,1,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.5,False,44.4,0,0.8
0 days 00:01:22.868000,7.0,RIC,3,0 days 00:59:33.283000,19.0,1.0,,,0 days 00:00:28.984000,0 days 00:00:32.325000,0 days 00:00:21.559000,0 days 00:59:15.864000,0 days 00:59:48.189000,0 days 01:00:09.748000,294.0,281.0,243.0,331.0,False,HARD,19.0,True,Renault,0 days 00:58:46.879000,2019-10-27 19:38:47.199,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.5,780.4,False,44.9,88,1.6
0 days 00:01:22.827000,6.0,RIC,3,0 days 01:00:33.288000,20.0,1.0,,,0 days 00:00:28.991000,0 days 00:00:32.334000,0 days 00:00:21.502000,0 days 01:00:38.739000,0 days 01:01:11.073000,0 days 01:01:32.575000,296.0,282.0,243.0,330.0,False,HARD,20.0,True,Renault,0 days 01:00:09.747000,2019-10-27 19:40:10.067,1,False,,False,True,Mexican Grand Prix,17,36.0,23.9,44.6,780.4,False,45.3,82,2.2
0 days 00:01:22.458000,6.0,RIC,3,0 days 01:01:33.762000,21.0,1.0,,,0 days 00:00:28.995000,0 days 00:00:32.141000,0 days 00:00:21.322000,0 days 01:02:01.570000,0 days 01:02:33.711000,0 days 01:02:55.033000,293.0,282.0,244.0,325.0,False,HARD,21.0,True,Renault,0 days 01:01:32.574000,2019-10-27 19:41:32.894,1,False,,False,True,Mexican Grand Prix,17,36.0,23.9,44.8,780.5,False,45.7,95,2.0
0 days 00:01:22.244000,6.0,RIC,3,0 days 01:03:33.344000,22.0,1.0,,,0 days 00:00:28.869000,0 days 00:00:32.025000,0 days 00:00:21.350000,0 days 01:03:23.902000,0 days 01:03:55.927000,0 days 01:04:17.277000,292.0,280.0,244.0,,True,HARD,22.0,True,Renault,0 days 01:02:55.032000,2019-10-27 19:42:55.352,1,False,,False,True,Mexican Grand Prix,17,36.0,24.0,43.8,780.4,False,45.8,78,1.8
0 days 00:01:22.160000,6.0,RIC,3,0 days 01:04:33.492000,23.0,1.0,,,0 days 00:00:28.887000,0 days 00:00:31.927000,0 days 00:00:21.346000,0 days 01:04:46.164000,0 days 01:05:18.091000,0 days 01:05:39.437000,294.0,281.0,244.0,324.0,True,HARD,23.0,True,Renault,0 days 01:04:17.276000,2019-10-27 19:44:17.596,1,False,,False,True,Mexican Grand Prix,17,36.0,23.8,44.1,780.4,False,45.7,79,2.3
0 days 00:01:22.065000,6.0,RIC,3,0 days 01:06:33.398000,24.0,1.0,,,0 days 00:00:28.854000,0 days 00:00:31.944000,0 days 00:00:21.267000,0 days 01:06:08.291000,0 days 01:06:40.235000,0 days 01:07:01.502000,293.0,280.0,245.0,,True,HARD,24.0,True,Renault,0 days 01:05:39.436000,2019-10-27 19:45:39.756,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.0,780.4,False,45.3,95,1.9
0 days 00:01:22.207000,6.0,RIC,3,0 days 01:07:33.834000,25.0,1.0,,,0 days 00:00:28.921000,0 days 00:00:31.988000,0 days 00:00:21.298000,0 days 01:07:30.423000,0 days 01:08:02.411000,0 days 01:08:23.709000,292.0,280.0,247.0,325.0,False,HARD,25.0,True,Renault,0 days 01:07:01.501000,2019-10-27 19:47:01.821,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.1,780.3,False,45.3,68,2.2
0 days 00:01:22.114000,6.0,RIC,3,0 days 01:08:33.202000,26.0,1.0,,,0 days 00:00:28.824000,0 days 00:00:32.036000,0 days 00:00:21.254000,0 days 01:08:52.533000,0 days 01:09:24.569000,0 days 01:09:45.823000,296.0,282.0,246.0,,False,HARD,26.0,True,Renault,0 days 01:08:23.708000,2019-10-27 19:48:24.028,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.0,780.4,False,45.3,13,1.6
0 days 00:01:21.937000,6.0,RIC,3,0 days 01:10:33.350000,27.0,1.0,,,0 days 00:00:28.839000,0 days 00:00:31.936000,0 days 00:00:21.162000,0 days 01:10:14.662000,0 days 01:10:46.598000,0 days 01:11:07.760000,291.0,281.0,247.0,,True,HARD,27.0,True,Renault,0 days 01:09:45.822000,2019-10-27 19:49:46.142,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,44.5,780.3,False,45.9,277,1.1
0 days 00:01:21.997000,6.0,RIC,3,0 days 01:11:33.397000,28.0,1.0,,,0 days 00:00:28.895000,0 days 00:00:31.939000,0 days 00:00:21.163000,0 days 01:11:36.655000,0 days 01:12:08.594000,0 days 01:12:29.757000,,281.0,247.0,,False,HARD,28.0,True,Renault,0 days 01:11:07.759000,2019-10-27 19:51:08.079,1,False,,False,True,Mexican Grand Prix,17,36.0,23.6,44.2,780.4,False,46.3,51,1.2
0 days 00:01:21.995000,6.0,RIC,3,0 days 01:12:33.201000,29.0,1.0,,,0 days 00:00:28.849000,0 days 00:00:31.917000,0 days 00:00:21.229000,0 days 01:12:58.606000,0 days 01:13:30.523000,0 days 01:13:51.752000,292.0,281.0,246.0,327.0,False,HARD,29.0,True,Renault,0 days 01:12:29.756000,2019-10-27 19:52:30.076,1,False,,False,True,Mexican Grand Prix,17,36.0,23.8,43.6,780.4,False,45.9,56,1.0
0 days 00:01:22.017000,6.0,RIC,3,0 days 01:14:33.200000,30.0,1.0,,,0 days 00:00:28.880000,0 days 00:00:31.892000,0 days 00:00:21.245000,0 days 01:14:20.632000,0 days 01:14:52.524000,0 days 01:15:13.769000,293.0,284.0,247.0,326.0,False,HARD,30.0,True,Renault,0 days 01:13:51.751000,2019-10-27 19:53:52.071,1,False,,False,True,Mexican Grand Prix,17,36.0,24.1,44.0,780.3,False,46.2,7,0.8
0 days 00:01:21.930000,6.0,RIC,3,0 days 01:15:33.304000,31.0,1.0,,,0 days 00:00:28.883000,0 days 00:00:31.963000,0 days 00:00:21.084000,0 days 01:15:42.652000,0 days 01:16:14.615000,0 days 01:16:35.699000,296.0,282.0,246.0,327.0,True,HARD,31.0,True,Renault,0 days 01:15:13.768000,2019-10-27 19:55:14.088,1,False,,False,True,Mexican Grand Prix,17,36.0,24.4,42.9,780.3,False,46.6,315,0.4
