LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:36.038000,4.0,SAI,55,0 days 00:33:33.827000,1.0,1.0,,,,0 days 00:00:33.068000,0 days 00:00:29.702000,,0 days 00:34:08.457000,0 days 00:34:37.502000,287.0,284.0,146.0,305.0,False,SOFT,4.0,False,McLaren,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,False,,False,False,Mexican Grand Prix,17,36.0,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:01:47.712000,4.0,SAI,55,0 days 00:35:33.201000,2.0,1.0,,,0 days 00:00:38.002000,0 days 00:00:42.110000,0 days 00:00:27.600000,0 days 00:35:15.388000,0 days 00:35:57.498000,0 days 00:36:25.098000,252.0,215.0,130.0,257.0,True,SOFT,5.0,False,McLaren,0 days 00:34:37.361000,2019-10-27 19:14:37.681,6,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:27.226000,4.0,SAI,55,0 days 00:36:33.745000,3.0,1.0,,,0 days 00:00:33.074000,0 days 00:00:32.829000,0 days 00:00:21.323000,0 days 00:36:58.172000,0 days 00:37:31.001000,0 days 00:37:52.324000,289.0,285.0,246.0,255.0,True,SOFT,6.0,False,McLaren,0 days 00:36:25.073000,2019-10-27 19:16:25.393,67,False,,False,False,Mexican Grand Prix,17,36.0,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:01:23.618000,5.0,SAI,55,0 days 00:38:45.881000,4.0,1.0,,,0 days 00:00:29.445000,0 days 00:00:32.750000,0 days 00:00:21.423000,0 days 00:38:21.769000,0 days 00:38:54.519000,0 days 00:39:15.942000,287.0,284.0,246.0,324.0,True,SOFT,7.0,False,McLaren,0 days 00:37:52.299000,2019-10-27 19:17:52.619,1,False,,False,True,Mexican Grand Prix,17,36.0,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:01:23.237000,5.0,SAI,55,0 days 00:39:40.565000,5.0,1.0,,,0 days 00:00:29.027000,0 days 00:00:32.735000,0 days 00:00:21.475000,0 days 00:39:44.969000,0 days 00:40:17.704000,0 days 00:40:39.179000,292.0,281.0,246.0,326.0,True,SOFT,8.0,False,McLaren,0 days 00:39:15.917000,2019-10-27 19:19:16.237,2,False,,False,True,Mexican Grand Prix,17,36.0,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:01:23.482000,5.0,SAI,55,0 days 00:41:33.202000,6.0,1.0,,,0 days 00:00:29.132000,0 days 00:00:32.771000,0 days 00:00:21.579000,0 days 00:41:08.311000,0 days 00:41:41.082000,0 days 00:42:02.661000,294.0,280.0,246.0,325.0,False,SOFT,9.0,False,McLaren,0 days 00:40:39.154000,2019-10-27 19:20:39.474,1,False,,False,True,Mexican Grand Prix,17,36.0,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:01:23.759000,5.0,SAI,55,0 days 00:42:33.286000,7.0,1.0,,,0 days 00:00:29.118000,0 days 00:00:32.862000,0 days 00:00:21.779000,0 days 00:42:31.779000,0 days 00:43:04.641000,0 days 00:43:26.420000,292.0,277.0,245.0,323.0,False,SOFT,10.0,False,McLaren,0 days 00:42:02.636000,2019-10-27 19:22:02.956,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:01:24.474000,6.0,SAI,55,0 days 00:43:33.406000,8.0,1.0,,,0 days 00:00:29.689000,0 days 00:00:33.110000,0 days 00:00:21.675000,0 days 00:43:56.109000,0 days 00:44:29.219000,0 days 00:44:50.894000,291.0,279.0,245.0,,False,SOFT,11.0,False,McLaren,0 days 00:43:26.395000,2019-10-27 19:23:26.715,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,45.2,780.8,False,43.2,54,1.1
0 days 00:01:23.679000,6.0,SAI,55,0 days 00:45:33.199000,9.0,1.0,,,0 days 00:00:29.203000,0 days 00:00:32.739000,0 days 00:00:21.737000,0 days 00:45:20.097000,0 days 00:45:52.836000,0 days 00:46:14.573000,295.0,280.0,244.0,325.0,False,SOFT,12.0,False,McLaren,0 days 00:44:50.869000,2019-10-27 19:24:51.189,1,False,,False,True,Mexican Grand Prix,17,36.0,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:01:23.588000,6.0,SAI,55,0 days 00:46:33.352000,10.0,1.0,,,0 days 00:00:29.233000,0 days 00:00:32.561000,0 days 00:00:21.794000,0 days 00:46:43.806000,0 days 00:47:16.367000,0 days 00:47:38.161000,,281.0,243.0,323.0,False,SOFT,13.0,False,McLaren,0 days 00:46:14.548000,2019-10-27 19:26:14.868,1,False,,False,True,Mexican Grand Prix,17,36.0,23.3,46.0,780.7,False,43.7,163,1.2
