LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:30.440000,9.0,KVY,26,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:39.441000,0 days 00:00:22.036000,,0 days 00:33:54.191000,0 days 00:34:16.291000,157.0,180.0,259.0,280.0,False,SOFT,6.0,False,Toro Rosso,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:20.154000,9.0,KVY,26,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.145000,0 days 00:00:37.353000,0 days 00:00:21.656000,0 days 00:34:37.295000,0 days 00:35:14.648000,0 days 00:35:36.304000,183.0,180.0,261.0,283.0,True,SOFT,7.0,False,Toro Rosso,0 days 00:34:16.155000,2019-05-26 13:14:16.615,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:19.694000,9.0,KVY,26,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:20.934000,0 days 00:00:36.991000,0 days 00:00:21.769000,0 days 00:35:57.238000,0 days 00:36:34.229000,0 days 00:36:55.998000,196.0,182.0,256.0,282.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:35:36.309000,2019-05-26 13:15:36.769,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.581000,9.0,KVY,26,0 days 00:37:00.881000,4.0,1.0,,,0 days 00:00:20.766000,0 days 00:00:37.128000,0 days 00:00:21.687000,0 days 00:37:16.764000,0 days 00:37:53.892000,0 days 00:38:15.579000,197.0,182.0,264.0,283.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:36:56.003000,2019-05-26 13:16:56.463,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 00:01:19.311000,9.0,KVY,26,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:20.668000,0 days 00:00:37.114000,0 days 00:00:21.529000,0 days 00:38:36.247000,0 days 00:39:13.361000,0 days 00:39:34.890000,,181.0,265.0,280.0,True,SOFT,10.0,False,Toro Rosso,0 days 00:38:15.584000,2019-05-26 13:18:16.044,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.792000,9.0,KVY,26,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:20.755000,0 days 00:00:37.174000,0 days 00:00:21.863000,0 days 00:39:55.645000,0 days 00:40:32.819000,0 days 00:40:54.682000,196.0,185.0,266.0,280.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:39:34.895000,2019-05-26 13:19:35.355,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:19.528000,9.0,KVY,26,0 days 00:41:00.941000,7.0,1.0,,,0 days 00:00:20.701000,0 days 00:00:37.255000,0 days 00:00:21.572000,0 days 00:41:15.383000,0 days 00:41:52.638000,0 days 00:42:14.210000,200.0,182.0,265.0,280.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:40:54.687000,2019-05-26 13:20:55.147,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:01:19.779000,9.0,KVY,26,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:20.799000,0 days 00:00:37.319000,0 days 00:00:21.661000,0 days 00:42:35.009000,0 days 00:43:12.328000,0 days 00:43:33.989000,197.0,183.0,265.0,279.0,False,SOFT,13.0,False,Toro Rosso,0 days 00:42:14.215000,2019-05-26 13:22:14.675,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:20.821000,9.0,KVY,26,0 days 00:44:00.983000,9.0,1.0,,,0 days 00:00:21.193000,0 days 00:00:37.787000,0 days 00:00:21.841000,0 days 00:43:55.182000,0 days 00:44:32.969000,0 days 00:44:54.810000,194.0,183.0,264.0,278.0,False,SOFT,14.0,False,Toro Rosso,0 days 00:43:33.994000,2019-05-26 13:23:34.454,2,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:25.166000,9.0,KVY,26,0 days 00:45:00.999000,10.0,1.0,,,0 days 00:00:20.922000,0 days 00:00:37.817000,0 days 00:00:26.427000,0 days 00:45:15.732000,0 days 00:45:53.549000,0 days 00:46:19.976000,193.0,179.0,65.0,279.0,False,SOFT,15.0,False,Toro Rosso,0 days 00:44:54.815000,2019-05-26 13:24:55.275,24,False,,False,False,Monaco Grand Prix,19,315.0,22.7,52.2,1011.0,True,33.8,0,0.7
0 days 00:01:49.049000,7.0,KVY,26,0 days 00:47:01.027000,11.0,1.0,,,0 days 00:00:35.777000,0 days 00:00:46.835000,0 days 00:00:26.437000,0 days 00:46:55.753000,0 days 00:47:42.588000,0 days 00:48:09.025000,145.0,140.0,201.0,232.0,False,SOFT,16.0,False,Toro Rosso,0 days 00:46:19.981000,2019-05-26 13:26:20.441,4,False,,False,False,Monaco Grand Prix,19,315.0,22.7,51.7,1010.9,True,34.0,0,0.5
0 days 00:01:42.864000,7.0,KVY,26,0 days 00:49:01.057000,12.0,1.0,,,0 days 00:00:27.534000,0 days 00:00:46.783000,0 days 00:00:28.547000,0 days 00:48:36.559000,0 days 00:49:23.342000,0 days 00:49:51.889000,86.0,152.0,190.0,234.0,False,SOFT,17.0,False,Toro Rosso,0 days 00:48:09.030000,2019-05-26 13:28:09.490,4,False,,False,False,Monaco Grand Prix,19,315.0,23.0,51.4,1011.0,True,34.3,149,0.6
0 days 00:01:35.650000,7.0,KVY,26,0 days 00:50:01.070000,13.0,1.0,,,0 days 00:00:24.536000,0 days 00:00:42.269000,0 days 00:00:28.845000,0 days 00:50:16.425000,0 days 00:50:58.694000,0 days 00:51:27.539000,159.0,171.0,218.0,271.0,False,SOFT,18.0,False,Toro Rosso,0 days 00:49:51.894000,2019-05-26 13:29:52.354,4,False,,False,False,Monaco Grand Prix,19,315.0,22.9,51.7,1011.0,True,34.1,333,0.4
0 days 00:01:53.802000,7.0,KVY,26,0 days 00:52:01.098000,14.0,1.0,,,0 days 00:00:30.045000,0 days 00:00:56.226000,0 days 00:00:27.531000,0 days 00:51:57.584000,0 days 00:52:53.810000,0 days 00:53:21.341000,98.0,76.0,255.0,162.0,False,SOFT,19.0,False,Toro Rosso,0 days 00:51:27.544000,2019-05-26 13:31:28.004,4,False,,False,False,Monaco Grand Prix,19,315.0,23.0,51.4,1010.9,True,34.4,155,0.8
0 days 00:01:21.743000,7.0,KVY,26,0 days 00:54:01.208000,15.0,1.0,,,0 days 00:00:21.427000,0 days 00:00:38.415000,0 days 00:00:21.901000,0 days 00:53:42.768000,0 days 00:54:21.183000,0 days 00:54:43.084000,169.0,181.0,258.0,280.0,False,SOFT,20.0,False,Toro Rosso,0 days 00:53:21.346000,2019-05-26 13:33:21.806,2,False,,False,False,Monaco Grand Prix,19,315.0,22.9,52.1,1011.0,True,34.2,140,1.4
0 days 00:01:19.956000,7.0,KVY,26,0 days 00:55:01.144000,16.0,1.0,,,0 days 00:00:20.993000,0 days 00:00:37.338000,0 days 00:00:21.625000,0 days 00:55:04.077000,0 days 00:55:41.415000,0 days 00:56:03.040000,191.0,182.0,258.0,279.0,False,SOFT,21.0,False,Toro Rosso,0 days 00:54:43.089000,2019-05-26 13:34:43.549,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,51.7,1010.9,True,34.2,0,1.2
