LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:14.148000,7.0,NOR,4,0 days 00:33:32.444000,1.0,1.0,,,,0 days 00:00:54.280000,0 days 00:00:40.329000,,0 days 00:35:01.730000,0 days 00:35:42.103000,211.0,131.0,144.0,279.0,False,SOFT,4.0,False,McLaren,0 days 00:33:27.500000,2019-09-29 11:13:27.792,24,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.2,1017.0,False,34.9,251,2.5
,6.0,NOR,4,0 days 00:36:32.444000,2.0,1.0,,,0 days 00:01:03.869000,0 days 00:00:51.571000,0 days 00:00:44.024000,0 days 00:36:45.789000,0 days 00:37:37.382000,0 days 00:38:21.652000,94.0,134.0,155.0,205.0,False,SOFT,5.0,False,McLaren,0 days 00:35:42.051000,2019-09-29 11:15:42.343,4,False,,False,False,Russian Grand Prix,18,324.0,21.5,69.5,1017.0,False,34.7,291,1.6
,6.0,NOR,4,0 days 00:38:33.901000,3.0,1.0,,,0 days 00:00:58.197000,0 days 00:00:55.506000,0 days 00:00:45.359000,0 days 00:39:19.589000,0 days 00:40:15.303000,0 days 00:41:02.173000,198.0,152.0,162.0,123.0,False,SOFT,6.0,False,McLaren,0 days 00:38:21.376000,2019-09-29 11:18:21.668,4,False,,False,False,Russian Grand Prix,18,324.0,21.4,69.4,1017.0,False,34.7,295,1.0
0 days 00:01:43.348000,6.0,NOR,4,0 days 00:41:32.443000,4.0,1.0,,,0 days 00:00:36.565000,0 days 00:00:36.328000,0 days 00:00:30.455000,0 days 00:41:36.953000,0 days 00:42:13.281000,0 days 00:42:43.736000,228.0,289.0,165.0,282.0,True,SOFT,7.0,False,McLaren,0 days 00:41:00.380000,2019-09-29 11:21:00.672,1,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.1,1016.9,False,34.8,311,2.3
0 days 00:01:42.437000,6.0,NOR,4,0 days 00:43:32.441000,5.0,1.0,,,0 days 00:00:36.511000,0 days 00:00:35.818000,0 days 00:00:30.108000,0 days 00:43:20.247000,0 days 00:43:56.065000,0 days 00:44:26.173000,242.0,286.0,167.0,291.0,True,SOFT,8.0,False,McLaren,0 days 00:42:43.728000,2019-09-29 11:22:44.020,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.7,1016.9,False,34.8,290,2.1
0 days 00:01:42.010000,6.0,NOR,4,0 days 00:44:32.442000,6.0,1.0,,,0 days 00:00:36.426000,0 days 00:00:35.508000,0 days 00:00:30.076000,0 days 00:45:02.599000,0 days 00:45:38.107000,0 days 00:46:08.183000,249.0,290.0,166.0,293.0,True,SOFT,9.0,False,McLaren,0 days 00:44:26.165000,2019-09-29 11:24:26.457,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.2,1017.0,False,35.0,251,1.7
0 days 00:01:42.290000,6.0,NOR,4,0 days 00:46:32.438000,7.0,1.0,,,0 days 00:00:36.658000,0 days 00:00:35.424000,0 days 00:00:30.208000,0 days 00:46:44.841000,0 days 00:47:20.265000,0 days 00:47:50.473000,236.0,290.0,165.0,289.0,False,SOFT,10.0,False,McLaren,0 days 00:46:08.175000,2019-09-29 11:26:08.467,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,66.8,1016.9,False,34.9,251,2.3
0 days 00:01:41.989000,6.0,NOR,4,0 days 00:48:32.441000,8.0,1.0,,,0 days 00:00:36.232000,0 days 00:00:35.513000,0 days 00:00:30.244000,0 days 00:48:26.705000,0 days 00:49:02.218000,0 days 00:49:32.462000,253.0,287.0,164.0,292.0,True,SOFT,11.0,False,McLaren,0 days 00:47:50.465000,2019-09-29 11:27:50.757,1,False,,False,True,Russian Grand Prix,18,324.0,21.7,67.5,1017.0,False,34.8,0,2.1
0 days 00:01:41.520000,6.0,NOR,4,0 days 00:50:32.437000,9.0,1.0,,,0 days 00:00:36.153000,0 days 00:00:35.305000,0 days 00:00:30.062000,0 days 00:50:08.615000,0 days 00:50:43.920000,0 days 00:51:13.982000,251.0,287.0,165.0,290.0,True,SOFT,12.0,False,McLaren,0 days 00:49:32.454000,2019-09-29 11:29:32.746,1,False,,False,True,Russian Grand Prix,18,324.0,22.2,65.6,1017.0,False,35.7,276,1.1
0 days 00:01:41.377000,6.0,NOR,4,0 days 00:51:32.624000,10.0,1.0,,,0 days 00:00:36.112000,0 days 00:00:35.236000,0 days 00:00:30.029000,0 days 00:51:50.094000,0 days 00:52:25.330000,0 days 00:52:55.359000,,287.0,166.0,,True,SOFT,13.0,False,McLaren,0 days 00:51:13.974000,2019-09-29 11:31:14.266,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,64.8,1017.0,False,35.6,258,2.2
