LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:03:18.117000,20.0,RIC,3,0 days 00:33:32.444000,1.0,1.0,,0 days 00:36:36.768000,,0 days 00:01:18.002000,0 days 00:01:01.258000,,0 days 00:35:46.282000,0 days 00:36:46.022000,108.0,103.0,,232.0,False,SOFT,4.0,False,Renault,0 days 00:33:27.500000,2019-09-29 11:13:27.792,24,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.2,1017.0,False,34.9,251,2.5
0 days 00:02:19.744000,19.0,RIC,3,0 days 00:37:32.628000,2.0,2.0,0 days 00:37:12.365000,,0 days 00:01:08.432000,0 days 00:00:38.299000,0 days 00:00:33.013000,0 days 00:37:54.247000,0 days 00:38:32.546000,0 days 00:39:05.559000,227.0,280.0,150.0,259.0,False,MEDIUM,1.0,False,Renault,0 days 00:36:45.526000,2019-09-29 11:16:45.818,4,False,,False,False,Russian Grand Prix,18,324.0,21.5,68.5,1017.0,False,34.6,304,1.4
0 days 00:02:02.843000,19.0,RIC,3,0 days 00:39:32.608000,3.0,2.0,,,0 days 00:00:39.168000,0 days 00:00:46.403000,0 days 00:00:37.272000,0 days 00:39:44.727000,0 days 00:40:31.130000,0 days 00:41:08.402000,253.0,174.0,159.0,294.0,True,MEDIUM,2.0,False,Renault,0 days 00:39:05.270000,2019-09-29 11:19:05.562,4,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.8,1016.9,False,35.2,243,1.4
0 days 00:01:45.139000,18.0,RIC,3,0 days 00:41:32.443000,4.0,2.0,,,0 days 00:00:37.474000,0 days 00:00:36.687000,0 days 00:00:30.978000,0 days 00:41:45.876000,0 days 00:42:22.563000,0 days 00:42:53.541000,214.0,313.0,161.0,299.0,True,MEDIUM,3.0,False,Renault,0 days 00:41:08.113000,2019-09-29 11:21:08.405,1,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.1,1016.9,False,34.8,311,2.3
0 days 00:01:43.836000,18.0,RIC,3,0 days 00:43:32.441000,5.0,2.0,,,0 days 00:00:36.670000,0 days 00:00:36.013000,0 days 00:00:31.153000,0 days 00:43:30.211000,0 days 00:44:06.224000,0 days 00:44:37.377000,244.0,303.0,160.0,297.0,True,MEDIUM,4.0,False,Renault,0 days 00:42:53.252000,2019-09-29 11:22:53.544,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.7,1016.9,False,34.8,290,2.1
0 days 00:01:42.854000,18.0,RIC,3,0 days 00:45:32.442000,6.0,2.0,,,0 days 00:00:36.209000,0 days 00:00:35.512000,0 days 00:00:31.133000,0 days 00:45:13.586000,0 days 00:45:49.098000,0 days 00:46:20.231000,243.0,321.0,160.0,308.0,True,MEDIUM,5.0,False,Renault,0 days 00:44:37.088000,2019-09-29 11:24:37.380,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,67.6,1017.0,False,35.0,253,2.7
0 days 00:01:44.166000,17.0,RIC,3,0 days 00:46:32.438000,7.0,2.0,,,0 days 00:00:36.685000,0 days 00:00:36.818000,0 days 00:00:30.663000,0 days 00:46:56.916000,0 days 00:47:33.734000,0 days 00:48:04.397000,222.0,322.0,161.0,302.0,False,MEDIUM,6.0,False,Renault,0 days 00:46:19.942000,2019-09-29 11:26:20.234,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,66.8,1016.9,False,34.9,251,2.3
0 days 00:01:42.612000,17.0,RIC,3,0 days 00:48:32.441000,8.0,2.0,,,0 days 00:00:36.308000,0 days 00:00:35.793000,0 days 00:00:30.511000,0 days 00:48:40.705000,0 days 00:49:16.498000,0 days 00:49:47.009000,249.0,300.0,157.0,,True,MEDIUM,7.0,False,Renault,0 days 00:48:04.108000,2019-09-29 11:28:04.400,1,False,,False,True,Russian Grand Prix,18,324.0,21.7,67.5,1017.0,False,34.8,0,2.1
0 days 00:01:42.289000,16.0,RIC,3,0 days 00:50:32.437000,9.0,2.0,,,0 days 00:00:36.227000,0 days 00:00:35.639000,0 days 00:00:30.423000,0 days 00:50:23.236000,0 days 00:50:58.875000,0 days 00:51:29.298000,251.0,303.0,157.0,301.0,True,MEDIUM,8.0,False,Renault,0 days 00:49:46.720000,2019-09-29 11:29:47.012,1,False,,False,True,Russian Grand Prix,18,324.0,22.2,65.6,1017.0,False,35.7,276,1.1
0 days 00:01:42.643000,16.0,RIC,3,0 days 00:51:32.624000,10.0,2.0,,,0 days 00:00:36.151000,0 days 00:00:35.862000,0 days 00:00:30.630000,0 days 00:52:05.449000,0 days 00:52:41.311000,0 days 00:53:11.941000,,303.0,154.0,304.0,False,MEDIUM,9.0,False,Renault,0 days 00:51:29.009000,2019-09-29 11:31:29.301,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,64.8,1017.0,False,35.6,258,2.2
0 days 00:01:42.740000,16.0,RIC,3,0 days 00:53:32.671000,11.0,2.0,,,0 days 00:00:36.441000,0 days 00:00:35.786000,0 days 00:00:30.513000,0 days 00:53:48.382000,0 days 00:54:24.168000,0 days 00:54:54.681000,254.0,303.0,158.0,305.0,False,MEDIUM,10.0,False,Renault,0 days 00:53:11.652000,2019-09-29 11:33:11.944,1,False,,False,True,Russian Grand Prix,18,324.0,22.1,66.1,1017.0,False,35.5,327,1.9
0 days 00:01:42.415000,16.0,RIC,3,0 days 00:55:32.486000,12.0,2.0,,,0 days 00:00:36.222000,0 days 00:00:35.730000,0 days 00:00:30.463000,0 days 00:55:30.903000,0 days 00:56:06.633000,0 days 00:56:37.096000,249.0,304.0,160.0,,False,MEDIUM,11.0,False,Renault,0 days 00:54:54.392000,2019-09-29 11:34:54.684,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,66.1,1016.9,False,35.5,236,1.8
