LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:30.477000,17.0,RUS,63,0 days 00:33:32.444000,1.0,1.0,,,,0 days 00:01:07.518000,0 days 00:00:39.115000,,0 days 00:35:19.189000,0 days 00:35:58.293000,187.0,170.0,135.0,230.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:27.500000,2019-09-29 11:13:27.792,24,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.2,1017.0,False,34.9,251,2.5
,16.0,RUS,63,0 days 00:36:32.444000,2.0,1.0,,,0 days 00:01:02.208000,0 days 00:00:50.836000,0 days 00:00:41.591000,0 days 00:37:00.389000,0 days 00:37:51.430000,0 days 00:38:36.056000,111.0,160.0,137.0,242.0,False,MEDIUM,2.0,True,Williams,0 days 00:35:58.109000,2019-09-29 11:15:58.401,4,False,,False,False,Russian Grand Prix,18,324.0,21.5,69.5,1017.0,False,34.7,291,1.6
,15.0,RUS,63,0 days 00:38:33.901000,3.0,1.0,,,0 days 00:00:57.552000,0 days 00:00:55.563000,0 days 00:00:40.909000,0 days 00:39:30.429000,0 days 00:40:25.998000,0 days 00:41:11.449000,148.0,130.0,157.0,151.0,False,MEDIUM,3.0,True,Williams,0 days 00:38:32.632000,2019-09-29 11:18:32.924,4,False,,False,False,Russian Grand Prix,18,324.0,21.4,69.4,1017.0,False,34.7,295,1.0
0 days 00:01:44.890000,16.0,RUS,63,0 days 00:41:32.443000,4.0,1.0,,,0 days 00:00:37.787000,0 days 00:00:36.033000,0 days 00:00:31.070000,0 days 00:41:44.618000,0 days 00:42:20.651000,0 days 00:42:51.721000,229.0,300.0,163.0,267.0,True,MEDIUM,4.0,True,Williams,0 days 00:41:06.647000,2019-09-29 11:21:06.939,1,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.1,1016.9,False,34.8,311,2.3
0 days 00:01:43.710000,16.0,RUS,63,0 days 00:43:32.441000,5.0,1.0,,,0 days 00:00:36.689000,0 days 00:00:36.234000,0 days 00:00:30.787000,0 days 00:43:28.410000,0 days 00:44:04.644000,0 days 00:44:35.431000,230.0,292.0,162.0,298.0,True,MEDIUM,5.0,True,Williams,0 days 00:42:51.537000,2019-09-29 11:22:51.829,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.7,1016.9,False,34.8,290,2.1
0 days 00:01:43.306000,16.0,RUS,63,0 days 00:45:32.442000,6.0,1.0,,,0 days 00:00:36.638000,0 days 00:00:35.632000,0 days 00:00:31.036000,0 days 00:45:12.069000,0 days 00:45:47.701000,0 days 00:46:18.737000,229.0,307.0,160.0,304.0,True,MEDIUM,6.0,True,Williams,0 days 00:44:35.247000,2019-09-29 11:24:35.539,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,67.6,1017.0,False,35.0,253,2.7
0 days 00:01:43.451000,16.0,RUS,63,0 days 00:46:32.438000,7.0,1.0,,,0 days 00:00:36.922000,0 days 00:00:35.648000,0 days 00:00:30.881000,0 days 00:46:55.659000,0 days 00:47:31.307000,0 days 00:48:02.188000,,302.0,160.0,302.0,False,MEDIUM,7.0,True,Williams,0 days 00:46:18.553000,2019-09-29 11:26:18.845,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,66.8,1016.9,False,34.9,251,2.3
0 days 00:01:43.121000,16.0,RUS,63,0 days 00:48:32.441000,8.0,1.0,,,0 days 00:00:36.693000,0 days 00:00:35.727000,0 days 00:00:30.701000,0 days 00:48:38.881000,0 days 00:49:14.608000,0 days 00:49:45.309000,242.0,299.0,160.0,305.0,True,MEDIUM,8.0,True,Williams,0 days 00:48:02.004000,2019-09-29 11:28:02.296,1,False,,False,True,Russian Grand Prix,18,324.0,21.7,67.5,1017.0,False,34.8,0,2.1
0 days 00:01:42.831000,15.0,RUS,63,0 days 00:50:32.437000,9.0,1.0,,,0 days 00:00:36.503000,0 days 00:00:35.548000,0 days 00:00:30.780000,0 days 00:50:21.812000,0 days 00:50:57.360000,0 days 00:51:28.140000,236.0,298.0,161.0,300.0,True,MEDIUM,9.0,True,Williams,0 days 00:49:45.125000,2019-09-29 11:29:45.417,1,False,,False,True,Russian Grand Prix,18,324.0,22.2,65.6,1017.0,False,35.7,276,1.1
0 days 00:01:42.426000,15.0,RUS,63,0 days 00:51:32.624000,10.0,1.0,,,0 days 00:00:36.476000,0 days 00:00:35.506000,0 days 00:00:30.444000,0 days 00:52:04.616000,0 days 00:52:40.122000,0 days 00:53:10.566000,246.0,296.0,157.0,301.0,True,MEDIUM,10.0,True,Williams,0 days 00:51:27.956000,2019-09-29 11:31:28.248,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,64.8,1017.0,False,35.6,258,2.2
0 days 00:01:42.813000,15.0,RUS,63,0 days 00:53:32.671000,11.0,1.0,,,0 days 00:00:36.679000,0 days 00:00:35.616000,0 days 00:00:30.518000,0 days 00:53:47.245000,0 days 00:54:22.861000,0 days 00:54:53.379000,240.0,298.0,159.0,298.0,False,MEDIUM,11.0,True,Williams,0 days 00:53:10.382000,2019-09-29 11:33:10.674,1,False,,False,True,Russian Grand Prix,18,324.0,22.1,66.1,1017.0,False,35.5,327,1.9
0 days 00:01:42.568000,15.0,RUS,63,0 days 00:55:32.486000,12.0,1.0,,,0 days 00:00:36.599000,0 days 00:00:35.473000,0 days 00:00:30.496000,0 days 00:55:29.978000,0 days 00:56:05.451000,0 days 00:56:35.947000,244.0,292.0,162.0,301.0,False,MEDIUM,12.0,True,Williams,0 days 00:54:53.195000,2019-09-29 11:34:53.487,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,66.1,1016.9,False,35.5,236,1.8
0 days 00:01:42.309000,15.0,RUS,63,0 days 00:57:32.559000,13.0,1.0,,,0 days 00:00:36.390000,0 days 00:00:35.458000,0 days 00:00:30.461000,0 days 00:57:12.337000,0 days 00:57:47.795000,0 days 00:58:18.256000,242.0,293.0,161.0,296.0,True,MEDIUM,13.0,True,Williams,0 days 00:56:35.763000,2019-09-29 11:36:36.055,1,False,,False,True,Russian Grand Prix,18,324.0,22.5,65.7,1017.0,False,35.3,248,1.2
