LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:50.683000,2.0,HAM,44,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:41.622000,0 days 00:00:37.249000,,0 days 00:34:54.388000,0 days 00:35:31.718000,293.0,247.0,248.0,197.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:48.666000,2.0,HAM,44,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:29.342000,0 days 00:00:42.330000,0 days 00:00:36.994000,0 days 00:36:00.703000,0 days 00:36:43.033000,0 days 00:37:20.027000,269.0,256.0,244.0,281.0,True,SOFT,5.0,False,Mercedes,0 days 00:35:31.343000,2019-09-22 12:15:32.311,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:48.806000,2.0,HAM,44,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:29.482000,0 days 00:00:42.144000,0 days 00:00:37.180000,0 days 00:37:49.509000,0 days 00:38:31.653000,0 days 00:39:08.833000,264.0,249.0,244.0,265.0,False,SOFT,6.0,False,Mercedes,0 days 00:37:20.009000,2019-09-22 12:17:20.977,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:49.082000,2.0,HAM,44,0 days 00:39:11.614000,4.0,1.0,,,0 days 00:00:29.499000,0 days 00:00:42.305000,0 days 00:00:37.278000,0 days 00:39:38.332000,0 days 00:40:20.637000,0 days 00:40:57.915000,270.0,263.0,250.0,277.0,False,SOFT,7.0,False,Mercedes,0 days 00:39:08.815000,2019-09-22 12:19:09.783,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.2,1010.7,False,36.9,160,1.9
0 days 00:01:49.560000,2.0,HAM,44,0 days 00:41:11.624000,5.0,1.0,,,0 days 00:00:28.821000,0 days 00:00:42.446000,0 days 00:00:38.293000,0 days 00:41:26.736000,0 days 00:42:09.182000,0 days 00:42:47.475000,288.0,265.0,250.0,285.0,False,SOFT,8.0,False,Mercedes,0 days 00:40:57.897000,2019-09-22 12:20:58.865,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.6,1010.6,False,36.5,170,2.0
0 days 00:01:49.759000,2.0,HAM,44,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:29.025000,0 days 00:00:42.943000,0 days 00:00:37.791000,0 days 00:43:16.500000,0 days 00:43:59.443000,0 days 00:44:37.234000,281.0,252.0,248.0,295.0,False,SOFT,9.0,False,Mercedes,0 days 00:42:47.457000,2019-09-22 12:22:48.425,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.179000,2.0,HAM,44,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.218000,0 days 00:00:42.600000,0 days 00:00:37.361000,0 days 00:45:06.452000,0 days 00:45:49.052000,0 days 00:46:26.413000,288.0,256.0,251.0,279.0,False,SOFT,10.0,False,Mercedes,0 days 00:44:37.216000,2019-09-22 12:24:38.184,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:49.607000,2.0,HAM,44,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:28.962000,0 days 00:00:42.960000,0 days 00:00:37.685000,0 days 00:46:55.375000,0 days 00:47:38.335000,0 days 00:48:16.020000,303.0,257.0,248.0,295.0,False,SOFT,11.0,False,Mercedes,0 days 00:46:26.395000,2019-09-22 12:26:27.363,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.937000,2.0,HAM,44,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:29.053000,0 days 00:00:43.055000,0 days 00:00:37.829000,0 days 00:48:45.073000,0 days 00:49:28.128000,0 days 00:50:05.957000,282.0,257.0,248.0,287.0,False,SOFT,12.0,False,Mercedes,0 days 00:48:16.002000,2019-09-22 12:28:16.970,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:49.744000,2.0,HAM,44,0 days 00:50:11.628000,10.0,1.0,,,0 days 00:00:29.578000,0 days 00:00:42.590000,0 days 00:00:37.576000,0 days 00:50:35.535000,0 days 00:51:18.125000,0 days 00:51:55.701000,278.0,258.0,247.0,284.0,False,SOFT,13.0,False,Mercedes,0 days 00:50:05.939000,2019-09-22 12:30:06.907,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.3,1010.8,False,35.7,169,1.9
