LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:52.184000,4.0,VER,33,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:42.339000,0 days 00:00:37.124000,,0 days 00:34:56.463000,0 days 00:35:33.637000,297.0,256.0,246.0,203.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:49.305000,4.0,VER,33,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:29.485000,0 days 00:00:42.453000,0 days 00:00:37.367000,0 days 00:36:02.327000,0 days 00:36:44.780000,0 days 00:37:22.147000,282.0,255.0,245.0,276.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:35:32.844000,2019-09-22 12:15:33.812,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:48.783000,4.0,VER,33,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:29.302000,0 days 00:00:42.296000,0 days 00:00:37.185000,0 days 00:37:51.449000,0 days 00:38:33.745000,0 days 00:39:10.930000,292.0,260.0,247.0,273.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:37:22.149000,2019-09-22 12:17:23.117,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:49.358000,4.0,VER,33,0 days 00:39:11.614000,4.0,1.0,,,0 days 00:00:29.346000,0 days 00:00:42.470000,0 days 00:00:37.542000,0 days 00:39:40.276000,0 days 00:40:22.746000,0 days 00:41:00.288000,,263.0,247.0,283.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:39:10.932000,2019-09-22 12:19:11.900,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.2,1010.7,False,36.9,160,1.9
0 days 00:01:49.004000,4.0,VER,33,0 days 00:41:11.624000,5.0,1.0,,,0 days 00:00:29.244000,0 days 00:00:42.463000,0 days 00:00:37.297000,0 days 00:41:29.532000,0 days 00:42:11.995000,0 days 00:42:49.292000,286.0,257.0,246.0,286.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:41:00.290000,2019-09-22 12:21:01.258,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.6,1010.6,False,36.5,170,2.0
0 days 00:01:49.939000,4.0,VER,33,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:29.504000,0 days 00:00:42.599000,0 days 00:00:37.836000,0 days 00:43:18.796000,0 days 00:44:01.395000,0 days 00:44:39.231000,283.0,260.0,245.0,277.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:42:49.294000,2019-09-22 12:22:50.262,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.529000,4.0,VER,33,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.505000,0 days 00:00:42.456000,0 days 00:00:37.568000,0 days 00:45:08.736000,0 days 00:45:51.192000,0 days 00:46:28.760000,294.0,264.0,246.0,282.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:44:39.233000,2019-09-22 12:24:40.201,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:49.099000,4.0,VER,33,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:29.272000,0 days 00:00:42.355000,0 days 00:00:37.472000,0 days 00:46:58.032000,0 days 00:47:40.387000,0 days 00:48:17.859000,298.0,260.0,248.0,285.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:46:28.762000,2019-09-22 12:26:29.730,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.893000,4.0,VER,33,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:29.444000,0 days 00:00:42.756000,0 days 00:00:37.693000,0 days 00:48:47.303000,0 days 00:49:30.059000,0 days 00:50:07.752000,293.0,264.0,247.0,,False,SOFT,12.0,False,Red Bull Racing,0 days 00:48:17.861000,2019-09-22 12:28:18.829,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:49.867000,4.0,VER,33,0 days 00:50:11.628000,10.0,1.0,,,0 days 00:00:29.322000,0 days 00:00:42.782000,0 days 00:00:37.763000,0 days 00:50:37.074000,0 days 00:51:19.856000,0 days 00:51:57.619000,301.0,265.0,245.0,289.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:50:07.754000,2019-09-22 12:30:08.722,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.3,1010.8,False,35.7,169,1.9
