LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:34.539000,10.0,ALB,23,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:33.857000,0 days 00:00:30.117000,,0 days 00:34:11.431000,0 days 00:34:41.670000,237.0,215.0,274.0,290.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:26.009000,10.0,ALB,23,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.194000,0 days 00:00:32.442000,0 days 00:00:29.373000,0 days 00:35:05.731000,0 days 00:35:38.173000,0 days 00:36:07.546000,265.0,226.0,273.0,307.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:34:41.541000,2019-05-12 13:14:41.595,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:24.971000,10.0,ALB,23,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:24.076000,0 days 00:00:31.900000,0 days 00:00:28.995000,0 days 00:36:31.622000,0 days 00:37:03.522000,0 days 00:37:32.517000,269.0,247.0,273.0,305.0,True,SOFT,3.0,True,Toro Rosso,0 days 00:36:07.550000,2019-05-12 13:16:07.604,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:24.565000,10.0,ALB,23,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:23.797000,0 days 00:00:31.923000,0 days 00:00:28.845000,0 days 00:37:56.314000,0 days 00:38:28.237000,0 days 00:38:57.082000,267.0,262.0,274.0,307.0,True,SOFT,4.0,True,Toro Rosso,0 days 00:37:32.521000,2019-05-12 13:17:32.575,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:25.025000,10.0,ALB,23,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.880000,0 days 00:00:31.816000,0 days 00:00:29.329000,0 days 00:39:20.962000,0 days 00:39:52.778000,0 days 00:40:22.107000,264.0,252.0,273.0,305.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:38:57.086000,2019-05-12 13:18:57.140,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:24.732000,10.0,ALB,23,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:23.798000,0 days 00:00:31.864000,0 days 00:00:29.070000,0 days 00:40:45.905000,0 days 00:41:17.769000,0 days 00:41:46.839000,272.0,248.0,273.0,306.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:40:22.111000,2019-05-12 13:20:22.165,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:24.319000,10.0,ALB,23,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.745000,0 days 00:00:31.672000,0 days 00:00:28.902000,0 days 00:42:10.584000,0 days 00:42:42.256000,0 days 00:43:11.158000,264.0,258.0,274.0,300.0,True,SOFT,7.0,True,Toro Rosso,0 days 00:41:46.843000,2019-05-12 13:21:46.897,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:24.174000,10.0,ALB,23,0 days 00:43:14.818000,8.0,1.0,,,0 days 00:00:23.630000,0 days 00:00:31.725000,0 days 00:00:28.819000,0 days 00:43:34.788000,0 days 00:44:06.513000,0 days 00:44:35.332000,269.0,267.0,272.0,303.0,True,SOFT,8.0,True,Toro Rosso,0 days 00:43:11.162000,2019-05-12 13:23:11.216,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.4,1006.9,False,41.2,21,2.0
0 days 00:01:24.415000,10.0,ALB,23,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.752000,0 days 00:00:31.644000,0 days 00:00:29.019000,0 days 00:44:59.084000,0 days 00:45:30.728000,0 days 00:45:59.747000,272.0,260.0,272.0,,False,SOFT,9.0,True,Toro Rosso,0 days 00:44:35.336000,2019-05-12 13:24:35.390,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.037000,10.0,ALB,23,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.701000,0 days 00:00:31.476000,0 days 00:00:28.860000,0 days 00:46:23.448000,0 days 00:46:54.924000,0 days 00:47:23.784000,273.0,259.0,273.0,,True,SOFT,10.0,True,Toro Rosso,0 days 00:45:59.751000,2019-05-12 13:25:59.805,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
0 days 00:01:24.246000,10.0,ALB,23,0 days 00:48:14.892000,11.0,1.0,,,0 days 00:00:23.751000,0 days 00:00:31.647000,0 days 00:00:28.848000,0 days 00:47:47.535000,0 days 00:48:19.182000,0 days 00:48:48.030000,271.0,258.0,274.0,,False,SOFT,11.0,True,Toro Rosso,0 days 00:47:23.788000,2019-05-12 13:27:23.842,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,58.7,1006.9,False,41.3,27,2.4
0 days 00:01:23.981000,10.0,ALB,23,0 days 00:49:14.908000,12.0,1.0,,,0 days 00:00:23.678000,0 days 00:00:31.545000,0 days 00:00:28.758000,0 days 00:49:11.708000,0 days 00:49:43.253000,0 days 00:50:12.011000,270.0,258.0,273.0,305.0,True,SOFT,12.0,True,Toro Rosso,0 days 00:48:48.034000,2019-05-12 13:28:48.088,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,58.9,1006.9,False,41.4,33,3.7
