LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:28.519000,2.0,BOT,77,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:31.669000,0 days 00:00:28.537000,,0 days 00:34:07.047000,0 days 00:34:35.638000,262.0,259.0,273.0,277.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:23.495000,2.0,BOT,77,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:23.757000,0 days 00:00:31.292000,0 days 00:00:28.446000,0 days 00:34:59.278000,0 days 00:35:30.570000,0 days 00:35:59.016000,269.0,251.0,274.0,293.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:35.521000,2019-05-12 13:14:35.575,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:23.021000,2.0,BOT,77,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:23.592000,0 days 00:00:31.045000,0 days 00:00:28.384000,0 days 00:36:22.608000,0 days 00:36:53.653000,0 days 00:37:22.037000,268.0,261.0,275.0,303.0,True,SOFT,6.0,False,Mercedes,0 days 00:35:59.016000,2019-05-12 13:15:59.070,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:23.161000,2.0,BOT,77,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:23.612000,0 days 00:00:31.207000,0 days 00:00:28.342000,0 days 00:37:45.649000,0 days 00:38:16.856000,0 days 00:38:45.198000,270.0,263.0,275.0,,False,SOFT,7.0,False,Mercedes,0 days 00:37:22.037000,2019-05-12 13:17:22.091,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:22.676000,2.0,BOT,77,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.324000,0 days 00:00:31.084000,0 days 00:00:28.268000,0 days 00:39:08.522000,0 days 00:39:39.606000,0 days 00:40:07.874000,271.0,261.0,276.0,304.0,True,SOFT,8.0,False,Mercedes,0 days 00:38:45.198000,2019-05-12 13:18:45.252,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:22.536000,2.0,BOT,77,0 days 00:40:14.779000,6.0,1.0,,,0 days 00:00:23.292000,0 days 00:00:30.928000,0 days 00:00:28.316000,0 days 00:40:31.166000,0 days 00:41:02.094000,0 days 00:41:30.410000,,264.0,274.0,,True,SOFT,9.0,False,Mercedes,0 days 00:40:07.874000,2019-05-12 13:20:07.928,1,False,,False,True,Spanish Grand Prix,16,303.0,19.5,60.5,1007.0,False,41.3,12,2.7
0 days 00:01:22.589000,2.0,BOT,77,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.367000,0 days 00:00:30.924000,0 days 00:00:28.298000,0 days 00:41:53.777000,0 days 00:42:24.701000,0 days 00:42:52.999000,,255.0,274.0,300.0,False,SOFT,10.0,False,Mercedes,0 days 00:41:30.410000,2019-05-12 13:21:30.464,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:22.260000,2.0,BOT,77,0 days 00:43:14.818000,8.0,1.0,,,0 days 00:00:23.205000,0 days 00:00:30.886000,0 days 00:00:28.169000,0 days 00:43:16.204000,0 days 00:43:47.090000,0 days 00:44:15.259000,269.0,265.0,274.0,299.0,True,SOFT,11.0,False,Mercedes,0 days 00:42:52.999000,2019-05-12 13:22:53.053,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.4,1006.9,False,41.2,21,2.0
0 days 00:01:22.296000,2.0,BOT,77,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.338000,0 days 00:00:30.738000,0 days 00:00:28.220000,0 days 00:44:38.597000,0 days 00:45:09.335000,0 days 00:45:37.555000,273.0,263.0,274.0,303.0,False,SOFT,12.0,False,Mercedes,0 days 00:44:15.259000,2019-05-12 13:24:15.313,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:22.211000,2.0,BOT,77,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.198000,0 days 00:00:30.804000,0 days 00:00:28.209000,0 days 00:46:00.753000,0 days 00:46:31.557000,0 days 00:46:59.766000,278.0,262.0,275.0,,True,SOFT,13.0,False,Mercedes,0 days 00:45:37.555000,2019-05-12 13:25:37.609,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
