LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:32.573000,7.0,GRO,8,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:33.491000,0 days 00:00:29.491000,,0 days 00:34:10.137000,0 days 00:34:39.726000,244.0,229.0,270.0,285.0,False,SOFT,4.0,False,Haas F1 Team,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:24.854000,7.0,GRO,8,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.053000,0 days 00:00:31.732000,0 days 00:00:29.069000,0 days 00:35:03.657000,0 days 00:35:35.389000,0 days 00:36:04.458000,267.0,255.0,271.0,300.0,True,SOFT,5.0,False,Haas F1 Team,0 days 00:34:39.575000,2019-05-12 13:14:39.629,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:24.400000,7.0,GRO,8,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:23.812000,0 days 00:00:31.550000,0 days 00:00:29.038000,0 days 00:36:28.270000,0 days 00:36:59.820000,0 days 00:37:28.858000,271.0,252.0,268.0,299.0,True,SOFT,6.0,False,Haas F1 Team,0 days 00:36:04.429000,2019-05-12 13:16:04.483,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:24.389000,7.0,GRO,8,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:23.822000,0 days 00:00:31.550000,0 days 00:00:29.017000,0 days 00:37:52.680000,0 days 00:38:24.230000,0 days 00:38:53.247000,,257.0,268.0,298.0,True,SOFT,7.0,False,Haas F1 Team,0 days 00:37:28.829000,2019-05-12 13:17:28.883,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:24.094000,7.0,GRO,8,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.725000,0 days 00:00:31.465000,0 days 00:00:28.904000,0 days 00:39:16.972000,0 days 00:39:48.437000,0 days 00:40:17.341000,272.0,253.0,269.0,296.0,True,SOFT,8.0,False,Haas F1 Team,0 days 00:38:53.218000,2019-05-12 13:18:53.272,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:23.786000,7.0,GRO,8,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:23.658000,0 days 00:00:31.302000,0 days 00:00:28.826000,0 days 00:40:40.999000,0 days 00:41:12.301000,0 days 00:41:41.127000,274.0,258.0,269.0,,True,SOFT,9.0,False,Haas F1 Team,0 days 00:40:17.312000,2019-05-12 13:20:17.366,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:23.710000,7.0,GRO,8,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.642000,0 days 00:00:31.289000,0 days 00:00:28.779000,0 days 00:42:04.769000,0 days 00:42:36.058000,0 days 00:43:04.837000,273.0,259.0,269.0,,True,SOFT,10.0,False,Haas F1 Team,0 days 00:41:41.098000,2019-05-12 13:21:41.152,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:24.383000,7.0,GRO,8,0 days 00:43:14.818000,8.0,1.0,,,0 days 00:00:23.698000,0 days 00:00:31.713000,0 days 00:00:28.972000,0 days 00:43:28.535000,0 days 00:44:00.248000,0 days 00:44:29.220000,272.0,258.0,268.0,295.0,False,SOFT,11.0,False,Haas F1 Team,0 days 00:43:04.808000,2019-05-12 13:23:04.862,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.4,1006.9,False,41.2,21,2.0
0 days 00:01:24.171000,7.0,GRO,8,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.817000,0 days 00:00:31.419000,0 days 00:00:28.935000,0 days 00:44:53.037000,0 days 00:45:24.456000,0 days 00:45:53.391000,273.0,255.0,268.0,293.0,False,SOFT,12.0,False,Haas F1 Team,0 days 00:44:29.191000,2019-05-12 13:24:29.245,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.058000,7.0,GRO,8,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.718000,0 days 00:00:31.416000,0 days 00:00:28.924000,0 days 00:46:17.109000,0 days 00:46:48.525000,0 days 00:47:17.449000,272.0,256.0,269.0,294.0,False,SOFT,13.0,False,Haas F1 Team,0 days 00:45:53.362000,2019-05-12 13:25:53.416,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
