LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.687000,18.0,HUL,27,0 days 00:33:14.669000,1.0,1.0,0 days 00:33:17.148000,0 days 00:31:53.983000,,0 days 00:00:32.918000,0 days 00:00:30.751000,,0 days 00:34:17.570000,0 days 00:34:45.828000,253.0,236.0,281.0,245.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:27.232000,17.0,HUL,27,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.621000,0 days 00:00:32.499000,0 days 00:00:30.112000,0 days 00:35:10.298000,0 days 00:35:42.797000,0 days 00:36:12.909000,,228.0,270.0,304.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:45.689000,2019-05-12 13:14:45.743,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:26.311000,17.0,HUL,27,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:24.665000,0 days 00:00:32.324000,0 days 00:00:29.322000,0 days 00:36:37.574000,0 days 00:37:09.898000,0 days 00:37:39.220000,259.0,257.0,272.0,300.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:12.921000,2019-05-12 13:16:12.975,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:25.576000,17.0,HUL,27,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:24.289000,0 days 00:00:32.187000,0 days 00:00:29.100000,0 days 00:38:03.509000,0 days 00:38:35.696000,0 days 00:39:04.796000,258.0,250.0,272.0,304.0,True,MEDIUM,4.0,True,Renault,0 days 00:37:39.232000,2019-05-12 13:17:39.286,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:25.331000,17.0,HUL,27,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:24.089000,0 days 00:00:32.355000,0 days 00:00:28.887000,0 days 00:39:28.885000,0 days 00:40:01.240000,0 days 00:40:30.127000,262.0,263.0,273.0,302.0,True,MEDIUM,5.0,True,Renault,0 days 00:39:04.808000,2019-05-12 13:19:04.862,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:25.273000,16.0,HUL,27,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:24.006000,0 days 00:00:31.990000,0 days 00:00:29.277000,0 days 00:40:54.133000,0 days 00:41:26.123000,0 days 00:41:55.400000,263.0,257.0,278.0,306.0,True,MEDIUM,6.0,True,Renault,0 days 00:40:30.139000,2019-05-12 13:20:30.193,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:24.238000,16.0,HUL,27,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.502000,0 days 00:00:31.780000,0 days 00:00:28.956000,0 days 00:42:18.902000,0 days 00:42:50.682000,0 days 00:43:19.638000,270.0,260.0,274.0,322.0,True,MEDIUM,7.0,True,Renault,0 days 00:41:55.412000,2019-05-12 13:21:55.466,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:24.706000,16.0,HUL,27,0 days 00:44:14.838000,8.0,1.0,,,0 days 00:00:23.742000,0 days 00:00:31.723000,0 days 00:00:29.241000,0 days 00:43:43.380000,0 days 00:44:15.103000,0 days 00:44:44.344000,269.0,256.0,282.0,307.0,False,MEDIUM,8.0,True,Renault,0 days 00:43:19.650000,2019-05-12 13:23:19.704,1,False,,False,True,Spanish Grand Prix,16,303.0,20.0,58.3,1007.0,False,41.2,346,2.6
0 days 00:01:25.666000,16.0,HUL,27,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.809000,0 days 00:00:32.388000,0 days 00:00:29.469000,0 days 00:45:08.153000,0 days 00:45:40.541000,0 days 00:46:10.010000,234.0,255.0,284.0,325.0,False,MEDIUM,9.0,True,Renault,0 days 00:44:44.356000,2019-05-12 13:24:44.410,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.375000,15.0,HUL,27,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.554000,0 days 00:00:31.791000,0 days 00:00:29.030000,0 days 00:46:33.564000,0 days 00:47:05.355000,0 days 00:47:34.385000,269.0,251.0,273.0,333.0,False,MEDIUM,10.0,True,Renault,0 days 00:46:10.022000,2019-05-12 13:26:10.076,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
