LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.892000,9.0,KVY,26,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:34.051000,0 days 00:00:29.906000,,0 days 00:34:11.051000,0 days 00:34:41.110000,221.0,216.0,273.0,304.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:25.634000,9.0,KVY,26,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.214000,0 days 00:00:32.179000,0 days 00:00:29.241000,0 days 00:35:05.091000,0 days 00:35:37.270000,0 days 00:36:06.511000,267.0,251.0,274.0,,True,SOFT,5.0,False,Toro Rosso,0 days 00:34:40.894000,2019-05-12 13:14:40.948,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:24.954000,9.0,KVY,26,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:23.828000,0 days 00:00:31.936000,0 days 00:00:29.190000,0 days 00:36:30.339000,0 days 00:37:02.275000,0 days 00:37:31.465000,269.0,258.0,280.0,305.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:36:06.528000,2019-05-12 13:16:06.582,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:24.568000,9.0,KVY,26,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:23.630000,0 days 00:00:31.838000,0 days 00:00:29.100000,0 days 00:37:55.095000,0 days 00:38:26.933000,0 days 00:38:56.033000,,271.0,275.0,326.0,True,SOFT,7.0,False,Toro Rosso,0 days 00:37:31.482000,2019-05-12 13:17:31.536,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:24.806000,9.0,KVY,26,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.716000,0 days 00:00:31.777000,0 days 00:00:29.313000,0 days 00:39:19.749000,0 days 00:39:51.526000,0 days 00:40:20.839000,271.0,261.0,273.0,305.0,False,SOFT,8.0,False,Toro Rosso,0 days 00:38:56.050000,2019-05-12 13:18:56.104,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:24.499000,9.0,KVY,26,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:23.671000,0 days 00:00:31.720000,0 days 00:00:29.108000,0 days 00:40:44.510000,0 days 00:41:16.230000,0 days 00:41:45.338000,268.0,263.0,273.0,,True,SOFT,9.0,False,Toro Rosso,0 days 00:40:20.856000,2019-05-12 13:20:20.910,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:24.285000,9.0,KVY,26,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.669000,0 days 00:00:31.635000,0 days 00:00:28.981000,0 days 00:42:09.007000,0 days 00:42:40.642000,0 days 00:43:09.623000,272.0,268.0,274.0,304.0,True,SOFT,10.0,False,Toro Rosso,0 days 00:41:45.355000,2019-05-12 13:21:45.409,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:24.177000,9.0,KVY,26,0 days 00:43:14.818000,8.0,1.0,,,0 days 00:00:23.626000,0 days 00:00:31.572000,0 days 00:00:28.979000,0 days 00:43:33.249000,0 days 00:44:04.821000,0 days 00:44:33.800000,271.0,267.0,274.0,,True,SOFT,11.0,False,Toro Rosso,0 days 00:43:09.640000,2019-05-12 13:23:09.694,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.4,1006.9,False,41.2,21,2.0
0 days 00:01:24.339000,9.0,KVY,26,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.624000,0 days 00:00:31.699000,0 days 00:00:29.016000,0 days 00:44:57.424000,0 days 00:45:29.123000,0 days 00:45:58.139000,275.0,265.0,274.0,305.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:44:33.817000,2019-05-12 13:24:33.871,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.289000,9.0,KVY,26,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.598000,0 days 00:00:31.622000,0 days 00:00:29.069000,0 days 00:46:21.737000,0 days 00:46:53.359000,0 days 00:47:22.428000,273.0,268.0,274.0,,False,SOFT,13.0,False,Toro Rosso,0 days 00:45:58.156000,2019-05-12 13:25:58.210,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
0 days 00:01:24.163000,9.0,KVY,26,0 days 00:48:14.892000,11.0,1.0,,,0 days 00:00:23.592000,0 days 00:00:31.585000,0 days 00:00:28.986000,0 days 00:47:46.020000,0 days 00:48:17.605000,0 days 00:48:46.591000,,263.0,274.0,,True,SOFT,14.0,False,Toro Rosso,0 days 00:47:22.445000,2019-05-12 13:27:22.499,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,58.7,1006.9,False,41.3,27,2.4
0 days 00:01:23.798000,9.0,KVY,26,0 days 00:49:14.908000,12.0,1.0,,,0 days 00:00:23.544000,0 days 00:00:31.486000,0 days 00:00:28.768000,0 days 00:49:10.135000,0 days 00:49:41.621000,0 days 00:50:10.389000,,265.0,275.0,,True,SOFT,15.0,False,Toro Rosso,0 days 00:48:46.608000,2019-05-12 13:28:46.662,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,58.9,1006.9,False,41.4,33,3.7
0 days 00:01:24.082000,9.0,KVY,26,0 days 00:50:14.924000,13.0,1.0,,,0 days 00:00:23.544000,0 days 00:00:31.642000,0 days 00:00:28.896000,,0 days 00:51:05.575000,0 days 00:51:34.471000,275.0,268.0,273.0,304.0,False,SOFT,16.0,False,Toro Rosso,0 days 00:50:10.406000,2019-05-12 13:30:10.460,1,False,,False,True,Spanish Grand Prix,16,303.0,20.4,57.1,1007.0,False,41.4,41,1.9
0 days 00:01:24.499000,9.0,KVY,26,0 days 00:52:14.953000,14.0,1.0,,,0 days 00:00:23.708000,0 days 00:00:31.785000,0 days 00:00:29.006000,0 days 00:51:58.179000,0 days 00:52:29.964000,0 days 00:52:58.970000,,265.0,272.0,,False,SOFT,17.0,False,Toro Rosso,0 days 00:51:34.488000,2019-05-12 13:31:34.542,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.4,1006.9,False,40.9,11,2.9
0 days 00:01:23.979000,9.0,KVY,26,0 days 00:53:14.967000,15.0,1.0,,,0 days 00:00:23.587000,0 days 00:00:31.580000,0 days 00:00:28.812000,0 days 00:53:22.557000,0 days 00:53:54.137000,0 days 00:54:22.949000,274.0,267.0,273.0,303.0,False,SOFT,18.0,False,Toro Rosso,0 days 00:52:58.987000,2019-05-12 13:32:59.041,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1006.9,False,40.9,0,2.5
0 days 00:01:24.021000,9.0,KVY,26,0 days 00:55:15.001000,16.0,1.0,,,0 days 00:00:23.607000,0 days 00:00:31.473000,0 days 00:00:28.941000,0 days 00:54:46.556000,0 days 00:55:18.029000,0 days 00:55:46.970000,,261.0,273.0,302.0,False,SOFT,19.0,False,Toro Rosso,0 days 00:54:22.966000,2019-05-12 13:34:23.020,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,55.9,1006.9,False,41.0,44,2.9
0 days 00:01:24.254000,9.0,KVY,26,0 days 00:56:15.027000,17.0,1.0,,,0 days 00:00:23.590000,0 days 00:00:31.742000,0 days 00:00:28.922000,0 days 00:56:10.560000,0 days 00:56:42.302000,0 days 00:57:11.224000,273.0,267.0,273.0,303.0,False,SOFT,20.0,False,Toro Rosso,0 days 00:55:46.987000,2019-05-12 13:35:47.041,1,False,,False,True,Spanish Grand Prix,16,303.0,20.1,56.9,1006.9,False,40.9,65,2.0
0 days 00:01:24.015000,9.0,KVY,26,0 days 00:57:15.045000,18.0,1.0,,,0 days 00:00:23.498000,0 days 00:00:31.508000,0 days 00:00:29.009000,0 days 00:57:34.722000,0 days 00:58:06.230000,0 days 00:58:35.239000,,267.0,274.0,,False,SOFT,21.0,False,Toro Rosso,0 days 00:57:11.241000,2019-05-12 13:37:11.295,1,False,,False,True,Spanish Grand Prix,16,303.0,20.0,57.0,1006.9,False,40.6,58,2.8
0 days 00:01:24.020000,9.0,KVY,26,0 days 00:59:15.095000,19.0,1.0,,,0 days 00:00:23.577000,0 days 00:00:31.599000,0 days 00:00:28.844000,0 days 00:58:58.816000,0 days 00:59:30.415000,0 days 00:59:59.259000,276.0,265.0,273.0,301.0,False,SOFT,22.0,False,Toro Rosso,0 days 00:58:35.256000,2019-05-12 13:38:35.310,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,56.1,1006.8,False,40.6,3,3.1
0 days 00:01:24.359000,8.0,KVY,26,0 days 01:00:15.096000,20.0,1.0,,,0 days 00:00:23.657000,0 days 00:00:31.628000,0 days 00:00:29.074000,0 days 01:00:22.916000,0 days 01:00:54.544000,0 days 01:01:23.618000,274.0,265.0,273.0,,False,SOFT,23.0,False,Toro Rosso,0 days 00:59:59.276000,2019-05-12 13:39:59.330,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,56.1,1006.8,False,40.6,26,2.6
0 days 00:01:27.854000,10.0,KVY,26,0 days 01:02:15.261000,21.0,1.0,,0 days 01:02:48.883000,0 days 00:00:23.685000,0 days 00:00:31.761000,0 days 00:00:32.408000,0 days 01:01:47.303000,0 days 01:02:19.064000,0 days 01:02:51.472000,,263.0,,300.0,False,SOFT,24.0,False,Toro Rosso,0 days 01:01:23.635000,2019-05-12 13:41:23.689,1,False,,False,False,Spanish Grand Prix,16,303.0,20.8,55.2,1006.9,False,41.2,281,2.0
0 days 00:01:42.550000,17.0,KVY,26,0 days 01:03:15.118000,22.0,2.0,0 days 01:03:10.861000,,0 days 00:00:42.701000,0 days 00:00:31.450000,0 days 00:00:28.399000,0 days 01:03:34.173000,0 days 01:04:05.623000,0 days 01:04:34.022000,270.0,262.0,272.0,249.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 01:02:51.489000,2019-05-12 13:42:51.543,1,False,,False,False,Spanish Grand Prix,16,303.0,21.0,54.7,1006.9,False,41.2,0,0.9
0 days 00:01:22.560000,16.0,KVY,26,0 days 01:05:15.139000,23.0,2.0,,,0 days 00:00:23.323000,0 days 00:00:30.910000,0 days 00:00:28.327000,0 days 01:04:57.345000,0 days 01:05:28.255000,0 days 01:05:56.582000,276.0,269.0,286.0,302.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 01:04:34.039000,2019-05-12 13:44:34.093,1,False,,False,True,Spanish Grand Prix,16,303.0,21.2,53.7,1006.8,False,41.0,41,2.5
0 days 00:01:24.412000,15.0,KVY,26,0 days 01:06:15.156000,24.0,2.0,,,0 days 00:00:23.869000,0 days 00:00:31.776000,0 days 00:00:28.767000,0 days 01:06:20.451000,0 days 01:06:52.227000,0 days 01:07:20.994000,258.0,261.0,274.0,331.0,False,MEDIUM,3.0,True,Toro Rosso,0 days 01:05:56.599000,2019-05-12 13:45:56.653,1,False,,False,True,Spanish Grand Prix,16,303.0,20.9,53.2,1006.8,False,41.0,354,3.1
0 days 00:01:23.005000,12.0,KVY,26,0 days 01:08:15.179000,25.0,2.0,,,0 days 00:00:23.396000,0 days 00:00:31.151000,0 days 00:00:28.458000,0 days 01:07:44.390000,0 days 01:08:15.541000,0 days 01:08:43.999000,276.0,271.0,274.0,302.0,False,MEDIUM,4.0,True,Toro Rosso,0 days 01:07:21.011000,2019-05-12 13:47:21.065,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,54.6,1006.8,False,40.4,18,1.3
0 days 00:01:23.205000,10.0,KVY,26,0 days 01:09:15.193000,26.0,2.0,,,0 days 00:00:23.415000,0 days 00:00:31.138000,0 days 00:00:28.652000,0 days 01:09:07.414000,0 days 01:09:38.552000,0 days 01:10:07.204000,272.0,274.0,282.0,303.0,False,MEDIUM,5.0,True,Toro Rosso,0 days 01:08:44.016000,2019-05-12 13:48:44.070,1,False,,False,True,Spanish Grand Prix,16,303.0,20.5,54.5,1006.8,False,40.6,286,2.3
0 days 00:01:22.569000,10.0,KVY,26,0 days 01:10:15.207000,27.0,2.0,,,0 days 00:00:22.907000,0 days 00:00:31.066000,0 days 00:00:28.596000,0 days 01:10:30.111000,0 days 01:11:01.177000,0 days 01:11:29.773000,279.0,267.0,273.0,323.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 01:10:07.221000,2019-05-12 13:50:07.275,1,False,,False,True,Spanish Grand Prix,16,303.0,20.8,53.5,1006.7,False,41.0,49,1.2
0 days 00:01:23.094000,10.0,KVY,26,0 days 01:12:15.254000,28.0,2.0,,,0 days 00:00:23.337000,0 days 00:00:31.062000,0 days 00:00:28.695000,0 days 01:11:53.110000,0 days 01:12:24.172000,0 days 01:12:52.867000,,272.0,275.0,302.0,False,MEDIUM,7.0,True,Toro Rosso,0 days 01:11:29.790000,2019-05-12 13:51:29.844,1,False,,False,True,Spanish Grand Prix,16,303.0,20.8,51.4,1006.6,False,40.7,35,2.6
0 days 00:01:23.178000,10.0,KVY,26,0 days 01:13:15.266000,29.0,2.0,,,0 days 00:00:23.338000,0 days 00:00:31.118000,0 days 00:00:28.722000,0 days 01:13:16.205000,0 days 01:13:47.323000,0 days 01:14:16.045000,276.0,273.0,284.0,305.0,False,MEDIUM,8.0,True,Toro Rosso,0 days 01:12:52.884000,2019-05-12 13:52:52.938,1,False,,False,True,Spanish Grand Prix,16,303.0,20.5,52.3,1006.8,False,40.4,17,3.4
0 days 00:01:23.390000,10.0,KVY,26,0 days 01:15:15.524000,30.0,2.0,,,0 days 00:00:23.019000,0 days 00:00:31.435000,0 days 00:00:28.936000,0 days 01:14:39.064000,0 days 01:15:10.499000,0 days 01:15:39.435000,274.0,273.0,286.0,330.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 01:14:16.062000,2019-05-12 13:54:16.116,1,False,,False,True,Spanish Grand Prix,16,303.0,20.8,52.5,1006.8,False,40.6,71,1.2
0 days 00:01:23.937000,10.0,KVY,26,0 days 01:16:15.296000,31.0,2.0,,,0 days 00:00:23.188000,0 days 00:00:31.626000,0 days 00:00:29.123000,0 days 01:16:02.623000,0 days 01:16:34.249000,0 days 01:17:03.372000,272.0,268.0,283.0,334.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 01:15:39.452000,2019-05-12 13:55:39.506,1,False,,False,True,Spanish Grand Prix,16,303.0,20.8,52.4,1006.8,False,40.6,346,1.8
0 days 00:01:23.878000,10.0,KVY,26,0 days 01:17:15.326000,32.0,2.0,,,0 days 00:00:23.042000,0 days 00:00:31.546000,0 days 00:00:29.290000,0 days 01:17:26.414000,0 days 01:17:57.960000,0 days 01:18:27.250000,275.0,262.0,284.0,329.0,False,MEDIUM,11.0,True,Toro Rosso,0 days 01:17:03.389000,2019-05-12 13:57:03.443,1,False,,False,True,Spanish Grand Prix,16,303.0,20.8,52.5,1006.7,False,40.6,13,2.0
0 days 00:01:23.149000,9.0,KVY,26,0 days 01:19:15.328000,33.0,2.0,,,0 days 00:00:23.203000,0 days 00:00:31.315000,0 days 00:00:28.631000,0 days 01:18:50.453000,0 days 01:19:21.768000,0 days 01:19:50.399000,276.0,274.0,274.0,326.0,False,MEDIUM,12.0,True,Toro Rosso,0 days 01:18:27.267000,2019-05-12 13:58:27.321,1,False,,False,True,Spanish Grand Prix,16,303.0,20.9,52.6,1006.7,False,40.5,73,0.9
0 days 00:01:23.066000,9.0,KVY,26,0 days 01:20:15.340000,34.0,2.0,,,0 days 00:00:23.288000,0 days 00:00:31.090000,0 days 00:00:28.688000,0 days 01:20:13.687000,0 days 01:20:44.777000,0 days 01:21:13.465000,282.0,273.0,273.0,302.0,False,MEDIUM,13.0,True,Toro Rosso,0 days 01:19:50.416000,2019-05-12 13:59:50.470,1,False,,False,True,Spanish Grand Prix,16,303.0,20.7,51.9,1006.6,False,40.5,194,1.2
0 days 00:01:22.737000,9.0,KVY,26,0 days 01:21:15.353000,35.0,2.0,,,0 days 00:00:23.290000,0 days 00:00:30.792000,0 days 00:00:28.655000,0 days 01:21:36.755000,0 days 01:22:07.547000,0 days 01:22:36.202000,281.0,270.0,286.0,,False,MEDIUM,14.0,True,Toro Rosso,0 days 01:21:13.482000,2019-05-12 14:01:13.536,1,False,,False,True,Spanish Grand Prix,16,303.0,20.7,52.4,1006.6,False,40.6,265,1.5
0 days 00:01:22.073000,8.0,KVY,26,0 days 01:23:15.379000,36.0,2.0,,,0 days 00:00:22.712000,0 days 00:00:30.893000,0 days 00:00:28.468000,0 days 01:22:58.914000,0 days 01:23:29.807000,0 days 01:23:58.275000,278.0,273.0,273.0,327.0,True,MEDIUM,15.0,True,Toro Rosso,0 days 01:22:36.219000,2019-05-12 14:02:36.273,1,False,,False,True,Spanish Grand Prix,16,303.0,20.4,54.1,1006.7,False,40.6,32,1.8
0 days 00:01:22.752000,8.0,KVY,26,0 days 01:24:15.393000,37.0,2.0,,,0 days 00:00:23.377000,0 days 00:00:30.993000,0 days 00:00:28.382000,0 days 01:24:21.652000,0 days 01:24:52.645000,0 days 01:25:21.027000,270.0,274.0,273.0,298.0,False,MEDIUM,16.0,True,Toro Rosso,0 days 01:23:58.292000,2019-05-12 14:03:58.346,1,False,,False,True,Spanish Grand Prix,16,303.0,20.5,52.5,1006.6,False,40.6,15,1.7
